#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-11-02T18:26:13 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5dbda4172161	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/ApJ/814/95/highz
#-nav=cat:J/ApJ/814/95&tab:{J/ApJ/814/95/highz}&key:source=J/ApJ/814/95&HTTPPRM:&&-ref=VIZ5dbda4172161&-out.max=50&-out.form=ascii table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=ID&-out=RAJ2000&-out=DEJ2000&-out=z&-out=b_z&-out=B_z&-out=logM*&-out=b_logM*&-out=B_logM*&-out=Age&-out=b_Age&-out=B_Age&-out=E(B-V)&-out=b_E(B-V)&-out=B_E(B-V)&-out=SFR&-out=b_SFR&-out=B_SFR&-out=Simbad&-ignore=Simbad=*&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJ/814/95/highz
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/814/95/highz
#-out=ID
#-out=RAJ2000
#-out=DEJ2000
#-out=z
#-out=b_z
#-out=B_z
#-out=logM*
#-out=b_logM*
#-out=B_logM*
#-out=Age
#-out=b_Age
#-out=B_Age
#-out=E(B-V)
#-out=b_E(B-V)
#-out=B_E(B-V)
#-out=SFR
#-out=b_SFR
#-out=B_SFR
#-out=Simbad
#

#RESOURCE=yCat_18140095
#Name: J/ApJ/814/95
#Title: Star formation rate of 4<~z<~8 galaxies (Finkelstein+, 2015)
#Table	J_ApJ_814_95_highz:
#Name: J/ApJ/814/95/highz
#Title: Stellar populations of bright galaxies at z=4, 5, 6 and 7 (tables 3-6)
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	ID	(A12)	Galaxy identifier (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F5.2)	[3.5/7.7] Redshift	[ucd=src.redshift]
#Column	b_z	(F5.2)	[0.6/7.5] Minimum redshift	[ucd=src.redshift;stat.min]
#Column	B_z	(F5.2)	[3.6/7.9] Maximum redshift	[ucd=src.redshift;stat.max]
#Column	logM*	(F5.2)	[8.7/11.3] Log of stellar mass	[ucd=phys.mass]
#Column	b_logM*	(F5.2)	[6.5/11.2] Minimum logM*	[ucd=phys.mass;stat.min]
#Column	B_logM*	(F5.2)	[9.2/11.4] Maximum logM*	[ucd=phys.mass;stat.max]
#Column	Age	(I4)	[10/1015] Age	[ucd=time.age]
#Column	b_Age	(I3)	[10/904] Minimum Age	[ucd=time.age;stat.min]
#Column	B_Age	(I4)	[10/1015] Maximum Age	[ucd=time.age;stat.max]
#Column	E(B-V)	(F5.2)	[0/0.4] B-V color excess	[ucd=phot.color.excess]
#Column	b_E(B-V)	(F5.2)	[0/0.4] Minimum E(B-V)	[ucd=phot.color;stat.min]
#Column	B_E(B-V)	(F5.2)	[0.02/0.7] Maximum E(B-V)	[ucd=phot.color;stat.max]
#Column	SFR	(I4)	[12/1066] Star formation rate	[ucd=phys.SFR]
#Column	b_SFR	(I3)	[0/863] Minimum SFR	[ucd=phys.SFR;stat.min]
#Column	B_SFR	(I4)	[15/1186] Maximum SFR	[ucd=phys.SFR;stat.max]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
_RAJ2000;_DEJ2000;ID;RAJ2000;DEJ2000;z;b_z;B_z;logM*;b_logM*;B_logM*;Age;b_Age;B_Age;E(B-V);b_E(B-V);B_E(B-V);SFR;b_SFR;B_SFR;Simbad
deg;deg; ;deg;deg; ; ; ;[Msun];[Msun];[Msun];Myr;Myr;Myr;mag;mag;mag;Msun/yr;Msun/yr;Msun/yr;
------------;------------;------------;----------;----------;-----;-----;-----;-----;-----;-----;----;---;----;-----;-----;-----;----;---;----;------
053.09684000;-27.86607389;z4_GSD_34736;053.096840;-27.866074; 3.51; 3.44; 3.66; 9.97;10.13;10.49;  10; 19; 101; 0.34; 0.18; 0.34; 451;109; 434;Simbad
053.08689111;-27.84413889;z4_GSD_30292;053.086891;-27.844139; 3.51; 3.46; 3.75;10.49;10.31;10.51;  57; 49;  90; 0.24; 0.16; 0.32; 132; 64; 322;Simbad
189.08511389;+62.16046500;z4_GNW_9013 ;189.085114;+62.160465; 3.54; 3.49; 3.60; 9.97; 9.93;10.15;1015;202;1015; 0.10; 0.02; 0.10;  54; 26;  53;Simbad
053.14333000;-27.69009000;z4_ERS_4095 ;053.143330;-27.690090; 3.55; 3.48; 3.67;10.27;10.17;10.55;  49; 30; 101; 0.16; 0.14; 0.28;  88; 73; 299;Simbad
053.12092611;-27.70944611;z4_ERS_9969 ;053.120926;-27.709446; 3.57; 3.52; 3.64; 9.68; 9.43; 9.68;  57; 30; 286; 0.04; 0.00; 0.10;  20; 14;  38;Simbad
189.48320000;+62.28478611;z4_GNW_26176;189.483200;+62.284786; 3.63; 3.57; 3.71; 9.99; 9.96;10.18;  90; 40; 202; 0.12; 0.02; 0.14;  65; 27;  85;Simbad
189.15905806;+62.11547111;z4_GNW_1986 ;189.159058;+62.115471; 3.64; 3.58; 3.70; 9.98; 9.96;10.19; 101; 49;1015; 0.08; 0.06; 0.10;  55; 44;  77;Simbad
053.08723111;-27.72953806;z4_ERS_16929;053.087231;-27.729538; 3.64; 3.58; 3.72; 9.42; 9.21; 9.85;  19; 10;  40; 0.14; 0.14; 0.20;  59; 55; 109;Simbad
053.08736806;-27.83953500;z4_GSD_29028;053.087368;-27.839535; 3.64; 3.52; 3.75;10.17;10.12;10.22;  80; 80; 101; 0.10; 0.06; 0.10;  38; 25;  40;Simbad
053.02058000;-27.74215111;z4_ERS_20075;053.020580;-27.742151; 3.65; 3.59; 3.71;10.55;10.54;10.66; 202;202; 570; 0.06; 0.02; 0.08;  75; 53; 104;Simbad
189.33935500;+62.21645000;z4_GND_30689;189.339355;+62.216450; 3.66; 3.59; 3.75; 9.45; 9.40; 9.70;  39; 30;  71; 0.04; 0.00; 0.10;  20; 14;  36;Simbad
053.10947806;-27.87936000;z4_GSW_4356 ;053.109478;-27.879360; 3.67; 3.61; 3.77; 9.72; 9.66; 9.90;  57; 49;  90; 0.00; 0.00; 0.08;  19; 19;  43;Simbad
053.07173500;-27.79843694;z4_GSD_15786;053.071735;-27.798437; 3.67; 3.60; 3.75; 9.61; 9.67; 9.88;  49; 57;1015; 0.04; 0.00; 0.10;  19; 14;  33;Simbad
053.19895889;-27.73794000;z4_GSD_535  ;053.198959;-27.737940; 3.69; 3.57; 3.81; 9.59; 9.53; 9.79;  49; 40;  57; 0.00; 0.00; 0.08;  18; 17;  39;Simbad
053.11771000;-27.68677111;z4_ERS_3396 ;053.117710;-27.686771; 3.69; 3.64; 3.75; 9.90; 9.53; 9.90;  49; 30;  49; 0.10; 0.08; 0.16;  48; 40;  74;Simbad
053.12141389;-27.81462111;z4_GSD_21002;053.121414;-27.814621; 3.69; 3.63; 3.76; 9.80; 9.57; 9.85;  30; 10;  30; 0.18; 0.16; 0.24;  93; 70; 152;Simbad
053.10742194;-27.86929889;z4_GSD_35257;053.107422;-27.869299; 3.70; 3.58; 3.82;10.46;10.24;10.47; 101; 71; 101; 0.28; 0.10; 0.28; 222; 45; 240;Simbad
053.06932806;-27.71481500;z4_ERS_11888;053.069328;-27.714815; 3.70; 3.62; 3.78; 9.55; 9.29; 9.76;  49; 19;  49; 0.00; 0.00; 0.18;  14; 14;  77;Simbad
053.03123889;-27.78521500;z4_GSD_11269;053.031239;-27.785215; 3.71; 3.61; 3.79;10.06;10.02;10.16;  49; 40; 101; 0.10; 0.10; 0.24;  45; 43; 176;Simbad
053.13885889;-27.83537111;z4_GSD_27735;053.138859;-27.835371; 3.72; 3.65; 3.79; 9.56; 9.36; 9.63;  30; 19;  57; 0.14; 0.02; 0.18;  54; 17;  78;Simbad
053.14477500;-27.87152694;z4_GSW_2898 ;053.144775;-27.871527; 3.78; 3.68; 3.87;10.18; 9.88;10.20;  39; 30;  49; 0.20; 0.06; 0.26; 131; 35; 200;Simbad
