#Scale: 0.751717
#h: 0.680000
#Stellar mass range: 10^11.00 - 10^14.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1316.1 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 981.619 59.4131 35.8806 402.797 68.7935 20.8434 1337.96 63.6427 69.8119 519.212 37.9403 17.2685 0.1 0.158489
0.210017 581.981 34.9259 19.6846 191.519 12.8578 18.2597 788.188 37.7573 31.5204 323.305 27.8556 9.69406 0.158489 0.251189
0.332855 372.273 7.31332 24.4917 121.655 16.5586 16.6313 486.233 8.16437 29.2963 234.905 1.07239 19.1902 0.251189 0.398107
0.52754 220.83 4.62354 9.83134 106.899 2.88779 9.60246 281.871 3.92886 13.1249 143.992 6.16797 8.30864 0.398107 0.630957
0.836094 132.51 5.01224 4.45718 78.235 -0.536049 10.2876 159.236 6.45058 3.91023 99.5724 2.39417 6.31327 0.630957 1
1.32512 86.2672 1.07184 3.26109 56.0714 -0.758396 4.71233 101.088 1.56264 3.30521 68.0166 0.328644 3.7803 1 1.58489
2.10017 57.4259 0.995262 1.35725 39.7198 0.276676 2.03198 65.8259 1.06853 1.54594 47.177 0.879078 1.53506 1.58489 2.51189
3.32855 39.9575 0.705292 0.796207 27.2286 -0.153759 1.69452 43.7919 0.814842 0.495434 36.0243 0.281586 1.50999 2.51189 3.98107
5.2754 27.5465 0.816776 0.376627 17.0665 0.995687 0.0457706 30.6012 0.875544 0.452768 24.4676 0.593187 0.640882 3.98107 6.30957
8.36094 17.99 0.547049 0.222582 12.4677 0.131243 0.77146 19.958 0.663698 0.154093 15.8089 0.389006 0.412808 6.30957 10
