#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.43853e-08 2.79128e-11 1.25556e-10 8.625 8.875 193801
9.00 1.2161e-05 8.93696e-07 1.73075e-06 8.875 9.125 310864
9.25 0.000163138 1.09644e-05 3.21697e-05 9.125 9.375 1.09242e+06
9.50 0.000250323 1.9682e-05 4.75075e-05 9.375 9.625 3.15439e+06
9.75 0.000264865 3.30665e-05 6.397e-05 9.625 9.875 4.77723e+06
10.00 0.000919083 0.000205598 0.000327461 9.875 10.125 3.64029e+06
10.25 0.00552406 0.00122698 0.00212393 10.125 10.375 2.20637e+06
10.50 0.0176436 0.00296229 0.00643265 10.375 10.625 1.29753e+06
10.75 0.0268072 0.00499778 0.00980084 10.625 10.875 704831
11.00 0.0283678 0.00467855 0.0115411 10.875 11.125 368319
11.25 0.0277283 0.00308609 0.0129885 11.125 11.375 186815
11.50 0.0282013 0.00227001 0.0144487 11.375 11.625 91593
11.75 0.0284554 0.00186281 0.0143931 11.625 11.875 43293
12.00 0.0285897 0.00129825 0.013459 11.875 12.125 19485
12.25 0.0286923 -0.000278229 0.0139448 12.125 12.375 8239
12.50 0.0346502 -0.0017301 0.0160503 12.375 12.625 3175
12.75 0.0589627 -0.00164193 0.0250109 12.625 12.875 1000
13.00 0.0986998 0.0028967 0.0404492 12.875 13.125 332
13.25 0.14705 0.00932732 0.0617897 13.125 13.375 63
13.50 0.375944 -0.0113719 0.159259 13.375 13.625 13
13.75 0 0 0 13.625 13.875 0
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
