#Peak halo masses in Msun
#Number densities in comoving Mpc^-3 dex^-1.
#Log10(HM) Number_Density Err+ Err- Satellite_fraction Err+ Err- HM_Left_Edge HM_Right_Edge
8.00 0 0 0 0 0 0 7.875 8.125
8.25 0 0 0 0 0 0 8.125 8.375
8.50 0 0 0 0 0 0 8.375 8.625
8.75 0.00216112 0 0 0.070657 0 0 8.625 8.875
9.00 0.00375443 8.04946e-08 -8.04946e-08 0.123515 1.87904e-05 -1.87904e-05 8.875 9.125
9.25 0.0173487 8.04946e-06 -3.38077e-06 0.147991 0.000320941 -0.000138178 9.125 9.375
9.50 0.0616541 0.000259434 -6.83399e-05 0.101513 0.00270582 -0.000712134 9.375 9.625
9.75 0.166625 0.00262847 -0.000563865 0.105751 0.00680963 -0.00146847 9.625 9.875
10.00 0.255407 0.00628148 -0.00132623 0.142242 0.00921738 -0.00204405 9.875 10.125
10.25 0.189691 0.00529582 -0.00112491 0.185953 0.0136049 -0.0028663 10.125 10.375
10.50 0.120118 0.00451736 -0.000910555 0.227078 0.02184 -0.0042161 10.375 10.625
10.75 0.0746963 0.00460799 -0.000770092 0.257104 0.039097 -0.00636166 10.625 10.875
11.00 0.0461599 0.00376634 -0.000610069 0.283188 0.0520467 -0.00869438 10.875 11.125
11.25 0.0275712 0.00206469 -0.000331396 0.283187 0.0488989 -0.00817308 11.125 11.375
11.50 0.0163581 0.00107315 -0.000178537 0.271031 0.0443866 -0.00760257 11.375 11.625
11.75 0.00968052 0.000563301 -8.34729e-05 0.263373 0.0401497 -0.00619853 11.625 11.875
12.00 0.00568276 0.000275935 -4.14547e-05 0.259044 0.034186 -0.0053238 11.875 12.125
12.25 0.00332354 0.000128872 -1.95602e-05 0.243067 0.0281616 -0.00440466 12.125 12.375
12.50 0.00192776 5.58632e-05 -7.00303e-06 0.233329 0.0214694 -0.00273341 12.375 12.625
12.75 0.00110672 2.13311e-05 -9.65935e-07 0.222343 0.0145625 -0.000605464 12.625 12.875
13.00 0.000630273 6.76155e-06 3.05879e-06 0.216731 0.00818735 0.00379251 12.875 13.125
13.25 0.000343229 1.93187e-06 2.33434e-06 0.195122 0.00431822 0.00551155 13.125 13.375
13.50 0.000184413 4.82968e-07 2.41484e-06 0.176342 0.00215149 0.0109287 13.375 13.625
13.75 9.36152e-05 1.60989e-07 4.82968e-07 0.158212 0.00144513 0.00436537 13.625 13.875
14.00 4.34671e-05 0 8.04946e-08 0.101852 0 0.00166632 13.875 14.125
14.25 2.02846e-05 0 2.41484e-07 0.0912698 0 0.0109486 14.125 14.375
14.50 5.79561e-06 0 8.04946e-08 0.0138889 0 0.0138889 14.375 14.625
14.75 2.09286e-06 0 0 0 0 0 14.625 14.875
15.00 1.60989e-07 0 0 0 0 0 14.875 15.125
15.25 8.04946e-08 0 0 0 0 0 15.125 15.375
15.50 0 0 0 0 0 0 15.375 15.625
15.75 0 0 0 0 0 0 15.625 15.875
