#Observed stellar masses in Msun
#Infall delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.237873.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#SM Median_Infall_Delay_Time(MW) Err+ Err- +1_sigma_Infall_Delay_Time(MW) Err+ Err- -1_sigma_Infall_Delay_Time(MW) Err+ Err- Median_Infall_Delay_Time(GR) Err+ Err- +1_sigma_Infall_Delay_Time(GR) Err+ Err- -1_sigma_Infall_Delay_Time(GR) Err+ Err- Median_Infall_Delay_Time(CL) Err+ Err- +1_sigma_Infall_Delay_Time(CL) Err+ Err- -1_sigma_Infall_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.448214 0.0452317 0.0445718 0.892228 0.095027 0.0995024 0.161202 0.0177557 0.0176885 0.459424 0.066112 0.0512955 0.907723 0.120194 0.10737 0.156056 0.03186 0.0224447 1.77305 0 0 1.77305 0 0 1.77305 0 0 7.2 7.4 623266 18402 1775 0
7.5 0.518192 0.0548524 0.058897 1.03313 0.0530908 0.0833705 0.187852 0.0189445 0.0217263 0.569698 0.0487425 0.0561608 1.12032 0.0695037 0.114316 0.209073 0.0169842 0.02609 1.77305 0 0 1.77305 0 0 1.77305 0 0 7.4 7.6 497866 18720 1788 0
7.7 0.581638 0.0616484 0.0591823 1.10734 0.0369236 0.0440582 0.20934 0.0241703 0.0222379 0.652062 0.0419425 0.0492057 1.24074 0.021348 0.0499818 0.230307 0.0149966 0.0162756 1.77305 0 0 1.77305 0 0 1.77305 0 0 7.6 7.8 386688 18188 1846 0
7.9 0.619503 0.0583313 0.057251 1.13284 0.0334531 0.0325714 0.22355 0.0267768 0.0212915 0.700874 0.0357416 0.046666 1.26563 0.0171704 0.0218743 0.25591 0.0240686 0.0263672 1.77305 0 0 1.77305 0 0 1.77305 0 0 7.8 8 293465 16548 1722 0
8.1 0.627689 0.0555979 0.0498204 1.13324 0.0271019 0.0256261 0.231166 0.0266578 0.020826 0.721548 0.0340596 0.0305199 1.28041 0.0123705 0.0159363 0.265886 0.0164522 0.013083 1.77305 0 0 1.77305 0 0 1.77305 0 0 8 8.2 216722 14479 1493 0
8.3 0.605774 0.0467684 0.0445827 1.10969 0.0290339 0.02657 0.21712 0.0204477 0.0164064 0.754895 0.0339023 0.0401188 1.28147 0.0176858 0.0193284 0.282903 0.0217393 0.0230481 1.77305 0 0 1.77305 0 0 1.77305 0 0 8.2 8.4 157926 12068 1302 0
8.5 0.578418 0.0400268 0.0422277 1.06902 0.0266868 0.0291622 0.208475 0.0166911 0.0162923 0.752227 0.0272961 0.0283353 1.25562 0.0150808 0.0119576 0.264879 0.0168357 0.0179658 1.77305 0 0 1.77305 0 0 1.77305 0 0 8.4 8.6 114360 10010 1042 0
8.7 0.540838 0.0395985 0.0365571 1.02588 0.0268433 0.0269667 0.19534 0.0137464 0.0139187 0.761714 0.0370784 0.0318114 1.27355 0.0105088 0.0142684 0.288454 0.0150905 0.0202949 1.77305 0 0 1.77305 0 0 1.77305 0 0 8.6 8.8 82833 7906 808 0
8.9 0.510269 0.0329887 0.0344476 0.979328 0.022882 0.0305747 0.177062 0.0146156 0.0109387 0.730923 0.0183973 0.0248216 1.2384 0.0192184 0.0228546 0.24545 0.0130445 0.0183678 1.77305 0 0 1.77305 0 0 1.77305 0 0 8.8 9 59130 6075 689 0
9.1 0.479251 0.0296798 0.0317362 0.949012 0.0239312 0.0238883 0.158692 0.00924997 0.011092 0.697069 0.0226393 0.0263012 1.21037 0.0173881 0.0278598 0.232643 0.0205413 0.0189924 1.77305 0 0 1.77305 0 0 1.77305 0 0 9 9.2 42165 4463 560 0
9.3 0.450295 0.0242483 0.0297531 0.92616 0.0173594 0.023622 0.139199 0.0087699 0.0118889 0.703603 0.0229327 0.0314445 1.1762 0.00943494 0.0144902 0.289641 0.0126322 0.0172966 1.77305 0 0 1.77305 0 0 1.77305 0 0 9.2 9.4 29770 2772 463 0
9.5 0.454244 0.016399 0.0270145 0.909761 0.020201 0.0249261 0.123612 0.00723214 0.0081379 0.710845 0.0169943 0.0256198 1.16617 0.0152094 0.0155876 0.249373 0.0149004 0.013466 1.77305 0 0 1.77305 0 0 1.77305 0 0 9.4 9.6 21127 1777 412 0
9.7 0.432971 0.0167845 0.0212836 0.878275 0.0249943 0.0207409 0.119902 0.00995721 0.0128284 0.639945 0.0283633 0.0406186 1.1414 0.0138834 0.0302261 0.199392 0.0262933 0.0197195 1.77305 0 0 1.77305 0 0 1.77305 0 0 9.6 9.8 14704 955 335 0
