#Observed stellar masses in Msun
#Quenching delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.212560.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of quenched(all)/quenched after infall(sats) galaxies in the bin for the bestfit model.
#SM Median_Quenching_Delay_Time(MW) Err+ Err- +1_sigma_Quenching_Delay_Time(MW) Err+ Err- -1_sigma_Quenching_Delay_Time(MW) Err+ Err- Median_Quenching_Delay_Time(GR) Err+ Err- +1_sigma_Quenching_Delay_Time(GR) Err+ Err- -1_sigma_Quenching_Delay_Time(GR) Err+ Err- Median_Quenching_Delay_Time(CL) Err+ Err- +1_sigma_Quenching_Delay_Time(CL) Err+ Err- -1_sigma_Quenching_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0 0.485 0 0 0.691887 0 0 0.191748 0 0 0.07 0 0 0.160095 0 0 0.0207472 0 0 0 0 0 0 0 0 0 0 7.2 7.4 11 0 0 0
7.5 0 0.491667 0 0 0.69399 0 0 0.207933 0 0 0.192262 0 0 0.41386 0 0 0.0737983 0 0 0 0 0 0 0 0 0 0 7.4 7.6 25 1 0 0
7.7 0.155711 0.519289 0.155711 0.242067 0.45 0.242067 0.0662109 0.407587 0.0662109 0 0.175 0 0 0.405768 0 0 0.0674508 0 0 0 0 0 0 0 0 0 0 7.6 7.8 35 1 0 0
7.9 0 0.475 0 0 0.732024 0 0 0.373798 0 0 0.226562 0 0 0.472979 0 0 0.0830656 0 0 0 0 0 0 0 0 0 0 7.8 8 31 3 0 0
8.1 0 0.625 0 0 0.776202 0 0 0.347597 0 0 0.40625 0 0 0.592067 0 0 0.157693 0 0 0 0 0 0 0 0 0 0 8 8.2 30 8 2 0
8.3 0 0.5 0 0 0.752403 0 0 0.258655 0 0 0.525 0 0 0.592067 0 0 0.211059 0 0 0 0 0 0 0 0 0 0 8.2 8.4 34 10 0 0
8.5 0.220065 0.279935 0.220065 0.441034 0.256081 0.441034 0.0827232 0.207663 0.0827232 0 0.525 0 0 0.890224 0 0 0.507933 0 0 0 0 0 0 0 0 0 0 8.4 8.6 44 18 1 0
8.7 0.220833 0.179167 0.220833 0.438797 0.25327 0.438797 0.0833049 0.131359 0.0833049 0 0.675 0 0 0.836538 0 0 0.407933 0 0 0 0 0 0 0 0 0 0 8.6 8.8 61 39 2 0
8.9 0.215 0.290556 0.215 0.434316 0.35739 0.434316 0.0836738 0.220654 0.0836738 0.125 0.3875 0.125 0.142067 0.660336 0.142067 0.0663959 0.194663 0.0663959 0 0 0 0 0 0 0 0 0 8.8 9 87 35 8 0
9.1 0.259854 0.165146 0.259854 0.442067 0.243474 0.442067 0.0975966 0.124795 0.0975966 0.175 0.3625 0.175 0.292067 0.53137 0.292067 0.0872334 0.170699 0.0872334 0 0 0 0 0 0 0 0 0 9 9.2 141 31 8 0
9.3 0.25 0.210714 0.25 0.455827 0.296576 0.455827 0.0878668 0.139057 0.0878668 0.275 0.25 0.275 0.392067 0.46274 0.392067 0.126323 0.204207 0.126323 0 0 0 0 0 0 0 0 0 9.2 9.4 182 42 17 0
9.5 0.218421 0.206579 0.218421 0.431322 0.262107 0.431322 0.0859031 0.124794 0.0859031 0.3375 0.1625 0.3375 0.492067 0.317908 0.492067 0.142428 0.173437 0.142428 0 0 0 0 0 0 0 0 0 9.4 9.6 214 45 19 0
9.7 0.3 0.125 0.3 0.434134 0.376202 0.434134 0.156731 0.117067 0.156731 0.325 0.15 0.325 0.586538 0.219832 0.586538 0.155891 0.109975 0.155891 0 0 0 0 0 0 0 0 0 9.6 9.8 233 15 21 0
9.9 0 0.5 0 0 0.66274 0 0 0.18726 0 0.3625 0.1025 0.1875 0.596152 0.166588 0.312017 0.171395 0.110336 0.0993433 0 0 0 0 0 0 0 0 0 9.8 10 248 11 26 0
10.1 0.175 0.1 0.175 0.192067 0.403605 0.192067 0.115866 0.0420672 0.115866 0.325 0.275 0.129167 0.634134 0.178605 0.291748 0.164664 0.171034 0.0801681 0 0 0 0 0 0 0 0 0 10 10.2 241 6 23 0
10.3 0.25 0.05 0.25 0.318269 0.223437 0.318269 0.139664 0.0920672 0.139664 0.35 0.25 0.175 0.674639 0.0881009 0.296034 0.167428 0.198437 0.0936302 0 0 0 0 0 0 0 0 0 10.2 10.4 255 4 21 0
10.5 0.225 0.05 0.225 0.284134 0.21274 0.284134 0.106731 0.151202 0.106731 0.35 0.25 0.125 0.738101 0.0746387 0.203966 0.134375 0.0973558 0.0486779 0 0 0 0 0 0 0 0 0 10.4 10.6 246 4 16 0
10.7 0.55 0.225 0.55 0.584134 0.207933 0.584134 0.331731 0.426202 0.331731 0.308333 0.0916667 0.120833 0.515143 0.18726 0.192067 0.147597 0.0762017 0.0465546 0 0 0 0 0 0 0 0 0 10.6 10.8 181 2 11 0
10.9 0 0.125 0 0 0.142067 0 0 0.107933 0 0.35 0.1 0.075 0.534135 0.102403 0.0817311 0.188462 0.0512017 0.075 0 0 0 0 0 0 0 0 0 10.8 11 133 0 14 0
11.1 0 0.125 0 0 0.142067 0 0 0.107933 0 0.4 0.125 0.175 0.568269 0.0579328 0.226202 0.189664 0.0762017 0.1 0 0 0 0 0 0 0 0 0 11 11.2 73 1 7 0
11.3 0 0 0 0 0 0 0 0 0 0.25 0.15 0.25 0.376202 0.25 0.376202 0.0737983 0.173798 0.0737983 0 0 0 0 0 0 0 0 0 11.2 11.4 22 0 2 0
11.5 0 0 0 0 0 0 0 0 0 0.35 0.15 0.35 0.384134 0.35 0.384134 0.0658655 0.392067 0.0658655 0 0 0 0 0 0 0 0 0 11.4 11.6 9 0 2 0
11.7 0 0 0 0 0 0 0 0 0 0.475 0.55 0.475 0.492067 0.55 0.492067 0.265866 0.742067 0.265866 0 0 0 0 0 0 0 0 0 11.6 11.8 3 0 1 0
11.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11.8 12 0 0 0 0
12.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 12.2 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0
