#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ(Centrals) Err+ Err- Median_FQ(Sats) Err+ Err- Median_FQ(Sats_MW) Err+ Err- Median_FQ(Sats_Group) Err+ Err- Median_FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.000516737 0.00081797 0.000317721 0.00079621 0.00145507 0.000500315 0.000973755 0.00168737 0.000625636 0.00146279 0.00183686 0.000913189 0 0.0059761 0 7.2 7.4 602201 459403 142798 26237 9350 436
7.5 0.000410253 0.00058538 0.000242637 0.000775981 0.00214731 0.000510489 0.000833557 0.00278009 0.000574741 0.00118318 0.00270506 0.000821742 0.00181818 0.00435466 0.00181818 7.4 7.6 494414 359487 134927 26627 9168 486
7.7 0.000384672 0.000679081 0.000224168 0.000932635 0.00330599 0.000680138 0.000987481 0.00367149 0.000734921 0.001369 0.00495265 0.000961292 0 0.00694444 0 7.6 7.8 402504 278604 123900 26651 9031 497
7.9 0.000358575 0.000941006 0.000201886 0.00149814 0.00524409 0.00116351 0.00181519 0.00597805 0.00141638 0.00245278 0.00664548 0.00197854 0 0.00792079 0 7.8 8 319527 214494 105033 24366 8416 485
8.1 0.000535778 0.00159775 0.000375774 0.00245365 0.00803065 0.00191005 0.00280469 0.00893854 0.00222788 0.00345666 0.0102029 0.0025315 0 0.0158103 0 8 8.2 249553 166496 83057 21570 7327 433
8.3 0.000949176 0.00288184 0.000694994 0.00535657 0.013415 0.0043682 0.00561509 0.0141963 0.00435578 0.00691417 0.0135776 0.00515337 0.0103093 0.0203511 0.0103093 8.2 8.4 193037 129898 63139 18630 6300 364
8.5 0.00193456 0.00462365 0.00148838 0.00985075 0.0184466 0.00726241 0.0115753 0.0194026 0.00866988 0.0106943 0.0216931 0.00787834 0.016835 0.0211767 0.00905292 8.4 8.6 148957 101368 47589 15748 5208 304
8.7 0.00401815 0.00689487 0.00275492 0.0175829 0.0266407 0.0118643 0.018029 0.02742 0.0119844 0.0197458 0.0292515 0.0132061 0.0263158 0.0315073 0.0151218 8.6 8.8 114814 79050 35764 12955 4377 264
8.9 0.00722368 0.010839 0.00443817 0.0324755 0.036515 0.0202672 0.0292299 0.0352591 0.0181677 0.0379085 0.041596 0.0231082 0.0382775 0.037913 0.0247029 8.8 9 89133 62438 26695 10201 3678 207
9.1 0.0135158 0.0151465 0.00735369 0.054975 0.0428438 0.0296758 0.0432543 0.0380544 0.0250359 0.0701702 0.0533076 0.0352552 0.0696203 0.0503797 0.044463 9 9.2 67924 48395 19529 7418 3085 158
9.3 0.0247039 0.0199117 0.0111272 0.0834701 0.0510287 0.0398441 0.0614939 0.0448816 0.0322943 0.0977643 0.0546545 0.0453464 0.120301 0.0646307 0.0694533 9.2 9.4 52185 37968 14217 4869 2554 134
9.5 0.0393906 0.0255532 0.0166498 0.129296 0.0504099 0.0552636 0.0821918 0.0384923 0.0381327 0.161815 0.06026 0.0673511 0.153061 0.0809813 0.0612245 9.4 9.6 39718 29254 10464 3003 2189 92
9.7 0.0628955 0.0295004 0.0215584 0.174112 0.0532742 0.0612351 0.0947124 0.0413689 0.0386248 0.223329 0.0578495 0.0773088 0.188889 0.111111 0.072384 9.6 9.8 30983 23117 7866 1668 1914 100
