#Observed stellar masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ_infall(Sats_MW) Err+ Err- Median_FQ_infall(Sats_Group) Err+ Err- Median_FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.976331 0.00851715 0.016654 0.984375 0.0110795 0.0221108 0.988571 0.0114286 0.0230542 7.2 7.4 597918 20496 17066 10410
7.5 0.986667 0.00892806 0.0131568 0.985401 0.00659853 0.00959498 0.985714 0.00826162 0.0103044 7.4 7.6 490816 18675 15380 9183
7.7 0.992857 0.00330406 0.0129073 0.991477 0.00497663 0.0123106 0.982609 0.00813204 0.00915736 7.6 7.8 403484 16934 13334 8075
7.9 0.990476 0.00414747 0.00989366 0.985102 0.00999564 0.0114678 0.987915 0.00823843 0.00885779 7.8 8 338468 16028 12369 7696
8.1 0.981723 0.00889111 0.0141794 0.985222 0.0101487 0.0160965 0.98913 0.00424707 0.00794762 8 8.2 287088 16291 11896 7634
8.3 0.972435 0.0131054 0.0192264 0.981865 0.00610262 0.00984764 0.984694 0.00480741 0.00867468 8.2 8.4 239137 15587 11053 6752
8.5 0.975923 0.0119965 0.0160921 0.991354 0.00532329 0.0139024 0.978836 0.00577939 0.00710458 8.4 8.6 193287 13779 9307 5706
8.7 0.965625 0.0147804 0.0191048 0.974498 0.0117472 0.0178481 0.975933 0.00603133 0.00797141 8.6 8.8 154714 11816 8026 4882
8.9 0.958059 0.0157115 0.0228235 0.959817 0.0164461 0.0220839 0.955916 0.00722456 0.0115364 8.8 9 123993 10234 6641 4087
9.1 0.949612 0.0165904 0.0236865 0.96313 0.0116522 0.02248 0.951219 0.00807494 0.0139998 9 9.2 99400 8467 5587 3343
9.3 0.944481 0.0178396 0.0258425 0.924615 0.0216291 0.0302758 0.947791 0.011264 0.0242075 9.2 9.4 81360 6780 4766 2936
9.5 0.928931 0.0231187 0.0269866 0.907457 0.0232605 0.029341 0.918478 0.0152041 0.0229558 9.4 9.6 68812 5389 4235 2499
9.7 0.914315 0.0231855 0.0308517 0.875483 0.026491 0.0447477 0.892797 0.0228469 0.0468346 9.6 9.8 60655 4108 3796 2265
9.9 0.910931 0.0215631 0.029942 0.822827 0.0274314 0.0390619 0.845528 0.0200841 0.0339137 9.8 10 54419 2673 3699 2177
10.1 0.908907 0.0241786 0.0244848 0.756203 0.0378249 0.0435755 0.790837 0.0228403 0.0261872 10 10.2 50480 1654 3645 2041
10.3 0.855319 0.0254148 0.0307577 0.696437 0.0327296 0.0268494 0.728115 0.0305385 0.0328106 10.2 10.4 47309 871 3647 1968
10.5 0.878261 0.017164 0.0277936 0.661674 0.027077 0.0301208 0.608192 0.0177954 0.0215852 10.4 10.6 42091 362 3388 1839
10.7 0.875 0.0197368 0.0271739 0.631073 0.0264611 0.0306072 0.546618 0.0220588 0.0218284 10.6 10.8 33716 121 2627 1610
10.9 0.870968 0.0490323 0.0495391 0.601619 0.0238639 0.0264307 0.445913 0.0205044 0.0175215 10.8 11 21845 46 1580 1094
11.1 1 0 0 0.606491 0.02177 0.0291237 0.368526 0.0197094 0.0232429 11 11.2 10868 7 540 588
11.3 1 0 0 0.618421 0.0482456 0.0446506 0.284047 0.0278345 0.0278483 11.2 11.4 3851 3 108 227
11.5 0 0 0 0.5 0.166667 0.125 0.162791 0.0567215 0.0516796 11.4 11.6 988 0 7 44
11.7 0 0 0 0 0 0 0 0 0 11.6 11.8 215 0 0 6
11.9 0 0 0 0 0 0 0 0 0 11.8 12 18 0 0 0
12.1 0 0 0 0 0 0 0 0 0 12 12.2 1 0 0 0
12.3 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0
