#Peak halo masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Cen_Halo_Counts Bestfit_Sat_Halo_Counts Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0 0
8.75 0 1.52446e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 67354 65597 1757 226 208 25
9.00 0 2.6438e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 8.875 9.125 118290 113473 4817 853 789 115
9.25 4.1769e-06 1.25307e-05 3.66072e-10 2.63324e-05 4.16185e-09 4.63751e-08 0 0 0 0.000151584 -4.59404e-08 2.5233e-07 0 0 0 9.125 9.375 516800 478824 37976 6883 6597 918
9.50 8.68692e-05 0.000571185 1.08769e-05 0.000207632 0.00153503 7.8475e-06 0.000214717 0.0017095 3.62999e-05 0.000242131 0.00180238 -3.68982e-05 0.000592417 0.00234703 0.000296296 9.375 9.625 1.87815e+06 1.68069e+06 197465 32601 24780 3376
9.75 0.000463251 0.00268472 3.37299e-05 0.000734141 0.00504008 3.05998e-06 0.000970645 0.00629395 -7.67544e-06 0.00102822 0.00728407 -1.10536e-06 0.000696621 0.00923889 0.000174701 9.625 9.875 4.01045e+06 3.50782e+06 502628 72117 43765 5742
10.00 0.000273729 0.00176159 -7.75704e-06 0.000304504 0.00316207 -5.73322e-05 0.0003466 0.00413816 -7.75367e-05 0.000358816 0.00490485 -9.21512e-05 0.000778938 0.0053253 0.00013996 9.875 10.125 4.05879e+06 3.47424e+06 584558 83670 47378 6419
10.25 5.41194e-05 0.000475715 -6.18694e-06 0.000296196 0.00121896 0.000111068 0.000277279 0.00174814 1.87315e-05 0.000855014 0.00191559 0.000491564 0.000531256 0.00252114 0.000364031 10.125 10.375 2.70526e+06 2.19884e+06 506422 75736 40935 5647
10.50 8.8649e-05 0.000215249 6.74196e-05 0.00140172 0.00345187 0.00108927 0.00172218 0.00420901 0.00142253 0.00249643 0.00455935 0.00182064 0.00402969 0.00615361 0.00275931 10.375 10.625 1.66791e+06 1.26341e+06 404503 68518 33648 4715
10.75 0.000360598 0.000529723 0.000323769 0.00511322 0.00838919 0.00377639 0.00554647 0.00952227 0.00401794 0.00843177 0.0117332 0.00598994 0.0147142 0.0101338 0.0119193 10.625 10.875 1.01198e+06 732117 279863 56252 24550 3534
11.00 0.00189184 0.00145774 0.00163456 0.017925 0.016857 0.011128 0.0167531 0.0189774 0.0101928 0.027487 0.0218922 0.0168698 0.0397946 0.022096 0.0262582 10.875 11.125 576342 422869 153473 40112 16335 2337
11.25 0.00788146 0.00320828 0.00627927 0.0527107 0.0313075 0.024492 0.0447153 0.0316459 0.021654 0.0700439 0.0386566 0.0312617 0.0922131 0.0351841 0.0412125 11.125 11.375 322435 243229 79206 26993 10936 1464
11.50 0.0281494 0.00626013 0.0179317 0.128977 0.0484654 0.0415272 0.0981267 0.0415268 0.0364023 0.153051 0.0524085 0.0446732 0.180539 0.0514134 0.0468877 11.375 11.625 179941 139399 40542 14787 7161 853
11.75 0.0797474 0.00950448 0.0377966 0.255706 0.0418802 0.0494206 0.184053 0.0371875 0.0470558 0.291552 0.0478522 0.0493873 0.316327 0.0529042 0.0703372 11.625 11.875 99653 78711 20942 4352 5090 588
12.00 0.184172 -9.43244e-05 0.0552639 0.420917 0.0418209 0.0420864 0.342975 0.0327257 0.0295137 0.45333 0.050247 0.0376526 0.505102 0.0361351 0.0536585 11.875 12.125 54027 43519 10508 484 3514 392
12.25 0.35755 0 0.0650015 0.608552 0.0373013 0.0215822 0.594595 0.0793185 0.0445946 0.626818 0.04713 0.0167829 0.711297 0.0295936 0.0388833 12.125 12.375 28502 23661 4841 37 2200 239
12.50 0.552073 0.0206525 0.0578583 0.769772 0.0360749 0.0195547 1 0 0.166667 0.744076 0.032111 0.0196484 0.851852 0.0377187 0.0290671 12.375 12.625 14720 12444 2276 5 1266 162
12.75 0.726135 0.0474892 0.0524627 0.875803 0.0208912 0.0189565 1 0 0 0.829201 0.0198555 0.0224784 0.891089 0.0264367 0.0210891 12.625 12.875 7167 6233 934 1 363 101
13.00 0.863866 0.0430252 0.0326051 0.923304 0.0296373 0.0168711 0 0 0 0.815789 0.0816464 0.0263157 0.942857 0.0268399 0.017484 12.875 13.125 3314 2975 339 0 38 70
13.25 0.9251 0.0262948 0.0207171 0.96875 0 0.0234375 0 0 0 0.666667 0 0 1 0 0 13.125 13.375 1383 1255 128 0 3 46
