#Peak halo masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 8.625 8.875 118257 156 83 2
9.00 0 0 0 0 0 0 0 0 0 8.875 9.125 198969 662 355 7
9.25 0 0 0 0 0 0 0 0 0 9.125 9.375 777225 5861 3166 78
9.50 0 0.25 0 1 -0.5 0.833333 0 0.5 0 9.375 9.625 2.49308e+06 35522 15965 368
9.75 0.125 0.140957 0.00378788 0.142857 0.14881 0.0252101 0 0.656566 0 9.625 9.875 4.60488e+06 76138 28170 656
10.00 0.130435 0.220351 0.00543478 0.142857 0.357143 0 0 0.5 0 9.875 10.125 3.98487e+06 80873 27871 687
10.25 0.5 0.244553 0.357143 1 -0.25 1 0 0 0 10.125 10.375 2.57857e+06 73976 24381 630
10.50 0.971429 0.0285714 0.638095 0.923077 -0.0297436 0.923077 1 0 1 10.375 10.625 1.58816e+06 68065 20709 595
10.75 0.839695 0.100305 0.144659 0.955556 0.0444444 0.207763 1 0 1 10.625 10.875 933370 51975 14629 430
11.00 0.88 0.0505556 0.0521311 0.895833 0.0333702 0.111883 0.857143 0.142857 0.357143 10.875 11.125 512570 36242 9557 271
11.25 0.86 0.0350178 0.0438926 0.859375 0.0493206 0.0411932 0.777778 0.106838 0.777778 11.125 11.375 277198 23645 6471 174
11.50 0.810617 0.085487 0 0.864341 0.0236589 0.0412118 1 0 0.2 11.375 11.625 148892 12211 4233 106
11.75 0.780193 0.0790818 0.00746596 0.806638 0.0901875 0.0233225 1 0 0.157895 11.625 11.875 78448 3521 2914 54
12.00 0.734177 0.168601 -0.0359377 0.7425 0.114342 0.0152273 0.6875 0.0625 0.0625 11.875 12.125 39905 350 1990 46
12.25 0.5 0.125 0 0.621543 0.143829 0.0193795 0.708333 0.0916667 0.117424 12.125 12.375 19554 12 1251 35
12.50 0 0 0 0.473923 0.111619 0.0187947 0.466667 0.0666667 0.109524 12.375 12.625 9155 0 650 18
12.75 0 0 0 0.389706 0.0951426 0.030551 0.333333 0.166667 0.111111 12.625 12.875 3954 0 170 19
13.00 0 0 0 0.28 0.095 0.08 0.4 0.0444444 0.2 12.875 13.125 1590 1 26 10
13.25 0 0 0 0 0 0 0 0.285714 0 13.125 13.375 552 0 0 7
13.50 0 0 0 0 0 0 0 0 0 13.375 13.625 164 0 0 4
13.75 0 0 0 0 0 0 0 0 0 13.625 13.875 34 0 0 0
14.00 0 0 0 0 0 0 0 0 0 13.875 14.125 4 0 0 0
14.25 0 0 0 0 0 0 0 0 0 14.125 14.375 0 0 0 0
14.50 0 0 0 0 0 0 0 0 0 14.375 14.625 0 0 0 0
14.75 0 0 0 0 0 0 0 0 0 14.625 14.875 0 0 0 0
15.00 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0
15.50 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0
