#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 316747 4893 1 0 0
9 0 0 0 0 0 0 0 0 0 0 0 0 8.875 9.125 487827 5629 12 0 0
9.25 0 0 0 0 0 0 0 0 0 0 0 0 9.125 9.375 1.31704e+06 16286 254 0 0
9.5 0 0 0 0 0 0 0 0 0 0 0 4.11773e-07 9.375 9.625 2.50770e+06 80705 1801 9 0
9.75 0 0 0 0 0 0 0 0 0 0 0 4.1363e-07 9.625 9.875 2.56894e+06 154182 4016 17 0
10 0 3.07403e-05 0 0 0 0 0 0 0 0 0 6.56441e-07 9.875 10.125 1.67312e+06 151699 5113 25 0
10.25 0 0.000115005 0 0 0.000381472 0 0 0 0 0 0 0 10.125 10.375 885983 124600 5128 28 0
10.5 0 0.000416189 0 0 0.000457689 0 0 0 0 0 0 1.66182e-05 10.375 10.625 418455 57457 3645 23 0
10.75 0 0.00120889 0 0 0.00221363 0 0 0 0 0 0 5.39656e-05 10.625 10.875 188435 21669 2421 13 0
11 0.000123778 0.00223268 0.000123778 0 0.00506966 0 0 0 0 0 0 0.000195315 10.875 11.125 79761 8079 1592 7 0
11.25 -3.49382e-05 0.00837363 -3.49382e-05 -3.49382e-05 0.0128586 -3.49382e-05 -3.49382e-05 3.49382e-05 -3.49382e-05 -3.49382e-05 3.49382e-05 0.00122284 11.125 11.375 31309 2687 991 4 0
11.5 0.00241737 0.0208436 0.00241737 0.00369081 0.0293258 0.00369081 -0.000285334 0.000285334 9.51113e-05 -0.000285334 0.000285334 0.00313867 11.375 11.625 11254 740 503 3 0
11.75 -0.00119976 0.0114731 -0.00119976 -0.00119976 0.00119976 -0.00029994 -0.00119976 0.432813 -0.00089982 -0.00119976 0.00119976 0.0131974 11.625 11.875 3511 177 128 2 0
12 0.0694043 -0.00106489 0.0694043 0.0549812 -0.0311493 0.0582035 -0.0075188 0.0075188 0.0354458 -0.0075188 0.0075188 0.0354458 11.875 12.125 983 52 16 0 0
12.25 -0.0291262 0.0291262 -0.00485437 -0.0291262 0.0291262 0.106796 -0.0291262 0.752427 -0.0242718 -0.0291262 0.0291262 0.106796 12.125 12.375 211 5 0 1 0
12.5 -0.0540541 0.148649 0 -0.0540541 0.0540541 0.297297 -0.0540541 0.0540541 0.297297 -0.0540541 0.0540541 0.297297 12.375 12.625 39 2 0 0 0
12.75 -0.25 0.25 0.25 -0.25 0.25 0.25 -0.25 0.25 0.25 -0.25 0.25 0.25 12.625 12.875 8 0 0 0 0
13 0 0 0 0 0 0 0 0 0 0 0 0 12.875 13.125 0 0 0 0 0
13.25 0 0 0 0 0 0 0 0 0 0 0 0 13.125 13.375 0 0 0 0 0
13.5 0 0 0 0 0 0 0 0 0 0 0 0 13.375 13.625 0 0 0 0 0
13.75 0 0 0 0 0 0 0 0 0 0 0 0 13.625 13.875 0 0 0 0 0
14 0 0 0 0 0 0 0 0 0 0 0 0 13.875 14.125 0 0 0 0 0
14.25 0 0 0 0 0 0 0 0 0 0 0 0 14.125 14.375 0 0 0 0 0
14.5 0 0 0 0 0 0 0 0 0 0 0 0 14.375 14.625 0 0 0 0 0
14.75 0 0 0 0 0 0 0 0 0 0 0 0 14.625 14.875 0 0 0 0 0
15 0 0 0 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0 0
15.5 0 0 0 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0 0
