#Observed stellar masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ_infall(Sats) Err+ Err- Median_FQ_infall(Sats_MW) Err+ Err- Median_FQ_infall(Sats_Group) Err+ Err- Median_FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.00333943 0.003491 0.00199972 0.00360316 0.00367894 0.00212165 0.00321665 0.00354705 0.00175871 0.00400657 0.00482151 0.0022906 7.2 7.4 578010 133169 22726 15629 5962
7.5 0.00646889 0.00600704 0.00389148 0.00697904 0.00614977 0.00416052 0.00535491 0.00569194 0.00296908 0.00722764 0.00722647 0.0042989 7.4 7.6 469130 114871 20613 13845 5306
7.7 0.0111453 0.00931387 0.00605873 0.0114205 0.0093466 0.00630063 0.0110982 0.00787187 0.00636627 0.0123951 0.0102723 0.00726635 7.6 7.8 387620 106197 20061 12960 5091
7.9 0.0156242 0.0104313 0.00800833 0.0157113 0.0116762 0.00816503 0.0156595 0.0106126 0.00748402 0.0188786 0.0144492 0.00923151 7.8 8 326241 102605 20113 12646 5044
8.1 0.021507 0.0123764 0.0105342 0.0232895 0.0135348 0.0110193 0.0219488 0.0121231 0.0101584 0.0242594 0.0189349 0.0117218 8 8.2 271990 91961 19312 11605 4628
8.3 0.0292067 0.0152015 0.0122126 0.0307501 0.0154952 0.0129558 0.0312616 0.0151402 0.0132077 0.0351209 0.0280686 0.0146384 8.2 8.4 220081 75772 17292 10027 4106
8.5 0.0420967 0.0193147 0.0164509 0.0452842 0.0217692 0.0170111 0.0469139 0.0205541 0.0182376 0.0491695 0.0247689 0.0179801 8.4 8.6 176491 60288 15038 8441 3449
8.7 0.0577082 0.0228214 0.0189867 0.059145 0.0234443 0.0192635 0.0612113 0.0251112 0.0187929 0.0663405 0.037322 0.0225644 8.6 8.8 140507 47740 13026 7269 2839
8.9 0.0784253 0.0230892 0.0232131 0.0745547 0.0222374 0.0227761 0.0828197 0.0236227 0.0245663 0.0967892 0.0342923 0.0284392 8.8 9 110914 37156 10791 6046 2300
9.1 0.100406 0.0234867 0.0234787 0.0894485 0.0185573 0.0216828 0.102827 0.024942 0.0242149 0.114229 0.0367639 0.0296929 9 9.2 87320 28917 8564 5006 1852
9.3 0.118183 0.0267997 0.0238256 0.0931777 0.0218522 0.0195795 0.127219 0.0298256 0.0244907 0.146254 0.0341459 0.0292671 9.2 9.4 70397 22942 6546 4212 1625
9.5 0.139394 0.0268151 0.0286535 0.0934844 0.0256973 0.0259356 0.160396 0.0290291 0.0327435 0.167495 0.0354767 0.0315287 9.4 9.6 57910 18376 4750 3712 1388
9.7 0.163337 0.0305227 0.0304477 0.0867194 0.0287865 0.0266831 0.193823 0.03181 0.033361 0.198606 0.0379519 0.0380159 9.6 9.8 49023 15249 3237 3251 1282
9.9 0.186161 0.0324235 0.0335966 0.075721 0.0279633 0.0314696 0.218381 0.0355195 0.0319666 0.224613 0.0358142 0.0359065 9.8 10 43642 12939 2043 3194 1145
10.1 0.192521 0.0347083 0.0310749 0.0479827 0.0345211 0.0335566 0.237476 0.0356205 0.0308371 0.250479 0.0322126 0.041882 10 10.2 40298 11592 1203 3165 1086
10.3 0.207629 0.035549 0.0355445 0.00806609 0.0335445 0.0356775 0.251277 0.0401892 0.0393355 0.267038 0.0329942 0.0357472 10.2 10.4 38061 10285 673 3048 1099
10.5 0.200859 0.0306283 0.032137 -0.0222785 0.0538065 0.0426122 0.232008 0.0303293 0.0319529 0.294946 0.0294862 0.0406095 10.4 10.6 34771 8819 276 2910 1050
10.7 0.206168 0.0264918 0.0306493 0.0693615 0.0428583 0.0573753 0.198143 0.0266198 0.0279361 0.296587 0.021147 0.0235703 10.6 10.8 28214 6620 121 2357 939
10.9 0.171709 0.0244207 0.0276743 0.0126436 0.070476 0.0696332 0.14118 0.0258457 0.0286603 0.271254 0.0191483 0.0228255 10.8 11 18782 4016 31 1421 651
11.1 0.121876 0.0220709 0.0231722 0.199835 0.0752199 0.122388 0.0627298 0.02364 0.0254474 0.201885 0.0310807 0.0255118 11 11.2 9151 1766 10 591 346
11.3 0.0834406 0.0229532 0.0208501 -0.687759 0.034676 0.0310834 -0.0337468 0.0352961 0.0261795 0.189365 0.0214559 0.0260623 11.2 11.4 3026 472 0 123 123
11.5 0.036092 0.0331219 0.0405477 -0.770492 0.0256128 0.032734 -0.0147402 0.0596356 0.112327 0.155824 0.0491342 0.0395956 11.4 11.6 700 80 0 18 18
11.7 -0.130769 0.0849817 0.110302 -0.859375 0.0383224 0.0334821 -0.859375 0.0383224 0.0334821 0.121951 0.0432662 0.148811 11.6 11.8 97 5 0 1 3
11.9 -1 0.25 0 -1 0.222222 0 -1 0.222222 0 -1 0.25 0 11.8 12 4 0 0 0 0
12.1 -1 1 0 -1 1 0 -1 1 0 -1 1 0 12 12.2 1 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0
