#Observed stellar mass range: 10.4 < log10(M*/Msun) < 10.6
#Quenched: SFR / SM < 1e-11 / yr
#Galaxies at z=0 are selected as quenched via observed SSFR.
#Quenching histories are based on true SSFR.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Galaxies_Remaining Bestfit_Q_Galaxies_Remaining
1.002310 0.0204741 0.0191445 -0.00780641 0.993577 -0.00523394 0.0250047 23200 20708
0.994717 0.0918103 0.00347221 0.0118232 0.900425 0.0225928 0.0057894 23200 20708
0.987123 0.126164 0.00246803 0.011542 0.847837 0.0269303 0.00321186 23200 20708
0.979529 0.150647 0.0053723 0.00925051 0.813067 0.0262606 0.00502658 23200 20708
0.971935 0.17306 0.00407663 0.0100169 0.783659 0.0280799 0.00383168 23200 20708
0.964342 0.183362 0.00493732 0.00939192 0.763956 0.0267386 0.00431579 23200 20708
0.956748 0.196164 0.00755259 0.00804096 0.739762 0.0288756 0.00286764 23200 20708
0.949154 0.206983 0.00923061 0.00655417 0.725034 0.0287346 0.00317001 23200 20708
0.941560 0.217629 0.0107888 0.00662963 0.705331 0.0318979 0.000283241 23200 20708
0.933967 0.222974 0.0125933 0.00658864 0.685484 0.0330461 -0.000844657 23200 20708
0.926373 0.23181 0.0118466 0.00648162 0.669838 0.0305414 0.000708222 23200 20708
0.918779 0.239138 0.00901975 0.00977227 0.66018 0.0273526 0.00199121 23200 20708
0.911185 0.245905 0.0111942 0.0101686 0.646707 0.0282977 0.00230217 23200 20708
0.903592 0.252586 0.00831392 0.012152 0.637676 0.0260581 0.00393009 23200 20708
0.895998 0.257716 0.00786677 0.0133224 0.626425 0.023524 0.00633347 23200 20708
0.888404 0.264957 0.00525382 0.0186641 0.616573 0.0195602 0.0104767 23200 20708
0.880810 0.274267 0.000923842 0.0230673 0.60846 0.0172175 0.0139627 23200 20708
0.873217 0.277716 0.00314695 0.0220056 0.59576 0.0153421 0.0145457 23200 20708
0.865623 0.280172 0.00214469 0.0218502 0.589289 0.0159153 0.0158952 23200 20708
0.858029 0.284526 0.00203225 0.0234313 0.579631 0.0185503 0.0145592 23200 20708
0.850435 0.285474 0.000785381 0.0253871 0.57374 0.0164603 0.0156809 23200 20708
0.842842 0.286767 0.00127083 0.0251288 0.563357 0.0166838 0.0170984 23200 20708
0.835248 0.285172 0.00265801 0.0248163 0.55423 0.0180027 0.0164543 23200 20708
0.827654 0.282931 0.00123608 0.0254623 0.544476 0.0172126 0.0139164 23200 20708
0.820060 0.280603 0.00281924 0.0231357 0.535011 0.0171063 0.0154555 23200 20708
0.812467 0.278362 0.00308347 0.0231749 0.530471 0.0140754 0.0169374 23200 20708
0.804873 0.276638 0.00586936 0.0222113 0.524435 0.0116352 0.0187961 23200 20708
0.797279 0.276509 0.00560448 0.0228308 0.513714 0.0119674 0.0194539 23200 20708
0.789685 0.273836 0.00610444 0.0229675 0.509079 0.00993621 0.0211493 23200 20708
0.782092 0.272845 0.00501969 0.0248236 0.498696 0.0130914 0.0189191 23200 20708
0.774498 0.272931 0.00505054 0.0265624 0.494591 0.0123309 0.0202844 23200 20708
0.766904 0.267802 0.00654495 0.024928 0.488748 0.0118445 0.0213934 23200 20708
0.759310 0.271767 0.00433555 0.028094 0.482326 0.0107149 0.0238788 23200 20708
0.751717 0.267586 0.00684634 0.0262317 0.474503 0.0113765 0.0232887 23200 20708
0.744123 0.267974 0.00487125 0.0293032 0.46668 0.0127739 0.0224867 23200 20708
0.736529 0.263922 0.00529709 0.0286414 0.457408 0.0134736 0.0215004 23200 20708
0.728935 0.262198 0.0050371 0.0301869 0.450889 0.0131845 0.0224636 23200 20708
0.721342 0.26194 0.00386477 0.0308675 0.443355 0.0127064 0.0212634 23200 20708
0.713748 0.260086 0.00524521 0.028844 0.435629 0.0114672 0.0249554 23200 20708
0.706154 0.258664 0.00600141 0.0308751 0.433262 0.0122611 0.0235677 23200 20708
0.698560 0.252629 0.00481972 0.0303064 0.423363 0.0135285 0.0214272 23200 20708
0.690967 0.251207 0.00687432 0.0309053 0.414816 0.0149506 0.0205412 23200 20708
0.683373 0.247241 0.00540036 0.0303987 0.413657 0.0122752 0.0233257 23200 20708
