#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 2.93453e-05 0 8.625 8.875 34077
9.00 0 0 0 8.875 9.125 55281
9.25 1.26955e-05 2.11519e-05 4.23468e-06 9.125 9.375 236305
9.50 0.000187043 0.00010316 0.000102512 9.375 9.625 753838
9.75 0.00277646 0.00150717 0.00097333 9.625 9.875 1.93952e+06
10.00 0.00496437 0.00289118 0.00178802 9.875 10.125 2.97379e+06
10.25 0.00845982 0.00347164 0.003892 10.125 10.375 2.2692e+06
10.50 0.0182327 0.00397591 0.00787651 10.375 10.625 1.44981e+06
10.75 0.0438174 0.00898213 0.0147232 10.625 10.875 904093
11.00 0.0917286 0.0119493 0.0250531 10.875 11.125 560174
11.25 0.169898 0.0151035 0.0413768 11.125 11.375 336926
11.50 0.295372 0.0171284 0.0603416 11.375 11.625 201004
11.75 0.457998 0.0126381 0.0730538 11.625 11.875 119863
12.00 0.626431 0.0107027 0.0673183 11.875 12.125 70584
12.25 0.755234 0.00440115 0.0475902 12.125 12.375 41509
12.50 0.815781 0.000148356 0.0359011 12.375 12.625 24270
12.75 0.81065 0.00628328 0.0391137 12.625 12.875 14291
13.00 0.750874 0.0176641 0.0584708 12.875 13.125 8008
13.25 0.659542 0.0230432 0.0764634 13.125 13.375 4538
13.50 0.531599 0.0259748 0.07596 13.375 13.625 2421
13.75 0.430577 0.0370262 0.0771761 13.625 13.875 1282
14.00 0.341853 0.0129857 0.0785251 13.875 14.125 626
14.25 0.284314 0.0236333 0.0591482 14.125 14.375 306
14.50 0.351852 0.0219799 0.071478 14.375 14.625 108
14.75 0.238095 0.0476191 0.0238095 14.625 14.875 42
15.00 0.2 0 0 14.875 15.125 5
15.25 0 0 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
