#For SF galaxies, QTime is the duration of the last period when they were quenched.
#obs_sm <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
8.41656e+07 0.2 0.0816497 0 0 0 0 0 0.134224 0.0044969 0.130832 0.0343412 0.0193791 0.149404 0.00424262 0.145515 0.0289854 0.022016 0.172108 0.00271378 0.173064 0.0145272 0.0205062 25
1.52717e+08 0.307692 0.133235 0 0 0 0 0 0.120668 0.00618662 0.120833 0.0166524 0.0209127 0.138092 0.00664041 0.13237 0.0327606 0.0149786 0.164534 0.00513648 0.163123 0.0187372 0.017134 13
2.44011e+08 0.666667 0.142134 0 0 0 0 0 0.128145 0.00510778 0.12351 0.0258196 0.0120402 0.150226 0.00643055 0.152865 0.0245692 0.0287493 0.176271 0.00540331 0.182171 0.00826086 0.0240506 12
4.17597e+08 0.833333 0.0777087 0 0 0 0 0 0.133403 0.00340975 0.133903 0.0137942 0.0165092 0.163216 0.00241076 0.1635 0.00756751 0.00926489 0.185303 0.001652 0.187292 0.00498049 0.0114165 24
6.58593e+08 0.916667 0.0467177 0 0 0 0 0 0.127129 0.00326381 0.125951 0.0214549 0.0203445 0.157581 0.00299034 0.158697 0.0164769 0.014793 0.182934 0.00238471 0.185491 0.00621435 0.0106375 36
1.00216e+09 1 0 0 0 0 0 0 0.12821 0.00236098 0.130604 0.0144726 0.0206578 0.160899 0.00180152 0.164468 0.00928234 0.0174444 0.18464 0.000907457 0.185069 0.00633802 0.00683834 55
1.56016e+09 1 0 0 0 0 0 0 0.134069 0.00220979 0.133902 0.0180191 0.0162137 0.165195 0.00165049 0.167672 0.0107043 0.0151837 0.186433 0.000868557 0.186637 0.00621861 0.00719003 62
2.51402e+09 0.986301 0.0136986 0 0 0 0 0 0.132517 0.0020029 0.13422 0.0129441 0.0213565 0.166562 0.00162873 0.170515 0.00975977 0.0166345 0.186925 0.001189 0.189199 0.00626659 0.0100992 73
3.951e+09 1 0 3.78003e+06 3.78003e+06 0 0 0 0.133499 0.00153185 0.135778 0.0139231 0.019255 0.164878 0.00115233 0.166426 0.00896332 0.0146936 0.186176 0.000637408 0.186975 0.00529905 0.00812003 112
6.45901e+09 0.990654 0.00934579 0 0 0 0 0 0.1296 0.00171578 0.129352 0.0192346 0.0159765 0.163289 0.00136648 0.16415 0.0124826 0.0157354 0.186172 0.000777272 0.187114 0.00789475 0.00800076 107
9.90476e+09 0.991071 0.00892857 6.82022e+06 4.82953e+06 0 0 0 0.13449 0.00165407 0.13603 0.0172524 0.0208882 0.165471 0.0010952 0.166597 0.0101056 0.0121609 0.186331 0.000730215 0.188372 0.00524558 0.00892605 112
1.60692e+10 0.979452 0.0117813 1.56959e+07 6.33487e+06 0 0 0 0.133082 0.00143904 0.132531 0.0190347 0.0159338 0.164562 0.00111622 0.166839 0.0109504 0.0174854 0.184585 0.000771863 0.18702 0.00587688 0.0124298 146
2.50026e+10 0.9875 0.008811 4.77416e+06 3.3852e+06 0 0 0 0.134803 0.00137231 0.134386 0.0195596 0.0186594 0.164776 0.00106354 0.165743 0.0123713 0.0147768 0.184674 0.000787625 0.186412 0.00811435 0.0102992 160
3.85274e+10 1 0 1.2729e+07 6.2738e+06 0 0 0 0.136464 0.00170149 0.139201 0.0154994 0.0229225 0.164598 0.00132672 0.167908 0.00944814 0.0188382 0.183476 0.00106174 0.187046 0.00671577 0.0163841 107
6.20709e+10 0.988372 0.0116279 0 0 0 0 0 0.133896 0.00180441 0.134653 0.014479 0.0174873 0.163157 0.00154221 0.167254 0.00860892 0.0177381 0.183958 0.00102816 0.186298 0.00672987 0.0114578 86
9.9938e+10 0.979592 0.0204082 1.3898e+07 9.72447e+06 0 0 0 0.133732 0.00260013 0.131889 0.0235825 0.0160101 0.159504 0.00233456 0.162293 0.0150187 0.0252827 0.181364 0.00164128 0.184812 0.00796369 0.0169898 49
1.50635e+11 0.958333 0.0416667 0 0 0 0 0 0.138784 0.00330881 0.140226 0.013969 0.0201001 0.164859 0.00222357 0.162854 0.0122194 0.00826289 0.185568 0.00134203 0.18627 0.00753689 0.00867788 24
2.36391e+11 1 0 0 0 0 0 0 0.137943 0.00800176 0.139483 0.0276801 0.0211032 0.166935 0.00483692 0.174605 0.00510301 0.0236119 0.186432 0.00304892 0.190593 0.00348088 0.016414 6
