#For SF galaxies, QTime is the duration of the last period when they were quenched.
#sm <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
7.63772e+07 0.00111628 4.17231e-05 61883.3 8010.92 0 0 0 0.166646 4.96006e-05 0.160541 0.0459749 0.0325056 0.23645 5.50863e-05 0.23828 0.0454586 0.0489061 0.306226 2.86924e-05 0.312623 0.0125889 0.0250196 640522
1.5689e+08 0.00293539 0.000117526 230874 25264.9 0 0 0 0.17069 8.86387e-05 0.165299 0.0471044 0.0349278 0.244513 9.1036e-05 0.247568 0.0411659 0.04766 0.310137 4.27726e-05 0.315559 0.0107256 0.0211723 211897
2.48665e+08 0.00533596 0.00018032 565412 44693.9 0 0 0 0.1747 0.000102119 0.169628 0.0477083 0.0358788 0.249608 9.95499e-05 0.25306 0.0385804 0.0460386 0.312223 4.40752e-05 0.317107 0.00979629 0.0192383 163232
3.94153e+08 0.00931829 0.000271733 1.09402e+06 72881.7 0 0 0 0.179053 0.000116599 0.174709 0.0470071 0.0370054 0.254006 0.000109282 0.257724 0.0364486 0.0442605 0.313826 4.63369e-05 0.318312 0.00900379 0.0177745 125023
6.24901e+08 0.0167398 0.000413818 2.64768e+06 133627 0 0 0 0.183471 0.000133105 0.179336 0.0469966 0.0373549 0.258318 0.00011959 0.262219 0.0341876 0.0421697 0.315124 4.94838e-05 0.319325 0.00841489 0.0165606 96118
9.90395e+08 0.0293027 0.000620474 5.57112e+06 223096 0 0 0 0.188137 0.00015282 0.184606 0.0470882 0.0386678 0.262225 0.000130926 0.266133 0.0326014 0.040565 0.316044 5.48673e-05 0.320291 0.00789699 0.0162055 73884
1.56793e+09 0.0437715 0.000862995 1.06356e+07 362589 0 0 0 0.193034 0.000174049 0.1899 0.0462456 0.0390758 0.266083 0.00014416 0.269852 0.0311966 0.038622 0.316934 6.18828e-05 0.321189 0.00749898 0.0155736 56201
2.4854e+09 0.0675615 0.00121695 1.88838e+07 570213 0 0 0 0.19798 0.000200055 0.195381 0.046184 0.039976 0.269448 0.000161426 0.273471 0.0302398 0.0377033 0.31753 7.21504e-05 0.322128 0.00701612 0.0159247 42539
3.9379e+09 0.101167 0.00167551 3.49482e+07 896218 0 0 0 0.202152 0.000228342 0.199733 0.0462565 0.0401784 0.272177 0.000180683 0.276302 0.0290214 0.0369335 0.317665 8.81855e-05 0.322821 0.00673127 0.0164962 32392
6.24731e+09 0.14098 0.0022163 5.7131e+07 1.33153e+06 0 0 0 0.208067 0.000260795 0.206589 0.0447931 0.0409072 0.276362 0.000201177 0.280286 0.0285177 0.0360287 0.318076 0.000107826 0.324012 0.00606549 0.0177851 24656
9.90399e+09 0.185843 0.00279099 9.098e+07 1.92587e+06 0 0 0 0.212447 0.000292352 0.211234 0.0440767 0.0410711 0.279073 0.000227187 0.284212 0.0266674 0.0375948 0.317742 0.000134679 0.324731 0.00567061 0.0198213 19425
1.57252e+10 0.256269 0.00349191 1.414e+08 2.71804e+06 0 3.60165e+08 0 0.21659 0.000325974 0.21554 0.0442251 0.0416445 0.280327 0.000255633 0.286444 0.0258158 0.0387322 0.316115 0.000170692 0.324603 0.00586998 0.0235992 15632
2.49689e+10 0.310848 0.00403417 1.98676e+08 3.45539e+06 0 6.06006e+08 0 0.218756 0.000353724 0.218234 0.0438613 0.0422441 0.279589 0.000287092 0.286577 0.0251385 0.0410447 0.313437 0.000212543 0.323811 0.0064064 0.0300847 13164
3.94896e+10 0.389406 0.0046804 2.57251e+08 4.24109e+06 0 7.43049e+08 0 0.219472 0.000395908 0.218575 0.0453 0.0419021 0.27612 0.000332907 0.283115 0.026713 0.042985 0.308857 0.000265236 0.321008 0.00857171 0.0378537 10855
6.20453e+10 0.438159 0.00555733 2.94612e+08 5.22624e+06 0 8.10788e+08 0 0.216796 0.000454898 0.216862 0.0432824 0.0426471 0.27016 0.00040313 0.277499 0.0283584 0.045686 0.303972 0.000338906 0.316678 0.0115086 0.0421218 7972
9.6569e+10 0.48656 0.0075129 3.25522e+08 7.34287e+06 0 8.77994e+08 0 0.213373 0.000595061 0.212576 0.0436031 0.0409402 0.262827 0.000550189 0.268574 0.0321825 0.0442165 0.298456 0.000477037 0.310104 0.0161497 0.04582 4427
1.49708e+11 0.528302 0.0132009 3.3457e+08 1.28997e+07 0 8.77994e+08 0 0.211394 0.00105781 0.21043 0.0450359 0.041668 0.258221 0.00095912 0.262181 0.0328714 0.0436564 0.295715 0.000806574 0.305093 0.0181356 0.040981 1431
2.31256e+11 0.512315 0.0351692 2.80012e+08 3.27473e+07 0 8.10788e+08 0 0.214646 0.00254627 0.216521 0.035849 0.0408539 0.258428 0.00253884 0.26581 0.0285713 0.049503 0.294324 0.00217539 0.302268 0.0197015 0.0403986 203
3.55932e+11 0.5 0.188982 1.59971e+08 1.06525e+08 0 5.36715e+08 0 0.201874 0.0120925 0.191525 0.039148 0.01385 0.247865 0.00972794 0.248268 0.0108972 0.0212565 0.287344 0.0112953 0.292245 0.0298365 0.0430925 8
