#For SF galaxies, QTime is the duration of the last period when they were quenched.
#vmpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
44.7559 0 0 10130.2 853.274 0 0 0 0.230566 1.56183e-05 0.229773 0.0518122 0.0484904 0.268003 1.42879e-05 0.274524 0.037811 0.0534178 0.313411 6.82715e-06 0.319679 0.0104612 0.0236791 8440457
62.4684 0 0 3312.1 829.933 0 0 0 0.199311 2.52646e-05 0.192358 0.056558 0.0382229 0.248738 2.41447e-05 0.250021 0.0472202 0.0486665 0.311075 1.00818e-05 0.315654 0.0117692 0.0209613 3271307
78.5013 0 0 0 0 0 0 0 0.176031 3.13077e-05 0.17014 0.0440715 0.0318474 0.241984 3.16106e-05 0.242896 0.0412457 0.0429189 0.311532 1.23386e-05 0.31503 0.0107335 0.0177749 1605405
98.4925 0 0 22928.9 4272.45 0 0 0 0.171186 4.29293e-05 0.166361 0.0410117 0.0311884 0.249056 4.27893e-05 0.250739 0.0376799 0.0407027 0.314635 1.51693e-05 0.317619 0.00903717 0.0149398 764703
123.988 0 0 399964 26300.5 0 0 0 0.180411 6.56698e-05 0.175825 0.0431907 0.0330626 0.260823 5.79811e-05 0.26334 0.0329792 0.0377734 0.318202 1.85652e-05 0.320693 0.00734872 0.0122193 345921
155.89 0 0 3.22449e+06 118166 0 0 0 0.193869 0.00010181 0.190105 0.0444401 0.0358093 0.271887 7.90664e-05 0.274771 0.0291202 0.034081 0.321044 2.4836e-05 0.323461 0.00584552 0.0104167 150318
195.759 0 0 1.56236e+07 428297 0 0 0 0.210627 0.000165248 0.208572 0.0451317 0.0396486 0.284327 0.00011369 0.288573 0.0240487 0.0325386 0.324297 3.6279e-05 0.32681 0.00396189 0.00823414 59760
245.433 0 0 5.19776e+07 1.37589e+06 0 0 0 0.225779 0.000277355 0.224877 0.043093 0.0399792 0.292192 0.000180948 0.297844 0.0189491 0.0313887 0.325102 6.98848e-05 0.32817 0.00308755 0.00763181 20072
307.358 0 0 1.05158e+08 3.81775e+06 0 0 0 0.221657 0.000521928 0.221134 0.0414046 0.0386443 0.283498 0.000393613 0.289474 0.0223357 0.0367694 0.319938 0.000213818 0.325511 0.0046564 0.0148224 5265
385.28 0 0 1.76069e+08 1.11672e+07 0 6.06006e+08 0 0.201804 0.00116442 0.198786 0.0417753 0.0338659 0.259351 0.00109292 0.26116 0.0355178 0.0390468 0.307497 0.000776302 0.317497 0.00919807 0.0344293 990
484.594 0 0 2.2622e+08 3.07708e+07 0 6.74785e+08 0 0.181448 0.0026507 0.177809 0.0383639 0.0299861 0.238647 0.00284415 0.233724 0.0420941 0.0337932 0.294085 0.0025 0.304833 0.0196353 0.0484438 157
622.177 0 0 2.24154e+08 9.50605e+07 0 7.43049e+08 0 0.172366 0.0087284 0.167358 0.0311151 0.0249737 0.217044 0.0087094 0.214573 0.0526699 0.031432 0.270418 0.00898199 0.268372 0.0475686 0.0351683 17
784.779 0 0 3.03003e+08 3.03003e+08 6.06006e+08 0 6.06006e+08 0.13763 0.00660894 0.144239 0 0.0132179 0.197291 0.00196848 0.199259 0 0.00393696 0.286586 0.0213744 0.307961 0 0.0427488 2
