#For SF galaxies, QTime is the duration of the last period when they were quenched.
#mpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
8.08659e+09 0 0 506400 22867.8 0 0 0 0.291385 8.84316e-05 0.286227 0.0917182 0.0817047 0.374535 8.03115e-05 0.386737 0.0609902 0.0915733 0.469791 3.20271e-05 0.478254 0.0135313 0.0285929 839016
1.57956e+10 0 0 272268 22506.5 0 0 0 0.247154 0.000116638 0.233962 0.0878746 0.0591413 0.353217 0.000113476 0.36203 0.0632192 0.0866909 0.4676 3.97358e-05 0.474061 0.0143202 0.0265991 406930
2.49117e+10 0 0 611079 34948.8 0 0 0 0.228524 0.000120994 0.213425 0.0841477 0.0511331 0.349408 0.000116995 0.355459 0.063089 0.0784187 0.468781 3.73896e-05 0.473918 0.0138415 0.0239853 347612
3.92991e+10 0 0 1.80413e+06 68902.8 0 0 0 0.216576 0.000125026 0.203321 0.0739563 0.0460786 0.354263 0.000118816 0.359225 0.0571769 0.0689695 0.471432 3.54945e-05 0.475539 0.0122353 0.0203823 275404
6.21598e+10 0 0 5.5104e+06 145386 0 0 0 0.216192 0.00013771 0.205116 0.0680359 0.0458168 0.364979 0.000121464 0.369555 0.0489668 0.0594156 0.473874 3.62822e-05 0.477452 0.0107279 0.0178093 201894
9.80652e+10 0 0 1.32121e+07 286693 0 0 0 0.226373 0.000173365 0.216347 0.0675778 0.0483394 0.377788 0.000135082 0.381812 0.0434279 0.052178 0.476243 4.19999e-05 0.479639 0.00958917 0.0161783 129288
1.55272e+11 0 0 3.15798e+07 598765 0 0 0 0.241112 0.000225724 0.232955 0.066517 0.0516314 0.390192 0.000160857 0.393863 0.0397081 0.0474446 0.478926 5.24573e-05 0.482379 0.00847924 0.0147818 75859
2.4554e+11 0 0 6.42268e+07 1.15898e+06 0 0 0 0.261305 0.000295284 0.255783 0.0639908 0.0546785 0.405055 0.00019653 0.409549 0.0352347 0.045101 0.482207 6.65911e-05 0.485852 0.00673717 0.0129102 42960
3.88767e+11 0 0 1.2613e+08 2.23854e+06 0 0 0 0.284833 0.000391462 0.281724 0.0620125 0.0570545 0.418329 0.000245274 0.424174 0.0292942 0.041544 0.48382 9.4524e-05 0.487817 0.00581342 0.0122207 23325
6.12631e+11 0 0 2.20545e+08 4.16129e+06 0 6.11817e+08 0 0.303824 0.0005451 0.302806 0.0593404 0.0589251 0.419725 0.000351702 0.425577 0.0299016 0.0413559 0.48109 0.000170573 0.486679 0.00686297 0.0158979 11911
9.70743e+11 0 0 3.3279e+08 7.61891e+06 0 8.53413e+08 0 0.308406 0.000794494 0.308096 0.0580702 0.0599569 0.408975 0.000577953 0.414466 0.0358118 0.0476508 0.47273 0.000348245 0.481059 0.0106333 0.0271862 5628
1.53066e+12 0 0 5.08827e+08 1.42808e+07 0 1.17237e+09 0 0.298465 0.00122136 0.296381 0.0606217 0.0578037 0.387902 0.000998277 0.391063 0.0458185 0.0524727 0.45957 0.000737951 0.471426 0.0174191 0.0439758 2395
2.41715e+12 0 0 6.5729e+08 2.60529e+07 3.99279e+08 1.08793e+09 3.99279e+08 0.28163 0.00197519 0.277739 0.0615141 0.0574862 0.367119 0.00175466 0.368164 0.0557067 0.0568343 0.446307 0.00147044 0.462091 0.0235418 0.0627724 967
3.78568e+12 0 0 8.04904e+08 4.48612e+07 6.29539e+08 1.09076e+09 6.29539e+08 0.271223 0.00347201 0.263828 0.068854 0.0561344 0.352663 0.0031842 0.348815 0.0720664 0.0585761 0.437767 0.00280618 0.457305 0.0273634 0.0777113 373
5.97098e+12 0 0 1.02736e+09 7.70714e+07 8.69819e+08 1.08071e+09 8.69819e+08 0.250821 0.00475623 0.244146 0.0595726 0.0478837 0.329431 0.0052108 0.318968 0.0820314 0.0491885 0.426704 0.00493394 0.447708 0.0372356 0.0915133 144
1.00606e+13 0 0 1.17594e+09 1.32558e+08 1.093e+09 1.15961e+09 1.093e+09 0.225261 0.00929006 0.211114 0.0662621 0.0481736 0.30608 0.00924803 0.295456 0.0694025 0.0437579 0.400069 0.0108844 0.417892 0.056964 0.101363 45
1.48712e+13 0 0 1.10978e+09 2.58163e+08 1.17237e+09 8.53433e+08 1.17237e+09 0.240603 0.0166548 0.236939 0.0988891 0.0803163 0.308787 0.0155816 0.297878 0.103497 0.0485062 0.413089 0.0164134 0.432655 0.0491511 0.103682 18
2.39971e+13 0 0 6.74292e+08 2.81038e+08 1.01337e+09 3.16968e+08 1.01337e+09 0.227136 0.0312533 0.203732 0.147646 0.0155199 0.318385 0.0396346 0.328558 0.115324 0.103176 0.427251 0.0292315 0.459864 0.0247954 0.121603 5
3.50554e+13 0 0 6.25745e+08 6.25745e+08 1.25149e+09 0 1.25149e+09 0.266369 0.0805889 0.346958 0 0.161178 0.344735 0.0893587 0.434094 0 0.178717 0.400166 0.0855976 0.485763 0 0.171195 2
6.42113e+13 0 0 1.44e+09 5.86587e+08 2.02659e+09 0 1.17317e+09 0.248224 0.0972556 0.34548 0 0.194511 0.299638 0.0997102 0.399349 0 0.19942 0.361793 0.0790403 0.440834 0 0.158081 2
