#For SF galaxies, QTime is the duration of the last period when they were quenched.
#sm <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
7.67756e+07 0.00312156 8.33865e-05 1.25853e+06 45684 0 0 0 0.22443 0.000101367 0.212916 0.0820051 0.055379 0.374862 9.16891e-05 0.383402 0.0502011 0.0673605 0.473958 3.05279e-05 0.479021 0.0114478 0.0210739 447532
1.57156e+08 0.00642856 0.000199759 3.34842e+06 125968 0 0 0 0.234235 0.00017181 0.225126 0.0812867 0.0605759 0.386643 0.000133071 0.392784 0.0451865 0.0567994 0.476152 4.41136e-05 0.480506 0.0105987 0.0191654 160067
2.49008e+08 0.0108285 0.000289076 5.95369e+06 191725 0 0 0 0.242908 0.000192188 0.235236 0.0797523 0.0627653 0.392794 0.000136808 0.397866 0.0428054 0.0522234 0.477222 4.74075e-05 0.481448 0.0101568 0.0184204 128180
3.94668e+08 0.0160051 0.000391685 1.04254e+07 289328 0 0 0 0.251787 0.000212985 0.24574 0.0774223 0.0643594 0.398237 0.000144075 0.402701 0.0411474 0.0492833 0.478188 5.19463e-05 0.482494 0.0095543 0.017949 102655
6.25231e+08 0.0257432 0.000552779 1.74188e+07 417509 0 0 0 0.260557 0.000235969 0.256096 0.0744708 0.0655358 0.403302 0.000152129 0.407016 0.0393883 0.046112 0.479119 5.82231e-05 0.483554 0.00915614 0.0177193 82080
9.90719e+08 0.0375713 0.000746495 2.82734e+07 621057 0 0 0 0.270474 0.000260211 0.267159 0.0719708 0.0653194 0.408659 0.000165175 0.412416 0.0380555 0.0449761 0.480157 6.68792e-05 0.484911 0.00848761 0.0173301 64890
1.57164e+09 0.0499923 0.000956722 4.43022e+07 883765 0 0 0 0.280878 0.00029008 0.277993 0.0715035 0.0651853 0.414896 0.000178103 0.41873 0.0366929 0.0433418 0.481413 7.49376e-05 0.486407 0.0077101 0.016961 51888
2.49315e+09 0.0740997 0.00127877 7.1743e+07 1.33241e+06 0 0 0 0.291361 0.000316977 0.288965 0.0695557 0.0640646 0.420879 0.000191643 0.425669 0.033499 0.0429323 0.481922 9.01306e-05 0.487572 0.00709048 0.0169706 41957
3.95507e+09 0.0958021 0.00156119 1.04781e+08 1.75397e+06 0 0 0 0.302185 0.000336128 0.300198 0.0666451 0.0623079 0.426065 0.000202078 0.431311 0.0319063 0.041667 0.482032 0.000104252 0.488365 0.00672394 0.0179797 35542
6.28375e+09 0.13169 0.00192828 1.61332e+08 2.43695e+06 0 3.81991e+08 0 0.311891 0.000357854 0.310685 0.0663428 0.0629138 0.427847 0.000219382 0.434008 0.0303511 0.0415303 0.480175 0.00013249 0.488169 0.00681689 0.0213338 30754
