#For SF galaxies, QTime is the duration of the last period when they were quenched.
#sm <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
7.87494e+07 0 0 4.19921e+06 124048 0 0 0 0.205341 0.00013792 0.193124 0.0727397 0.046396 0.345708 0.000147716 0.354286 0.0577008 0.0782327 0.467714 5.40778e-05 0.474092 0.0130656 0.0250502 206549
1.57129e+08 0 0 7.60195e+06 261965 0 0 0 0.210033 0.000222445 0.198777 0.0745719 0.0497274 0.355275 0.000217476 0.363566 0.0524896 0.0701815 0.469947 7.60399e-05 0.475612 0.0120529 0.0230066 82444
2.48748e+08 0 0 1.26239e+07 391051 0 0 0 0.216809 0.000252292 0.207026 0.0732484 0.0523962 0.363587 0.000228928 0.371201 0.0482625 0.0645195 0.471627 8.20568e-05 0.47703 0.011349 0.0215461 64283
3.94146e+08 0 0 2.10758e+07 586047 0 0 0 0.223697 0.000283313 0.214946 0.0715291 0.0537673 0.370364 0.000242607 0.377344 0.0452013 0.0595597 0.473001 8.87424e-05 0.478327 0.0106615 0.0205668 50257
6.24655e+08 0 0 3.21813e+07 851064 0 0 0 0.231365 0.000327369 0.223815 0.0718916 0.0560223 0.378173 0.000261959 0.384104 0.0435483 0.0555536 0.474948 9.86939e-05 0.480251 0.00984195 0.019876 38096
9.88113e+08 0 0 4.49738e+07 1.17336e+06 0 0 0 0.239176 0.000374348 0.232928 0.0689752 0.0572355 0.386144 0.000286194 0.391718 0.041546 0.0526774 0.4771 0.00010866 0.48223 0.00895885 0.0182631 28590
1.56682e+09 0 0 6.42033e+07 1.67577e+06 0 0 0 0.248566 0.000424638 0.243985 0.0664701 0.058792 0.395327 0.000314797 0.401224 0.0390249 0.050766 0.479462 0.00012155 0.484637 0.00768027 0.0166483 21586
2.48233e+09 0 0 8.96463e+07 2.33354e+06 0 0 0 0.259624 0.00049835 0.255757 0.0668694 0.0603082 0.405302 0.000345079 0.411781 0.0352553 0.0491212 0.481719 0.000133652 0.486513 0.00674564 0.0146084 16049
3.95243e+09 0 0 1.24849e+08 3.14117e+06 0 0 0 0.270599 0.00055489 0.267643 0.0646539 0.060094 0.413947 0.000367159 0.420941 0.0316294 0.0459467 0.482683 0.000153279 0.487696 0.00610301 0.0140765 12521
6.24962e+09 0 0 1.62251e+08 4.14618e+06 0 3.95545e+08 0 0.281513 0.000637401 0.278175 0.0660078 0.0599684 0.419175 0.000405453 0.426221 0.0295645 0.0436858 0.482509 0.000185976 0.487957 0.00598907 0.0142283 9638
9.93624e+09 0 0 2.15275e+08 5.41694e+06 0 5.55505e+08 0 0.290994 0.000701162 0.289295 0.0608719 0.0600218 0.419839 0.000452212 0.427127 0.0285068 0.04302 0.480594 0.000240991 0.487084 0.00642684 0.0162443 7743
1.56707e+10 0 0 2.64139e+08 6.67228e+06 0 6.92559e+08 0 0.300224 0.000761343 0.299231 0.0609186 0.0604845 0.417494 0.000511819 0.425436 0.0290274 0.0450552 0.476808 0.000325069 0.485189 0.00746346 0.0207193 6349
2.48709e+10 0 0 3.16572e+08 8.21897e+06 0 7.97101e+08 0 0.303778 0.000857213 0.304383 0.0581551 0.0618994 0.410298 0.000616629 0.419298 0.0299829 0.0485774 0.470585 0.000442009 0.481461 0.00927684 0.0291745 4953
3.91151e+10 0 0 3.4741e+08 1.01986e+07 0 8.53413e+08 0 0.304833 0.000969823 0.306506 0.0545153 0.0599164 0.398853 0.000765512 0.406983 0.03413 0.0516859 0.461337 0.00061493 0.474335 0.0131783 0.0398622 3478
6.13607e+10 0 0 4.08008e+08 1.48237e+07 0 9.83734e+08 0 0.301072 0.00127866 0.303003 0.0566094 0.0616891 0.383624 0.00108037 0.391409 0.0393434 0.0562275 0.448543 0.000965361 0.463931 0.0192011 0.0542978 2037
9.61439e+10 0 0 4.41161e+08 2.48048e+07 0 1.02428e+09 0 0.293181 0.00191182 0.294842 0.0541569 0.0591806 0.367797 0.0017185 0.373313 0.0425417 0.055692 0.435278 0.00161964 0.449044 0.0268628 0.0615929 831
1.49264e+11 0 0 4.64451e+08 4.99347e+07 0 1.093e+09 0 0.280306 0.00339675 0.278662 0.050682 0.0467266 0.349056 0.00332843 0.354691 0.0404478 0.0585821 0.414894 0.00358908 0.423556 0.0392548 0.0647874 202
2.22501e+11 0 0 4.89955e+08 1.07974e+08 4.49746e+08 4.97464e+08 4.49746e+08 0.265678 0.0153009 0.25221 0.0929886 0.0422731 0.332855 0.0134708 0.330933 0.0644585 0.0469126 0.39679 0.0125507 0.40969 0.0273101 0.0887249 19
3.51645e+11 0 0 0 0 0 0 0 0.308342 0.0262028 0.334545 0 0.0524055 0.345335 0.0281672 0.373502 0 0.0563344 0.423814 0.00564043 0.429455 0 0.0112809 2
