#For SF galaxies, QTime is the duration of the last period when they were quenched.
#vmpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
45.1363 9.79406e-05 4.01498e-06 283677 6207.34 0 0 0 0.305299 3.25659e-05 0.305394 0.0889981 0.090615 0.392247 2.68723e-05 0.403718 0.0536388 0.0760336 0.4749 9.26842e-06 0.48088 0.0123899 0.023286 6075111
61.9824 1.48599e-05 2.80824e-06 73562.7 5257.96 0 0 0 0.241489 4.89161e-05 0.231823 0.0795214 0.0582561 0.365969 4.59092e-05 0.373991 0.0533283 0.0713246 0.473439 1.36889e-05 0.4778 0.0120213 0.0206293 1884266
78.3061 0.00013154 1.25984e-05 389560 17705.9 0 0 0 0.224639 6.66545e-05 0.215695 0.0699597 0.0505594 0.378608 5.93549e-05 0.384483 0.0466647 0.0588301 0.47761 1.59679e-05 0.480678 0.0100437 0.0161578 828644
98.5944 0.000706619 4.25957e-05 3.30021e+06 76761.1 0 0 0 0.242282 9.98657e-05 0.235271 0.0701154 0.0551831 0.397208 7.06239e-05 0.40054 0.0404083 0.0463766 0.480618 2.01335e-05 0.483245 0.00864169 0.0138246 389177
124.107 0.00324181 0.000132132 1.88454e+07 276921 0 0 0 0.277705 0.000149712 0.273673 0.0699453 0.0616612 0.417416 8.95241e-05 0.421006 0.0352831 0.0418253 0.484921 2.67567e-05 0.487711 0.0065712 0.0116767 185082
155.994 0.00983208 0.000340624 7.51624e+07 858021 0 0 0 0.317173 0.000208111 0.316848 0.0626497 0.0612617 0.433444 0.0001121 0.437192 0.028204 0.0345531 0.486296 4.28595e-05 0.489587 0.00574407 0.011035 83909
195.889 0.0277826 0.000885071 2.10893e+08 2.27749e+06 0 6.11817e+08 0 0.318459 0.000293404 0.319389 0.0539402 0.0564186 0.416541 0.000201495 0.419454 0.0354033 0.0398635 0.476415 0.000114267 0.483017 0.00977924 0.0226426 34482
245.677 0.0679932 0.00231652 4.33617e+08 5.57967e+06 0 1.08464e+09 0 0.287057 0.000483325 0.286172 0.0536952 0.0526567 0.378685 0.000423256 0.37942 0.0478854 0.04664 0.455375 0.000332204 0.467381 0.019161 0.0480072 11810
308.326 0.147412 0.00606386 6.52959e+08 1.27288e+07 4.63314e+08 9.45604e+08 4.63314e+08 0.253867 0.000849607 0.251408 0.0523805 0.0478052 0.339672 0.000892821 0.339325 0.055582 0.0519002 0.430778 0.00089799 0.445881 0.035296 0.074333 3419
387.539 0.283158 0.0146249 8.05773e+08 2.57306e+07 6.92559e+08 9.50354e+08 6.92559e+08 0.224366 0.00145703 0.221431 0.0491411 0.0429584 0.304791 0.00172494 0.301418 0.0550438 0.049666 0.40377 0.00198897 0.410089 0.0615357 0.071941 950
488.47 0.483471 0.0321902 8.4802e+08 4.90505e+07 7.73094e+08 7.92119e+08 7.73094e+08 0.203127 0.00242279 0.202377 0.0374117 0.039507 0.274506 0.00298427 0.271591 0.041193 0.0403951 0.373326 0.00392376 0.365185 0.0789898 0.0490352 242
613.376 0.597222 0.0582065 1.07885e+09 8.73981e+07 1.093e+09 7.81121e+08 1.093e+09 0.182292 0.00424051 0.175126 0.0430672 0.0258986 0.250111 0.00537616 0.248164 0.0502625 0.0452551 0.349891 0.00691829 0.35033 0.0666244 0.0698065 72
785.619 0.653846 0.0951486 6.95704e+08 1.34125e+08 7.73094e+08 3.99279e+08 7.73094e+08 0.168419 0.00404561 0.171677 0.0118662 0.0218993 0.230777 0.00625021 0.238532 0.019814 0.0408811 0.336768 0.00775997 0.338601 0.030778 0.0378507 26
956.307 0.25 0.25 5.87464e+08 2.32e+08 7.73094e+08 3.19904e+08 7.73094e+08 0.157613 0.0162783 0.163227 0.0351731 0.0430998 0.240837 0.0237463 0.270874 0.00999686 0.0951285 0.342909 0.0420589 0.351519 0.0983209 0.105395 4
