#For SF galaxies, QTime is the duration of the last period when they were quenched.
#sm <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
7.8646e+07 0.0342124 0.000427416 3.51569e+07 454711 0 0 0 0.26138 0.00019277 0.250713 0.090184 0.07022 0.491861 0.00015704 0.49934 0.0555991 0.0698275 0.63037 5.34773e-05 0.635589 0.0137906 0.0233927 180870
1.58113e+08 0.0566273 0.000785808 5.91551e+07 847096 0 0 0 0.266202 0.00027806 0.256744 0.0877486 0.0711433 0.495426 0.000207102 0.501157 0.0523455 0.0639601 0.629922 8.05076e-05 0.635718 0.0135493 0.0241878 86513
2.4939e+08 0.072626 0.000938468 8.29026e+07 1.10537e+06 0 0 0 0.273961 0.000292617 0.266395 0.084746 0.0731738 0.498829 0.000211785 0.504233 0.0508385 0.0614653 0.629692 8.99823e-05 0.636047 0.013468 0.0252177 76474
3.94907e+08 0.0932468 0.00116682 1.15217e+08 1.48342e+06 0 0 0 0.283384 0.000324486 0.276465 0.083107 0.0730635 0.503394 0.000230556 0.508566 0.0501781 0.0606554 0.629201 0.000107162 0.636389 0.0135755 0.0266111 62104
6.25737e+08 0.119152 0.00145269 1.62055e+08 1.99554e+06 0 3.3327e+08 0 0.292687 0.000356155 0.287683 0.0792757 0.0740046 0.507331 0.000254082 0.512752 0.0492581 0.0601204 0.628771 0.000128306 0.63684 0.013695 0.0283756 49735
9.90701e+08 0.151593 0.00180763 2.21063e+08 2.67914e+06 0 5.40609e+08 0 0.304102 0.000395013 0.300115 0.076705 0.0740988 0.5125 0.000282058 0.518423 0.0479377 0.0601978 0.627823 0.000157107 0.637412 0.0134213 0.0316937 39362
1.57148e+09 0.187966 0.00218656 2.90611e+08 3.46143e+06 0 7.07395e+08 0 0.315191 0.000437654 0.311658 0.0756076 0.0742191 0.516682 0.000314958 0.523115 0.0467606 0.0596801 0.626154 0.000192596 0.637252 0.0138773 0.0358726 31926
2.49351e+09 0.226845 0.00258874 3.75777e+08 4.41533e+06 0 9.17138e+08 0 0.325643 0.000477251 0.323234 0.0739805 0.0737751 0.51865 0.000352065 0.526202 0.045712 0.0613416 0.622776 0.000238102 0.635689 0.0151076 0.04159 26172
3.95787e+09 0.274113 0.00299542 4.7998e+08 5.49981e+06 0 1.12466e+09 0 0.336649 0.000509256 0.334374 0.072743 0.0713567 0.517531 0.000388928 0.525121 0.0464164 0.0614812 0.61762 0.000291953 0.632739 0.017038 0.049747 22177
6.28211e+09 0.313511 0.0033405 6.08414e+08 6.81593e+06 0 1.375e+09 0 0.344504 0.000547378 0.34301 0.0726468 0.0739092 0.510787 0.0004383 0.519192 0.0479954 0.0644307 0.609441 0.000363852 0.627446 0.0201938 0.0606531 19288
9.94906e+09 0.375569 0.00369801 7.75862e+08 8.24763e+06 4.14861e+08 1.29356e+09 4.14861e+08 0.346513 0.000579659 0.346314 0.072554 0.0753798 0.498221 0.000497122 0.507639 0.0509941 0.0702863 0.59639 0.000452929 0.617023 0.026668 0.0730725 17150
1.57532e+10 0.443791 0.00397198 9.71912e+08 9.66514e+06 5.8413e+08 1.49516e+09 5.8413e+08 0.34421 0.00060903 0.344882 0.0716812 0.0772347 0.479057 0.000555928 0.488318 0.0568121 0.0754861 0.579149 0.0005474 0.601324 0.0365058 0.0866222 15647
2.49747e+10 0.528772 0.00427942 1.20062e+09 1.13816e+07 7.90825e+08 1.74671e+09 7.90825e+08 0.335052 0.000648954 0.336142 0.0716551 0.078411 0.454032 0.000630972 0.462805 0.0612927 0.0808194 0.556162 0.000657652 0.576121 0.0509079 0.0961453 13607
3.94965e+10 0.61305 0.0046018 1.48176e+09 1.36964e+07 1.05862e+09 1.97106e+09 1.05862e+09 0.318839 0.000682355 0.32124 0.0682345 0.0782914 0.423061 0.00070758 0.430256 0.0650856 0.0827944 0.526947 0.000805736 0.543923 0.0674846 0.106854 11203
6.17859e+10 0.699333 0.00529521 1.7696e+09 1.73722e+07 1.4584e+09 1.97689e+09 1.4584e+09 0.299789 0.000791879 0.300626 0.0687048 0.0732336 0.391825 0.000850403 0.395665 0.0688426 0.0803661 0.496551 0.0010196 0.506876 0.0821835 0.103371 7500
9.66434e+10 0.777867 0.00681351 2.11079e+09 2.53997e+07 1.87487e+09 1.96086e+09 1.33426e+09 0.275935 0.00103686 0.275699 0.0648272 0.0660162 0.357471 0.00115119 0.359131 0.0707754 0.0761591 0.461401 0.00147525 0.464605 0.0947907 0.0977033 3723
1.50152e+11 0.855953 0.0101365 2.40729e+09 4.36251e+07 2.28973e+09 1.86192e+09 1.5407e+09 0.255306 0.00161136 0.254249 0.0585245 0.0590392 0.32765 0.00172887 0.325051 0.0652514 0.0590147 0.426865 0.00237913 0.422623 0.0939074 0.0798606 1201
2.34778e+11 0.910053 0.0208664 2.48064e+09 9.78645e+07 2.28973e+09 1.78334e+09 1.21658e+09 0.230251 0.00385778 0.221853 0.0651957 0.0469206 0.301701 0.00406796 0.297551 0.0614985 0.0516627 0.396666 0.00457586 0.395634 0.066105 0.0654544 189
3.6295e+11 1 0 2.42743e+09 1.41827e+08 2.53753e+09 5.73635e+08 9.12402e+08 0.211192 0.00642944 0.206303 0.0440014 0.0280782 0.277047 0.00691832 0.279401 0.0371614 0.0321115 0.380277 0.00905996 0.373962 0.0652471 0.0260273 28
5.44715e+11 1 0 2.28098e+09 3.90223e+08 1.79167e+09 1.15635e+09 8.32484e+07 0.171634 0.00855451 0.170616 0.0249146 0.0223192 0.245252 0.00700142 0.248513 0.0103508 0.014424 0.363371 0.0174884 0.341482 0.0742277 0.0104864 7
