#For SF galaxies, QTime is the duration of the last period when they were quenched.
#vmpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
45.0947 0 0 666359 9554.63 0 0 0 0.359967 4.36832e-05 0.359152 0.112539 0.120159 0.513855 3.36009e-05 0.526013 0.0653902 0.0853446 0.630656 1.30205e-05 0.639287 0.0160251 0.0320317 6199376
62.3586 0 0 1.75027e+06 26476.9 0 0 0 0.287036 6.81543e-05 0.278116 0.102898 0.0885022 0.501169 5.6379e-05 0.511841 0.0610864 0.0810143 0.63287 1.80467e-05 0.638893 0.0147619 0.0265158 1874925
78.5236 0 0 1.10447e+07 100008 0 0 0 0.291896 9.50024e-05 0.284725 0.10051 0.0895576 0.513254 6.36311e-05 0.518987 0.0531216 0.0637353 0.633664 2.31812e-05 0.638946 0.0140189 0.0241905 946208
98.5097 0 0 5.09364e+07 323212 0 0 0 0.324722 0.000130386 0.32255 0.0893075 0.0897788 0.525588 8.21644e-05 0.530318 0.0491333 0.0587949 0.634864 3.46621e-05 0.640914 0.0130467 0.0242775 464510
123.86 0 0 1.62293e+08 899194 0 4.1117e+08 0 0.369262 0.000176289 0.369284 0.0771453 0.0788029 0.538501 0.000110504 0.541894 0.0446312 0.0507467 0.632285 6.0956e-05 0.640037 0.014174 0.0290239 205441
155.658 0 0 4.11494e+08 2.26038e+06 0 9.9134e+08 0 0.376815 0.000239627 0.377019 0.0647978 0.0669338 0.509702 0.000188853 0.509662 0.0537214 0.0536908 0.609529 0.000153088 0.62245 0.0257649 0.0555345 82890
195.525 0 0 8.51703e+08 5.43558e+06 5.84132e+08 1.15398e+09 5.84132e+08 0.345913 0.00037363 0.344902 0.0618852 0.0617685 0.45911 0.000369344 0.454433 0.0687592 0.0581156 0.573177 0.000392717 0.59057 0.0497046 0.0944714 30276
245.307 0 0 1.43704e+09 1.25579e+07 1.12466e+09 1.60323e+09 7.93649e+08 0.310024 0.000650472 0.30813 0.0625874 0.0606202 0.416708 0.000792165 0.405223 0.0894984 0.061578 0.547743 0.000929629 0.571004 0.0682294 0.133563 9493
308.523 0 0 2.21842e+09 3.09232e+07 1.95712e+09 2.09708e+09 1.37295e+09 0.278021 0.0012324 0.274349 0.0616441 0.0562775 0.392593 0.00185992 0.375951 0.11776 0.073956 0.534813 0.00210466 0.56518 0.0757285 0.161475 2558
387.832 0 0 3.01245e+09 7.28276e+07 2.89184e+09 2.25229e+09 2.01756e+09 0.255778 0.00247397 0.250468 0.0602427 0.0553009 0.390848 0.00444869 0.364544 0.162273 0.0864991 0.536622 0.00435883 0.565249 0.0808806 0.15617 657
487.107 0 0 3.80458e+09 1.47926e+08 4.15265e+09 1.49953e+09 2.61087e+09 0.239442 0.00475882 0.229347 0.0634446 0.0417264 0.390936 0.0102361 0.363831 0.184335 0.0994114 0.543029 0.00851704 0.566157 0.0771847 0.137917 147
603.461 0 0 4.99723e+09 2.51181e+08 5.72292e+09 7.44588e+08 2.62884e+09 0.240129 0.0104075 0.225978 0.084106 0.0495937 0.433006 0.0170393 0.457015 0.100353 0.155164 0.561021 0.0129621 0.591052 0.0523501 0.142232 51
764.161 0 0 5.39709e+09 5.48286e+08 6.24274e+09 7.8184e+08 3.75367e+09 0.254633 0.0174796 0.221826 0.113135 0.026906 0.459473 0.0196212 0.472672 0.0189391 0.115159 0.579899 0.0206426 0.608789 0.036306 0.115588 15
899.72 0 0 7.0832e+09 7.0832e+09 7.0832e+09 0 0 0.187204 0.187204 0.187204 0 0 0.587627 0.587627 0.587627 0 0 0.66618 0.66618 0.66618 0 0 1
1134.67 0 0 7.3663e+09 7.3663e+09 7.3663e+09 0 0 0.370694 0.370694 0.370694 0 0 0.421728 0.421728 0.421728 0 0 0.604658 0.604658 0.604658 0 0 1
