#For SF galaxies, QTime is the duration of the last period when they were quenched.
#obs_sm <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
7.69595e+07 0.000840673 3.12952e-05 3.96669e+07 231331 0 0 0 0.400029 0.000128184 0.404133 0.109678 0.129497 0.721909 7.9456e-05 0.726943 0.0646369 0.075473 0.935585 3.59885e-05 0.941137 0.0240267 0.0342253 857646
1.57069e+08 0.00122677 6.32273e-05 6.73462e+07 530227 0 0 0 0.403356 0.000203459 0.407346 0.101104 0.119081 0.712292 0.000129057 0.715465 0.0649285 0.072804 0.930621 6.28005e-05 0.936036 0.0254813 0.0347922 306495
2.49175e+08 0.0015699 7.95349e-05 9.93102e+07 729174 0 0 0 0.40832 0.00021591 0.410735 0.0964081 0.108862 0.707578 0.000143675 0.710271 0.0658064 0.0725855 0.927505 7.41763e-05 0.933175 0.0266077 0.0356913 247786
3.94922e+08 0.00212383 0.000102431 1.33618e+08 949197 0 0 0 0.413187 0.000228276 0.41396 0.0922986 0.0991245 0.702027 0.000160372 0.704386 0.0669168 0.0728167 0.923614 8.68241e-05 0.9296 0.0276334 0.0363331 201994
6.2532e+08 0.00251973 0.000124588 1.72138e+08 1.21058e+06 0 3.51646e+08 0 0.418756 0.00024337 0.418162 0.0881728 0.0913639 0.696453 0.00018025 0.698807 0.0672382 0.0731506 0.917647 0.000106022 0.924226 0.0295296 0.0378252 161922
9.90684e+08 0.002986 0.000153762 2.16426e+08 1.55268e+06 0 4.77918e+08 0 0.425626 0.000263861 0.423541 0.0860742 0.0851839 0.690444 0.000205002 0.692261 0.0678234 0.0727732 0.909861 0.000132143 0.917426 0.0317414 0.0406743 125921
1.57062e+09 0.00389152 0.000198203 2.75317e+08 1.99267e+06 0 6.14608e+08 0 0.431454 0.000287744 0.428049 0.0845387 0.0802595 0.68274 0.000231719 0.683855 0.0692065 0.0723431 0.90008 0.000165717 0.909074 0.0341266 0.0458542 98676
2.48966e+09 0.00459894 0.000242504 3.48388e+08 2.54137e+06 0 8.1198e+08 0 0.436169 0.000311239 0.432447 0.0823529 0.0769719 0.672155 0.000261868 0.672899 0.069536 0.0720478 0.886994 0.00021142 0.898529 0.0375077 0.0568047 77844
3.95202e+09 0.00610965 0.000311643 4.32942e+08 3.14971e+06 0 9.69076e+08 0 0.440627 0.000339507 0.436519 0.0808904 0.0748904 0.659012 0.00029593 0.658838 0.0714139 0.0719248 0.870068 0.000267313 0.884429 0.0419118 0.0709459 62524
6.25709e+09 0.00799021 0.000395451 5.41304e+08 3.98618e+06 0 1.16825e+09 0 0.440987 0.000364742 0.43731 0.0793819 0.0724978 0.641419 0.000338742 0.640145 0.0744564 0.0723017 0.850507 0.000340887 0.869143 0.0466022 0.0892225 50687
9.93077e+09 0.0102328 0.000493242 6.83754e+08 5.04245e+06 3.49244e+08 1.06001e+09 3.49244e+08 0.437281 0.000390846 0.434496 0.0753799 0.0719478 0.618809 0.000387556 0.616459 0.0780206 0.0730384 0.826567 0.000428843 0.847201 0.056029 0.106749 41631
