#mpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.48155e+09 0 0 0 0 0 0 1.1371e-07 7.05459e-08 0 0 0 5778838
1.56182e+10 0 0 0 0 0 0 0 0 0 0 0 1509470
2.46238e+10 0 0 0 0 0 0 1.54317e-07 8.91973e-08 0 0 0 967588
3.89088e+10 0 0 0 0 0 0 6.61397e-07 2.75866e-07 0 0 0 567384
6.16902e+10 0 0 0 0 0 0 2.20008e-06 6.8244e-07 0 0 0 328094
9.77405e+10 0 0 0 0 0 0 7.72936e-06 1.75462e-06 0 0 0 183537
1.54731e+11 0 0 0 0 0 0 3.183e-05 5.92259e-06 0 0 0 99882
2.45089e+11 0 0 0 0 0 0 0.000107747 1.24336e-05 0 0 0 52220
3.87718e+11 0 0 0 0 0 0 0.000388181 3.41558e-05 0 0 0 26347
6.13351e+11 0 0 0 0 0 0 0.000777487 6.7279e-05 0 0 0 12851
9.70112e+11 0 0 0 0 0 0 0.00209947 0.000172174 0 0 0 5670
1.52057e+12 0 0 0 0 0 0 0.00360762 0.000360366 0 0 0 2328
2.37758e+12 0 0 0 0 0 0 0.00715357 0.000927152 0 0 0 794
3.82114e+12 0 0 0 0 0 0 0.012924 0.00226595 0 0.0430391 0 211
5.8948e+12 0 0 0 0 0 0 0.0290925 0.00783022 0 0.0837417 0 57
9.47073e+12 0 0 0 0 0 0 0.0254556 0.016434 0 0.0877744 0 7
