#mpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.81434e+09 0 0 0 0 0 0 0.329922 0.138271 0.435471 0.0630389 0.379686 3
1.51046e+10 0 0 0 0 0 0 0.0276645 0.000355526 0.02802 0 0.000711052 2
2.73529e+10 0 0 0 0 0 0 0.0304824 0.0304824 0.0304824 0 0 1
4.73422e+10 0 0 0 0 0 0 0.0253122 0.00133247 0.0266447 0 0.00266494 2
6.01618e+10 0 0 0 0 0 0 0.0467499 0.0467499 0.0467499 0 0 1
9.73428e+10 0 0 0 0 0 0 0.0374415 0.0056694 0.0273089 0.0102371 0.0026738 19
1.65055e+11 0 0 0 0 0 0 0.0410001 0.00533339 0.0266447 0.0439497 0.00234406 52
2.55944e+11 0 0 0 0 0 0 0.0553385 0.00542855 0.0287824 0.0594948 0.00379843 78
4.06352e+11 0 0 0 0 0 0 0.0589573 0.00392351 0.0287824 0.0808641 0.00448173 173
6.42981e+11 0 0 0 0 0 0 0.0630622 0.00363986 0.02802 0.088921 0.00434816 220
9.84877e+11 0 0 0 0 0 0 0.0736808 0.00378998 0.0672738 0.0584081 0.0432941 280
1.59673e+12 0 0 0 0 0 0 0.0761938 0.00379291 0.0680542 0.0668545 0.0443823 272
2.48955e+12 0 0 0 0 0 0 0.10185 0.00542588 0.0734672 0.124567 0.0494875 230
3.87248e+12 0 0 0 0 0 0 0.12412 0.00854354 0.108428 0.125618 0.0834445 117
6.30513e+12 0 0 0 0 0 0 0.193988 0.0124597 0.199799 0.092236 0.128286 67
9.6763e+12 0 0 0 0 0 0 0.168167 0.0177857 0.155048 0.131037 0.086994 24
1.48587e+13 0 0 0 0 0 0 0.336642 0.0673682 0.384089 0.0701998 0.310621 5
