#obs_sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
8.77646e+07 0 0 0 0 0 0 0.0273901 0.000481619 0.02802 0.000762377 0.0019967 8
1.55535e+08 0 0 0 0 0 0 0.055935 0.0186403 0.0296012 0.0462699 0.00530058 16
2.5912e+08 0 0 0 0 0 0 0.0441188 0.00807059 0.02802 0.049587 0.00257878 15
4.18699e+08 0 0 0 0 0 0 0.0403361 0.00492608 0.0266447 0.0492264 0.00200956 33
6.50578e+08 0 0 0 0 0 0 0.0502718 0.00583315 0.0266447 0.0547964 0.00266494 56
9.89065e+08 0 0 0 0 0 0 0.0539966 0.00445312 0.0266447 0.0616325 0.00266494 88
1.59382e+09 0 0 0 0 0 0 0.0604141 0.00501947 0.0266447 0.0902963 0.00266494 94
2.53993e+09 0 0 0 0 0 0 0.061251 0.00550888 0.0260233 0.0854171 0.00235146 120
3.95698e+09 0 0 0 0 0 0 0.0617415 0.00424053 0.0266447 0.0847957 0.00326844 156
6.42023e+09 0 0 0 0 0 0 0.0656534 0.00414796 0.0654556 0.0514854 0.0417838 150
9.88914e+09 0 0 0 0 0 0 0.0682331 0.00486801 0.0654556 0.0514854 0.0417838 145
1.59014e+10 0 0 0 0 0 0 0.0798681 0.005002 0.0685652 0.0859165 0.0454727 178
2.48713e+10 0 0 0 0 0 0 0.0771835 0.00472496 0.0672738 0.054426 0.0441813 183
3.86308e+10 0 0 0 0 0 0 0.0819755 0.00633649 0.0680542 0.0906653 0.0449617 121
6.21403e+10 0 0 0 0 0 0 0.0764278 0.00682811 0.0680542 0.0483005 0.0446779 94
9.94639e+10 0 0 0 0 0 0 0.080206 0.00937592 0.0654556 0.0895926 0.0420793 51
1.51693e+11 0 0 0 0 0 0 0.0561968 0.00783734 0.0246351 0.0869574 0.00181511 27
2.3195e+11 0 0 0 0 0 0 0.035617 0.00797508 0.0236718 0.0417838 0.000579329 7
