#sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.5539e+07 0 0 0 0 0 0 1.65744e-06 1.10363e-06 0 0 0 355863
1.56447e+08 0 0 0 0 0 0 4.76976e-06 3.21326e-06 0 0 0 106380
2.48005e+08 0 0 0 0 0 0 3.25109e-06 1.69346e-06 0 0 0 75273
3.92885e+08 0 0 0 0 0 0 2.13687e-05 6.07703e-06 0 0 0 53122
6.21994e+08 0 0 0 0 0 0 4.08081e-05 7.86068e-06 0 0 0 37276
9.8642e+08 0 0 0 0 0 0 8.68292e-05 1.5022e-05 0 0 0 25618
1.56093e+09 0 0 0 0 0 0 0.000250649 3.3888e-05 0 0 0 17486
2.47598e+09 0 0 0 0 0 0 0.000371649 4.94295e-05 0 0 0 11886
3.932e+09 0 0 0 0 0 0 0.000578858 6.949e-05 0 0 0 7941
6.21037e+09 0 0 0 0 0 0 0.00103701 0.000128043 0 0 0 5243
9.82203e+09 0 0 0 0 0 0 0.00173943 0.000208377 0 0 0 3316
1.55381e+10 0 0 0 0 0 0 0.00249632 0.000324423 0 0 0 2094
2.46108e+10 0 0 0 0 0 0 0.00427021 0.000555389 0 0 0 1252
3.92274e+10 0 0 0 0 0 0 0.00509733 0.000859289 0 0 0 727
6.20169e+10 0 0 0 0 0 0 0.00745293 0.00117753 0 0 0 398
9.47478e+10 0 0 0 0 0 0 0.00211871 0.000961907 0 0 0 150
1.49273e+11 0 0 0 0 0 0 0.000687537 0.000687537 0 0 0 34
2.0949e+11 0 0 0 0 0 0 0.0254752 0.0254752 0.0509505 0 0.0509505 2
