#sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
1.15603e+08 0 0 0 0 0 0 0.0273323 0.000687648 0.02802 0 0.0013753 2
1.4196e+08 0 0 0 0 0 0 0.0447287 0.0194317 0.0266447 0.0569169 0.00266494 3
2.60765e+08 0 0 0 0 0 0 0.0416821 0.0156211 0.0260233 0.00357793 0.00138815 11
3.9944e+08 0 0 0 0 0 0 0.0389169 0.00655304 0.0273089 0.0485622 0.00128565 13
6.34764e+08 0 0 0 0 0 0 0.0611327 0.0153305 0.0260233 0.0940241 0.00138815 9
1.03251e+09 0 0 0 0 0 0 0.0864468 0.0158067 0.0758711 0.0557561 0.0508872 21
1.60802e+09 0 0 0 0 0 0 0.0411691 0.00435093 0.0260233 0.0484841 0.00204354 40
2.48552e+09 0 0 0 0 0 0 0.0520679 0.0071547 0.0260233 0.0534369 0.00235146 45
4.03471e+09 0 0 0 0 0 0 0.073575 0.00978914 0.0304824 0.128237 0.00650268 41
6.2502e+09 0 0 0 0 0 0 0.0951113 0.0134454 0.0745074 0.12827 0.0505277 31
9.50724e+09 0 0 0 0 0 0 0.100836 0.0139031 0.0814411 0.11444 0.0583486 34
1.63296e+10 0 0 0 0 0 0 0.107794 0.0238509 0.0715127 0.127146 0.0472121 22
2.42923e+10 0 0 0 0 0 0 0.0911146 0.0172451 0.0706638 0.12207 0.0475713 23
3.91691e+10 0 0 0 0 0 0 0.0888972 0.0227712 0.069713 0.164333 0.0466205 12
6.54485e+10 0 0 0 0 0 0 0.0436409 0.0161627 0.0239798 0.0314402 0.00115973 8
9.50052e+10 0 0 0 0 0 0 0.0393843 0.0165456 0.0233763 0.0490934 0.0010692 3
1.38693e+11 0 0 0 0 0 0 0.0448408 0.0228921 0.0677329 0 0.0457842 2
