#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
49.7567 0 0 0 0 0 0 0.190415 0.13463 0.325044 0 0.26926 2
65.66 0 0 0 0 0 0 0.318509 0.318509 0.318509 0 0 1
102.065 0 0 0 0 0 0 0.0282477 0.000662671 0.02802 0.00246245 0.0013753 5
131.251 0 0 0 0 0 0 0.0295082 0.0031124 0.0266447 0.00213767 0.00234406 15
161.422 0 0 0 0 0 0 0.041805 0.00339917 0.0266447 0.0492264 0.00166076 95
202.607 0 0 0 0 0 0 0.0479588 0.00239469 0.0260233 0.0515837 0.00235146 239
251.574 0 0 0 0 0 0 0.0608328 0.00246536 0.0266447 0.087099 0.00326844 414
317.283 0 0 0 0 0 0 0.0682428 0.00279193 0.0554199 0.0634343 0.0323274 418
394.429 0 0 0 0 0 0 0.0901941 0.00464849 0.0700184 0.0906514 0.0466421 235
492.462 0 0 0 0 0 0 0.110307 0.00788926 0.0705944 0.125286 0.0469226 101
614.177 0 0 0 0 0 0 0.0953942 0.0115691 0.107331 0.0459896 0.0418758 20
735.39 0 0 0 0 0 0 0.0223071 0.0223071 0.0223071 0 0 1
