#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
48.4617 0 0 0 0 0 0 0.00302564 0.00227005 0 0 0 59
62.1482 0 0 0 0 0 0 0.0174189 0.0174189 0 0 0 25
77.2452 0 0 0 0 0 0 0 0 0 0 0 7
100.951 0 0 0 0 0 0 0.0227437 0.00642658 0.0273089 0.0031735 0.0273089 7
131.251 0 0 0 0 0 0 0.0309774 0.00368574 0.0273089 0.0051512 0.0030083 15
161.228 0 0 0 0 0 0 0.045222 0.00380795 0.0273089 0.0521512 0.002325 90
202.704 0 0 0 0 0 0 0.0521643 0.00273266 0.02802 0.0534211 0.00371935 232
251.367 0 0 0 0 0 0 0.0699559 0.00298538 0.0654556 0.0579674 0.0414758 399
317.426 0 0 0 0 0 0 0.0836859 0.00358808 0.069713 0.085568 0.0460412 396
395.351 0 0 0 0 0 0 0.115008 0.00560989 0.0868237 0.1295 0.0618397 221
493.422 0 0 0 0 0 0 0.178581 0.0109754 0.167023 0.122082 0.0996475 98
609.565 0 0 0 0 0 0 0.198542 0.028136 0.155089 0.169945 0.0816219 17
735.39 0 0 0 0 0 0 0.403098 0.403098 0.403098 0 0 1
