#mpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.62919e+09 8.42337e-06 8.42337e-06 1.16811e-06 0 0 0 3.42707e-05 7.99897e-07 0 0 0 6173301
1.56287e+10 5.96766e-06 5.96766e-06 1.79931e-06 0 0 0 1.72313e-05 9.57799e-07 0 0 0 1843268
2.46762e+10 1.65871e-06 1.65871e-06 1.17289e-06 0 0 0 6.4192e-06 6.9901e-07 0 0 0 1205753
3.90666e+10 0 0 0 0 0 0 5.31533e-06 5.51109e-07 0 0 0 779360
6.19366e+10 0 0 0 0 0 0 2.53917e-05 1.64997e-06 0 0 0 499660
9.82574e+10 9.51408e-06 9.51408e-06 5.49294e-06 0 0 0 0.000106727 4.47313e-06 0 0 0 315322
1.55713e+11 1.51468e-05 1.51468e-05 8.74499e-06 0 0 0 0.000407102 1.16408e-05 0 0 0 198061
2.46595e+11 0.000192644 0.000192644 3.93197e-05 0 0 0 0.00139721 2.85341e-05 0 0 0 124582
3.90622e+11 0.000866069 0.000866069 0.000105762 0 0 0 0.00407913 6.63944e-05 0 0 0 77361
6.1859e+11 0.00259193 0.00259193 0.000233406 0 0 0 0.0110899 0.00014867 0 0.0135769 0 47455
9.80615e+11 0.00737127 0.00737127 0.000510456 0 0 0 0.0248481 0.000304497 0 0.0608656 0 28082
1.55219e+12 0.0140845 0.0140845 0.000916213 0 0 0 0.046986 0.000548819 0.012312 0.100749 0.012312 16543
2.45437e+12 0.0232034 0.0232034 0.00156045 0 0 0 0.078408 0.000924848 0.0482177 0.120145 0.0482177 9309
3.89435e+12 0.0213904 0.0213904 0.00199966 0 0 0 0.110665 0.00140942 0.0872781 0.134152 0.0872781 5236
6.16909e+12 0.0244929 0.0244929 0.00302447 0 0 0 0.145236 0.00213755 0.131979 0.130547 0.107595 2613
9.74911e+12 0.0206897 0.0206897 0.00394183 0 0 0 0.160758 0.00312128 0.151483 0.121787 0.114257 1305
1.53158e+13 0.0144462 0.0144462 0.00478434 0 0 0 0.1723 0.0045413 0.15453 0.138152 0.0950896 623
2.4635e+13 0.00826446 0.00826446 0.00583172 0 0 0 0.164558 0.00706974 0.154691 0.130281 0.109213 242
3.82826e+13 0 0 0 0 0 0 0.175573 0.0120259 0.152119 0.15029 0.0920172 87
5.80382e+13 0 0 0 0 0 0 0.112431 0.0174103 0.107165 0.117562 0.0946485 22
9.46856e+13 0 0 0 0 0 0 0.132154 0.056727 0.129132 0.179268 0.11721 5
