#mpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.28773e+09 0.00539084 0.00539084 0.00380674 0 0 0 0.0757292 0.00456296 0.0454158 0.106643 0.0454158 371
1.48344e+10 0 0 0 0 0 0 0.0422937 0.0191489 0.014204 0.0532488 0.014204 29
2.57344e+10 0 0 0 0 0 0 0.0404427 0.0182385 0.0151844 0.0264136 0.000629866 17
4.1374e+10 0 0 0 0 0 0 0.0258556 0.00317355 0.0158413 0.0295745 0.00267756 31
6.68128e+10 0 0 0 0 0 0 0.0341103 0.00350712 0.0151844 0.0321961 0.0017504 83
1.03499e+11 0 0 0 0 0 0 0.0395835 0.00236808 0.0155031 0.0559407 0.00206906 208
1.65176e+11 0 0 0 0 0 0 0.0414951 0.00176258 0.0374348 0.0331543 0.0242711 472
2.57305e+11 0.000977517 0.000977517 0.000977517 0 0 0 0.0484238 0.00133278 0.0386728 0.052635 0.02576 1023
4.04667e+11 0.000565931 0.000565931 0.000565931 0 0 0 0.0559871 0.00119259 0.0389897 0.0583845 0.0259538 1767
6.38006e+11 0.00245614 0.00245614 0.000927356 0 0 0 0.0719584 0.00113997 0.0616765 0.0724666 0.0487637 2850
1.00722e+12 0.00666297 0.00666297 0.00135572 0 0 0 0.0892522 0.0011832 0.0652575 0.0942786 0.0522215 3602
1.58844e+12 0.00859823 0.00859823 0.0014905 0 0 0 0.107958 0.00131607 0.0879501 0.0981207 0.0518682 3838
2.49053e+12 0.0101127 0.0101127 0.00170094 0 0 0 0.131614 0.00154942 0.11224 0.112727 0.074591 3461
3.95014e+12 0.00987564 0.00987564 0.00189151 0 0 0 0.151828 0.00190737 0.134163 0.120517 0.0951732 2734
6.20015e+12 0.0136674 0.0136674 0.00277151 0 0 0 0.170577 0.00253222 0.156275 0.123113 0.0952376 1756
9.79613e+12 0.0104493 0.0104493 0.00328877 0 0 0 0.175831 0.00359759 0.158651 0.132494 0.098098 957
1.53526e+13 0.00607287 0.00607287 0.00349906 0 0 0 0.179852 0.00514258 0.157099 0.140469 0.0965461 494
2.46743e+13 0.00487805 0.00487805 0.00487805 0 0 0 0.170398 0.00777654 0.157099 0.131513 0.0974347 205
3.84865e+13 0 0 0 0 0 0 0.16794 0.0122895 0.151356 0.114977 0.0909493 76
5.73536e+13 0 0 0 0 0 0 0.128867 0.0182788 0.108325 0.116642 0.0726679 18
8.97924e+13 0 0 0 0 0 0 0.162115 0.0621867 0.199006 0.109394 0.187085 4
