#sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
8.26196e+07 0.00164745 0.00164745 0.00164745 0 0 0 0.0448005 0.00192125 0.0365664 0.0366868 0.02327 607
1.60928e+08 0.0018315 0.0018315 0.0018315 0 0 0 0.0508364 0.00231602 0.0393721 0.0538104 0.0262083 546
2.52692e+08 0 0 0 0 0 0 0.0521857 0.00180486 0.0386728 0.0561898 0.0253763 743
4.01052e+08 0.000971817 0.000971817 0.000971817 0 0 0 0.0588755 0.00172675 0.0397688 0.0655549 0.026605 1029
6.37981e+08 0.00143575 0.00143575 0.00101486 0 0 0 0.0670503 0.00173647 0.0401805 0.0805228 0.0270167 1393
1.0052e+09 0.00104987 0.00104987 0.000742174 0 0 0 0.0721969 0.00154608 0.041988 0.095354 0.028952 1905
1.59016e+09 0.00599355 0.00599355 0.0016577 0 0 0 0.0846732 0.00166124 0.064172 0.0871302 0.0510082 2169
2.52885e+09 0.00710059 0.00710059 0.001668 0 0 0 0.0924083 0.00164553 0.0647842 0.0999645 0.0516204 2535
3.96895e+09 0.00731452 0.00731452 0.00159059 0 0 0 0.106801 0.00168502 0.0866797 0.105964 0.0733833 2871
6.32643e+09 0.00819403 0.00819403 0.00163235 0 0 0 0.11621 0.00173492 0.0885827 0.121596 0.0523697 3051
1.00199e+10 0.0103351 0.0103351 0.00179007 0 0 0 0.129475 0.00182752 0.109458 0.120456 0.0724987 3193
1.58606e+10 0.0138968 0.0138968 0.00197169 0 0 0 0.134375 0.00181071 0.110047 0.135461 0.0730248 3526
2.51124e+10 0.012028 0.012028 0.00182344 0 0 0 0.143782 0.00184327 0.113505 0.137701 0.0762791 3575
3.97318e+10 0.0161812 0.0161812 0.0020723 0 0 0 0.151632 0.00181818 0.132189 0.134833 0.094694 3708
6.23083e+10 0.0171617 0.0171617 0.00235978 0 0 0 0.153084 0.00200246 0.13266 0.135099 0.0950108 3030
9.70749e+10 0.0108167 0.0108167 0.00240621 0 0 0 0.154128 0.00250681 0.131979 0.134727 0.0929895 1849
1.50185e+11 0.00773994 0.00773994 0.00345066 0 0 0 0.144227 0.00385835 0.132403 0.110923 0.0953804 646
2.28558e+11 0 0 0 0 0 0 0.137721 0.0118641 0.130138 0.137621 0.09448 78
3.58456e+11 0 0 0 0 0 0 0.130669 0.0556255 0.199517 0.0515211 0.163609 4
