#mpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
8.08631e+09 0.000668449 0.000687514 2.94432e-05 0 0 0 0.000211332 5.65383e-06 0 0 0 839256
1.57955e+10 0.000302248 0.000307163 2.8121e-05 0 0 0 0.000136181 5.20329e-06 0 0 0 406950
2.49118e+10 0.000563781 0.000563781 4.02587e-05 0 0 0 0.000297998 7.91944e-06 0 0 0 347653
3.92998e+10 0.00180743 0.0018292 8.23699e-05 0 0 0 0.000828889 1.48607e-05 0 0 0 275530
6.21613e+10 0.00515607 0.00521545 0.000162051 0 0 0 0.00209214 2.93237e-05 0 0 0 202092
9.80726e+10 0.0120859 0.0123251 0.000312477 0 0 0 0.00471499 5.82149e-05 0 0 0 129573
1.55294e+11 0.0283127 0.0289296 0.000620438 0 0 0 0.00995632 0.000116123 0 0.014551 0 76185
2.45597e+11 0.0554825 0.0569826 0.00114431 0 0 0 0.018682 0.000220903 0 0.0315076 0 43329
3.88837e+11 0.103653 0.107577 0.00209486 0 0 0 0.0337853 0.000411883 0 0.0757662 0 23704
6.12916e+11 0.166107 0.17438 0.00362793 0 1 0 0.0550466 0.000750124 0.014859 0.115187 0.014859 12209
9.71669e+11 0.228169 0.240911 0.00595504 0 1 0 0.0800181 0.00133056 0.0425626 0.13585 0.0425626 5886
1.53054e+12 0.307038 0.332173 0.0102598 0 1 0 0.118976 0.00241618 0.0833127 0.16275 0.0833127 2586
2.42262e+12 0.338318 0.379439 0.0172395 0 1 0 0.147888 0.00415038 0.115019 0.179731 0.101361 1070
3.80354e+12 0.385488 0.412698 0.025972 0 1 0 0.175409 0.00713914 0.153986 0.177641 0.139632 441
6.0613e+12 0.366279 0.389535 0.0407753 0 1 0 0.215545 0.011416 0.210047 0.164111 0.165076 172
9.95957e+12 0.360656 0.360656 0.0619924 0 1 0 0.24797 0.0201603 0.240485 0.17761 0.168676 61
1.51469e+13 0.259259 0.259259 0.0859436 0 1 0 0.256864 0.0368802 0.220759 0.285253 0.170173 27
2.36577e+13 0.142857 0.142857 0.0970523 0 0 0 0.269597 0.0515032 0.26287 0.225832 0.168474 14
3.7101e+13 0 0 0 0 0 0 0.266421 0.0801657 0.294044 0.213555 0.279408 5
6.33801e+13 0.333333 0.333333 0.333333 0 1 0 0.282196 0.0690932 0.322274 0.0544125 0.174646 3
