#obs_sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
8.40042e+07 0.026225 0.026225 0.00296902 0 0 0 0.0561283 0.00107425 0.0393161 0.0625004 0.0313474 2898
1.5928e+08 0.0330618 0.0344993 0.00416487 0 0 0 0.0678776 0.00146109 0.0519764 0.0681089 0.043911 2087
2.532e+08 0.0362969 0.0367047 0.00384168 0 0 0 0.0745972 0.00142468 0.0543813 0.086618 0.0461479 2452
3.98459e+08 0.0446785 0.0457683 0.00408187 0 0 0 0.0841311 0.00145422 0.0591896 0.0955613 0.036739 2753
6.32078e+08 0.0643647 0.0663761 0.00470431 0 0 0 0.0938661 0.00156021 0.0690749 0.103524 0.0463217 2983
9.9809e+08 0.0812742 0.0821673 0.00479484 0 0 0 0.105322 0.00163739 0.0816126 0.110253 0.0588594 3359
1.58982e+09 0.0975172 0.101406 0.00545638 0 0 0 0.123806 0.00183324 0.0965213 0.131703 0.0731356 3343
2.51776e+09 0.116667 0.121264 0.00576822 0 0 0 0.136983 0.00191628 0.110976 0.133844 0.0870741 3480
3.98305e+09 0.144932 0.150626 0.00629946 0 0 0 0.15552 0.00208872 0.12783 0.153123 0.0901699 3512
6.35045e+09 0.161087 0.167668 0.00661123 0 1 0 0.17754 0.00233862 0.143675 0.179631 0.105406 3495
1.00353e+10 0.174383 0.182356 0.00651627 0 1 0 0.202014 0.00239822 0.171487 0.189389 0.119203 3888
1.58721e+10 0.205633 0.215603 0.0068655 0 1 0 0.222519 0.00241728 0.195819 0.195716 0.129255 4012
2.51509e+10 0.222222 0.236598 0.00715177 0 1 0 0.23968 0.0024557 0.21574 0.194818 0.136156 4104
3.97357e+10 0.211271 0.223881 0.00715658 0 1 0 0.257723 0.00250878 0.240865 0.184418 0.146018 3886
6.22689e+10 0.197663 0.209015 0.0079389 0 1 0 0.262648 0.00285571 0.243278 0.184905 0.146092 2995
9.73493e+10 0.178074 0.183295 0.00964063 0 1 0 0.269872 0.00374699 0.253613 0.180856 0.14676 1724
1.51415e+11 0.137339 0.1402 0.0134498 0 0 0 0.268951 0.00571603 0.263151 0.175588 0.152539 699
2.35698e+11 0.0888889 0.0888889 0.0245843 0 0 0 0.262745 0.0121967 0.252609 0.161647 0.15021 135
3.80688e+11 0.0714286 0.0714286 0.0714286 0 0 0 0.253789 0.0428951 0.249531 0.218215 0.138247 14
5.3934e+11 0 0 0 0 0 0 0.428279 0.428279 0.428279 0 0 1
