#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
41.5659 0.0830565 0.0863787 0.00754252 0 0 0 0.0897943 0.00295437 0.0428356 0.127747 0.0337382 1505
64.718 0.00553797 0.00553797 0.00208818 0 0 0 0.032359 0.0014486 0.0236109 0.0338368 0.0152952 1264
81.8746 0.00764494 0.00764494 0.00126941 0 0 0 0.0402696 0.00063457 0.0246802 0.0488038 0.0166638 4709
101.359 0.02453 0.0248527 0.00141697 0 0 0 0.0564162 0.000488004 0.0393446 0.0636602 0.0313282 12393
126.854 0.0594899 0.0605023 0.00168603 0 0 0 0.081696 0.000503617 0.0605082 0.0886462 0.0387113 20743
158.738 0.127437 0.131304 0.00217044 0 0 0 0.124945 0.000602245 0.101816 0.12184 0.0768331 25856
198.896 0.221964 0.233521 0.00287475 0 1 0 0.191054 0.000777897 0.173783 0.145126 0.107532 24486
249.315 0.310499 0.33563 0.0038846 0 1 0 0.281646 0.00105476 0.274979 0.157916 0.146952 18145
312.449 0.332353 0.364605 0.00522828 0 1 0 0.386358 0.00144405 0.393153 0.150904 0.168145 10883
392.614 0.295231 0.318893 0.00696809 0 1 0 0.490071 0.0019551 0.505975 0.128474 0.170219 5494
492.657 0.210456 0.225521 0.00952762 0 1 0 0.575559 0.00270193 0.593047 0.103744 0.140798 2257
617.35 0.14234 0.150784 0.0132304 0 0 0 0.635558 0.00412365 0.655552 0.0941259 0.133413 829
779.454 0.136719 0.148438 0.0242407 0 0 0 0.681625 0.00659909 0.6948 0.0894737 0.121831 256
958.17 0.097561 0.097561 0.0469156 0 0 0 0.73861 0.0122078 0.769262 0.0334543 0.109497 41
1159.53 0 0 0 0 0 0 0.745969 0.0295884 0.722931 0.0817627 0.012648 3
1455.08 0 0 0 0 0 0 0.747275 0.00309205 0.750367 0 0.0061841 2
