#obs_sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
8.14719e+07 0.0382099 0.038995 0.00319705 0 0 0 0.0467613 0.000818721 0.0280118 0.0561675 0.0225673 3821
1.59755e+08 0.0585987 0.059448 0.00494715 0 0 0 0.0536054 0.00110932 0.0367598 0.0634975 0.0313152 2355
2.53006e+08 0.0653338 0.0681899 0.00497323 0 0 0 0.0589495 0.00112689 0.0377483 0.0723381 0.0323038 2801
3.98375e+08 0.078329 0.0812663 0.00512771 0 0 0 0.0625872 0.00111621 0.0462373 0.0721341 0.0407928 3064
6.33203e+08 0.090053 0.0929959 0.00517068 0 0 0 0.0708361 0.00117819 0.0476242 0.0848619 0.032121 3398
1.00254e+09 0.118159 0.126579 0.00600671 0 0 0 0.0788829 0.00125572 0.0571232 0.0931765 0.04162 3563
1.5878e+09 0.135828 0.144988 0.00610309 0 0 0 0.0867664 0.00129679 0.0662835 0.0922304 0.0506613 3821
2.52483e+09 0.155297 0.167404 0.00618993 0 0 0 0.0971702 0.00137338 0.0679021 0.11406 0.0522295 4295
4.007e+09 0.189655 0.208158 0.00652868 0 1 0 0.108563 0.00137972 0.0791192 0.121528 0.0536597 4756
6.35429e+09 0.217655 0.242246 0.0065875 0 1 0 0.123875 0.00144033 0.0971178 0.12974 0.0713027 5449
1.00982e+10 0.250489 0.283737 0.00641312 0 1 0 0.13889 0.00137773 0.109983 0.140387 0.0746123 6647
1.6044e+10 0.296274 0.337828 0.00618418 0 1 0 0.159562 0.00137187 0.129108 0.156932 0.0925122 8158
2.52909e+10 0.318944 0.366776 0.00576998 0 1 0 0.178849 0.00128447 0.151192 0.161272 0.104852 10077
3.98015e+10 0.338129 0.387943 0.00558684 0 1 0 0.195241 0.00125281 0.174833 0.156821 0.117667 10981
6.2699e+10 0.331879 0.382005 0.00575662 0 1 0 0.210587 0.00132257 0.189377 0.165608 0.114626 10314
9.84992e+10 0.309651 0.354316 0.00650126 0 1 0 0.223491 0.00151077 0.208309 0.150693 0.122568 7657
1.53425e+11 0.280398 0.3169 0.00831811 0 1 0 0.233423 0.00195978 0.223524 0.141445 0.127035 4219
2.40047e+11 0.248389 0.272994 0.0120775 0 1 0 0.236715 0.0028996 0.224934 0.138596 0.108103 1707
3.75463e+11 0.210728 0.233716 0.0207845 0 1 0 0.224378 0.00468228 0.21522 0.125166 0.100934 522
5.92032e+11 0.14 0.14 0.0348735 0 0 0 0.217619 0.0102486 0.204592 0.138217 0.0999886 100
9.78141e+11 0 0 0 0 0 0 0.167135 0.0458375 0.165061 0.089751 0.12029 8
1.32315e+12 0 0 0 0 0 0 0.104548 0.000217378 0.104765 0 0.000434756 2
