#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
45.0974 0.00093953 0.000980954 1.31064e-05 0 0 0 0.000217818 1.6978e-06 0 0 0 6204164
62.3658 0.00197754 0.00200037 3.29424e-05 0 0 0 0.000685795 4.80697e-06 0 0 0 1883655
78.5744 0.0118589 0.0120846 0.000113284 0 0 0 0.00345646 1.71902e-05 0 0 0 965776
98.6455 0.0519391 0.054271 0.000335522 0 0 0 0.0141087 5.3272e-05 0 0.0214852 0 498314
124.198 0.145343 0.156868 0.000799726 0 0 0 0.0399362 0.000137802 0 0.0922202 0 244160
156.387 0.295302 0.33624 0.00161136 0 1 0 0.0908242 0.000302038 0.0525042 0.142495 0.0525042 119400
196.849 0.424992 0.506099 0.00267755 0 1 0 0.165147 0.000565618 0.138124 0.173706 0.117755 59194
247.737 0.460315 0.55723 0.00398649 0 1 0 0.239918 0.000933629 0.221919 0.188997 0.151082 28726
311.783 0.392751 0.471213 0.00551817 0 1 0 0.289822 0.00143622 0.273446 0.196046 0.16085 13739
392.615 0.31702 0.363137 0.00718265 0 1 0 0.306269 0.00216189 0.285692 0.203048 0.158761 6375
493.086 0.253273 0.278339 0.00973531 0 1 0 0.282229 0.00310794 0.255047 0.184712 0.129116 2673
618.556 0.216486 0.240036 0.014482 0 1 0 0.263846 0.00443928 0.234609 0.175069 0.10979 1104
777.047 0.208877 0.214099 0.021629 0 1 0 0.231777 0.00720728 0.215371 0.145764 0.120789 383
959.625 0.183908 0.183908 0.0417754 0 1 0 0.170166 0.0117251 0.144774 0.109281 0.0699793 87
1189.75 0.0869565 0.0869565 0.0600739 0 0 0 0.156405 0.0188331 0.145014 0.110255 0.0555266 23
1618.4 0 0 0 0 0 0 0.109555 0.00522402 0.114779 0 0.010448 2
