#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
46.1596 0.00106374 0.00110709 3.55423e-05 0 0 0 0.000240896 4.49002e-06 0 0 0 945721
62.4222 0.00328946 0.00332941 8.68491e-05 0 0 0 0.000880684 1.09776e-05 0 0 0 450530
79.2904 0.021585 0.0221237 0.00028665 0 0 0 0.00458216 3.62399e-05 0 0 0 276581
98.3574 0.0786891 0.0830362 0.000732112 0 0 0 0.0157973 9.63019e-05 0 0.0311449 0 158726
123.546 0.203363 0.223473 0.00186058 0 1 0 0.0412892 0.00026562 0.0101903 0.0834493 0.0101903 62258
155.07 0.389523 0.461052 0.00434685 0 1 0 0.0879901 0.000677156 0.051516 0.137214 0.051516 21362
194.473 0.551794 0.692824 0.00900886 1 0 1 0.154001 0.00164858 0.12644 0.169139 0.107358 6410
244.203 0.673307 0.893094 0.0196571 1 1 1 0.231727 0.00393819 0.222836 0.175457 0.161112 1506
308.094 0.649852 0.84273 0.0403838 1 1 1 0.279187 0.00900529 0.282636 0.166052 0.190754 337
385.307 0.591549 0.746479 0.0867901 1 0 1 0.313216 0.0209264 0.296346 0.217239 0.147944 71
483.932 0.470588 0.529412 0.151406 0 1 0 0.334878 0.0447766 0.359871 0.160706 0.270471 17
599.911 0.333333 0.333333 0.333333 0 1 0 0.410907 0.115278 0.416103 0.191822 0.207411 3
