#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#mpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
7.20867e+09 4.36709e+08 5.30717e+07 3.82884e+08 1.43502e+08 5.24043e+07 6.5793e+08 8.44279e+07 6.06006e+08 2.04782e+08 2.45841e+08 11
4.89979e+10 4.96121e+08 1.13237e+08 6.09358e+08 0 2.26474e+08 4.13554e+08 5.33893e+07 4.66944e+08 0 1.06779e+08 2
6.28672e+10 3.96866e+08 2.93395e+07 3.82884e+08 6.76367e+07 4.96311e+07 6.14713e+08 7.78534e+07 6.06006e+08 2.04782e+08 2.45841e+08 13
1.03093e+11 4.53482e+08 2.34396e+07 4.1105e+08 1.73439e+08 7.24017e+07 5.43531e+08 3.91328e+07 4.66944e+08 2.76105e+08 1.06779e+08 29
1.6237e+11 4.50066e+08 2.03184e+07 3.87959e+08 1.9653e+08 4.93108e+07 6.0909e+08 2.74265e+07 6.06006e+08 2.04782e+08 2.45841e+08 71
2.53872e+11 4.73073e+08 1.71727e+07 4.07939e+08 1.86711e+08 6.92907e+07 5.94009e+08 2.31765e+07 5.36715e+08 3.41278e+08 1.7655e+08 105
4.0307e+11 4.94604e+08 1.65563e+07 4.5052e+08 2.12908e+08 1.11872e+08 6.15816e+08 2.32807e+07 5.36715e+08 3.41278e+08 1.7655e+08 111
6.2928e+11 5.29719e+08 1.80177e+07 4.70295e+08 3.18873e+08 1.31647e+08 6.17959e+08 2.20852e+07 5.36715e+08 2.74073e+08 1.7655e+08 117
9.82336e+11 5.02815e+08 1.69153e+07 4.50623e+08 2.1831e+08 1.11975e+08 6.37949e+08 2.25614e+07 6.06006e+08 2.71987e+08 2.45841e+08 122
1.49117e+12 5.26698e+08 2.37728e+07 5.17828e+08 2.20877e+08 1.7655e+08 5.94742e+08 3.42944e+07 5.36715e+08 2.74073e+08 1.7655e+08 56
2.58114e+12 5.09421e+08 3.39161e+07 4.66483e+08 2.49653e+08 1.25205e+08 6.34769e+08 4.52243e+07 6.06006e+08 2.71987e+08 2.45841e+08 24
3.7771e+12 4.26118e+08 5.91532e+07 3.82884e+08 2.74944e+08 4.16057e+07 5.28923e+08 5.45889e+07 5.36715e+08 1.38069e+08 1.7655e+08 5
1.09279e+13 6.04553e+08 6.04553e+08 6.04553e+08 0 0 5.36715e+08 5.36715e+08 5.36715e+08 0 0 1
