#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
45.7417 4.27468e+08 1.56925e+07 3.91441e+08 1.39423e+08 5.54653e+07 6.07664e+08 2.87094e+07 6.06006e+08 2.04782e+08 2.45841e+08 64
61.2889 4.23773e+08 2.38735e+07 4.1105e+08 1.24212e+08 7.24017e+07 5.38118e+08 3.52932e+07 5.36715e+08 1.38069e+08 1.7655e+08 14
102.469 4.0133e+08 3.76222e+07 3.43845e+08 1.10775e+08 1.33651e+07 6.07551e+08 6.07717e+07 6.06006e+08 2.71987e+08 1.39062e+08 10
131.126 4.23282e+08 1.12723e+07 3.91441e+08 1.39423e+08 5.8188e+07 5.67614e+08 2.62284e+07 5.36715e+08 2.06334e+08 1.7655e+08 78
161.011 4.27794e+08 7.02187e+06 3.82884e+08 1.4798e+08 4.69084e+07 5.94849e+08 1.24235e+07 5.36715e+08 2.74073e+08 1.7655e+08 329
202.265 4.77129e+08 6.02029e+06 4.46348e+08 1.99972e+08 1.10373e+08 6.34177e+08 9.34417e+06 6.06006e+08 2.71987e+08 2.45841e+08 697
250.59 5.172e+08 6.61863e+06 4.66483e+08 2.49653e+08 1.25205e+08 6.52061e+08 9.36114e+06 6.06006e+08 3.38648e+08 2.45841e+08 778
310.509 5.65783e+08 1.01003e+07 5.17828e+08 2.63274e+08 1.73984e+08 6.74479e+08 1.25519e+07 6.06006e+08 3.38648e+08 2.45841e+08 471
391.794 6.94078e+08 2.30426e+07 6.50595e+08 3.84414e+08 2.45841e+08 6.16775e+08 2.18002e+07 5.36715e+08 3.41278e+08 1.7655e+08 143
496.583 7.80909e+08 4.87941e+07 7.38705e+08 2.96304e+08 2.0199e+08 6.01691e+08 4.65457e+07 5.36715e+08 2.74073e+08 1.7655e+08 27
603.862 6.61617e+08 1.1487e+08 6.50595e+08 3.84414e+08 3.28742e+08 4.90284e+08 1.30119e+08 3.60165e+08 6.50595e+08 0 5
856.04 1.22928e+09 1.22928e+09 1.22928e+09 0 0 8.10788e+08 8.10788e+08 8.10788e+08 0 0 1
