#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#obs_sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.46428e+07 4.70697e+08 1.01519e+07 3.99279e+08 2.40394e+08 8.12984e+07 9.41276e+08 2.29325e+07 8.53413e+08 5.55505e+08 3.22537e+08 383
1.62875e+08 4.8185e+08 1.04983e+07 4.00439e+08 2.98596e+08 8.34711e+07 9.5552e+08 2.15825e+07 8.53413e+08 5.55505e+08 3.22537e+08 401
2.54205e+08 4.91142e+08 9.71893e+06 4.02633e+08 2.89926e+08 8.46524e+07 9.73968e+08 2.13367e+07 8.53413e+08 6.33798e+08 3.22537e+08 466
4.00066e+08 5.12304e+08 9.25478e+06 4.46652e+08 2.67466e+08 1.28672e+08 9.89194e+08 1.81669e+07 8.53413e+08 6.33798e+08 3.22537e+08 707
6.38458e+08 5.18205e+08 7.79274e+06 4.68813e+08 2.47547e+08 1.49854e+08 1.03327e+09 1.78148e+07 9.3351e+08 6.31703e+08 4.02633e+08 856
1.01046e+09 5.3869e+08 7.75523e+06 4.68813e+08 3.20687e+08 1.49854e+08 1.02805e+09 1.49923e+07 9.3351e+08 6.31703e+08 4.02633e+08 1096
1.59431e+09 5.67162e+08 8.17309e+06 4.76928e+08 3.24816e+08 1.57024e+08 1.01915e+09 1.42251e+07 9.3351e+08 6.31703e+08 4.02633e+08 1211
2.52112e+09 5.93405e+08 8.01403e+06 4.81181e+08 3.88638e+08 1.61277e+08 1.05462e+09 1.38675e+07 9.3351e+08 7.09403e+08 4.02633e+08 1427
4.01588e+09 6.25854e+08 7.90633e+06 5.37081e+08 4.03528e+08 2.16266e+08 1.06452e+09 1.25847e+07 9.3351e+08 6.31703e+08 4.02633e+08 1782
6.41342e+09 6.66505e+08 8.26715e+06 5.55505e+08 4.49759e+08 2.32968e+08 1.07001e+09 1.17994e+07 9.3351e+08 7.09403e+08 4.02633e+08 2138
1.00609e+10 7.2255e+08 8.27709e+06 6.15082e+08 4.77915e+08 2.91734e+08 1.09699e+09 1.07745e+07 9.3351e+08 7.09403e+08 4.02633e+08 2736
1.59934e+10 7.92792e+08 8.46405e+06 6.35825e+08 6.03409e+08 2.55562e+08 1.11578e+09 9.7198e+06 1.01337e+09 7.06929e+08 4.82497e+08 3380
2.5133e+10 8.22606e+08 8.40511e+06 6.78176e+08 6.07375e+08 3.01507e+08 1.16099e+09 9.45516e+06 1.03434e+09 7.63038e+08 4.75405e+08 3893
3.95114e+10 8.40457e+08 8.65833e+06 6.92559e+08 6.26539e+08 3.05652e+08 1.23665e+09 1.0574e+07 1.093e+09 8.57528e+08 4.81181e+08 3685
6.21422e+10 8.47829e+08 1.00383e+07 6.92559e+08 6.15834e+08 3.07246e+08 1.30855e+09 1.28741e+07 1.17237e+09 8.54215e+08 5.60556e+08 2856
9.65924e+10 8.76033e+08 1.47898e+07 6.99035e+08 7.09883e+08 3.15361e+08 1.32957e+09 1.96474e+07 1.17237e+09 1.00526e+09 6.41496e+08 1419
1.5195e+11 9.47654e+08 2.80197e+07 7.67028e+08 7.98185e+08 3.67749e+08 1.26829e+09 3.29838e+07 1.01337e+09 1.08892e+09 4.82497e+08 510
2.33564e+11 1.08747e+09 8.27265e+07 7.97101e+08 9.44093e+08 3.50753e+08 1.14521e+09 7.53923e+07 8.53413e+08 1.09711e+09 3.22537e+08 95
3.40804e+11 1.17253e+09 2.47492e+08 9.50354e+08 1.35701e+09 5.00609e+08 8.47327e+08 1.29535e+08 6.92559e+08 4.79814e+08 1.61682e+08 13
