#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.31875e+07 4.90454e+08 7.82326e+06 4.01557e+08 3.0282e+08 8.25975e+07 9.1567e+08 1.58787e+07 7.73094e+08 6.35825e+08 2.42217e+08 707
1.60909e+08 4.87926e+08 8.05509e+06 4.02633e+08 2.40619e+08 8.36737e+07 9.47345e+08 1.82759e+07 8.53413e+08 5.55505e+08 3.22537e+08 599
2.50886e+08 5.13101e+08 8.84403e+06 4.25749e+08 2.9061e+08 1.0679e+08 9.36776e+08 1.66691e+07 8.53413e+08 4.76928e+08 3.22537e+08 724
4.00945e+08 5.43366e+08 8.52125e+06 4.72215e+08 3.11786e+08 1.52311e+08 9.57759e+08 1.503e+07 8.53413e+08 6.33798e+08 3.22537e+08 930
6.31989e+08 5.67543e+08 8.79547e+06 4.78397e+08 3.46152e+08 1.58493e+08 9.6241e+08 1.44162e+07 8.53413e+08 5.55505e+08 3.22537e+08 991
1.00039e+09 5.81216e+08 8.97361e+06 4.82497e+08 3.70916e+08 1.61682e+08 1.00097e+09 1.55797e+07 8.53413e+08 7.11799e+08 3.22537e+08 1043
1.59363e+09 6.13531e+08 9.80798e+06 5.29821e+08 4.03689e+08 2.09006e+08 1.01639e+09 1.56776e+07 8.53413e+08 7.11799e+08 3.22537e+08 1097
2.49527e+09 6.40588e+08 9.83648e+06 5.49915e+08 4.0642e+08 2.27378e+08 1.03306e+09 1.60674e+07 8.53413e+08 7.11799e+08 3.22537e+08 1091
3.98889e+09 6.92848e+08 1.11948e+07 5.63628e+08 4.67468e+08 1.98438e+08 1.05038e+09 1.55451e+07 9.3351e+08 6.31703e+08 4.02633e+08 1205
6.34819e+09 7.05371e+08 1.14255e+07 5.95336e+08 5.01776e+08 2.71988e+08 1.0458e+09 1.55207e+07 9.3351e+08 6.31703e+08 4.02633e+08 1186
9.97495e+09 7.58899e+08 1.28598e+07 6.20184e+08 5.61376e+08 2.96836e+08 1.04996e+09 1.51497e+07 9.3351e+08 7.09403e+08 4.02633e+08 1286
1.57424e+10 7.66052e+08 1.28708e+07 6.29539e+08 5.63628e+08 2.5823e+08 1.08775e+09 1.52873e+07 9.53396e+08 6.89517e+08 4.22519e+08 1247
2.49518e+10 7.72076e+08 1.37245e+07 6.41496e+08 5.35936e+08 2.66692e+08 1.16998e+09 1.85457e+07 1.01337e+09 7.84001e+08 4.82497e+08 1107
3.93565e+10 8.03689e+08 1.58047e+07 6.81088e+08 5.76879e+08 2.99097e+08 1.19424e+09 2.11764e+07 1.093e+09 7.81121e+08 5.62121e+08 861
6.15572e+10 8.14515e+08 2.17223e+07 6.93376e+08 5.77182e+08 3.11385e+08 1.23081e+09 3.0478e+07 1.093e+09 9.3359e+08 5.62121e+08 485
9.49551e+10 7.91819e+08 3.18292e+07 6.74324e+08 5.32934e+08 2.94062e+08 1.21114e+09 4.98933e+07 1.093e+09 9.3359e+08 5.62121e+08 207
1.48352e+11 7.97268e+08 6.54213e+07 7.01746e+08 3.22535e+08 2.52e+08 1.04195e+09 8.21468e+07 1.01337e+09 5.51839e+08 4.82497e+08 37
2.2291e+11 6.89023e+08 1.31052e+08 6.11817e+08 4.54816e+08 2.88469e+08 7.68769e+08 1.3506e+08 6.11817e+08 4.81181e+08 1.30636e+08 7
