#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.62129e+07 4.63966e+08 1.03451e+07 3.99279e+08 2.34519e+08 8.12984e+07 9.52884e+08 2.43185e+07 8.53413e+08 5.55505e+08 3.22537e+08 357
1.58813e+08 4.79556e+08 1.12448e+07 4.00439e+08 2.37344e+08 8.24583e+07 9.2224e+08 2.21032e+07 7.73094e+08 6.35825e+08 2.42217e+08 356
2.56008e+08 4.90808e+08 9.87206e+06 4.02633e+08 3.09166e+08 8.46524e+07 9.63399e+08 2.07957e+07 8.53413e+08 5.55505e+08 3.22537e+08 469
3.96259e+08 5.19023e+08 9.79041e+06 4.53077e+08 2.63283e+08 1.36109e+08 1.00226e+09 1.82921e+07 9.3351e+08 5.53702e+08 4.02633e+08 677
6.33337e+08 5.2163e+08 7.96976e+06 4.59381e+08 2.63246e+08 1.40422e+08 1.02531e+09 1.77131e+07 8.53413e+08 7.11799e+08 3.22537e+08 877
1.00971e+09 5.30238e+08 7.66007e+06 4.68813e+08 2.86435e+08 1.49854e+08 1.01713e+09 1.50252e+07 9.3351e+08 5.53702e+08 4.02633e+08 1036
1.59382e+09 5.6103e+08 7.61773e+06 4.78397e+08 3.18705e+08 1.58493e+08 1.03095e+09 1.45532e+07 8.53413e+08 7.11799e+08 3.22537e+08 1259
2.51975e+09 5.8547e+08 8.04439e+06 4.79814e+08 3.84051e+08 1.5991e+08 1.03449e+09 1.35959e+07 9.3351e+08 6.31703e+08 4.02633e+08 1378
4.00962e+09 6.05468e+08 7.47504e+06 5.11041e+08 3.69555e+08 1.91137e+08 1.07962e+09 1.29385e+07 9.3351e+08 7.09403e+08 4.02633e+08 1754
6.34377e+09 6.60457e+08 8.00428e+06 5.57248e+08 4.39606e+08 2.34711e+08 1.0548e+09 1.19343e+07 9.3351e+08 6.31703e+08 4.02633e+08 2014
1.01093e+10 7.04165e+08 8.21489e+06 5.63628e+08 4.70708e+08 2.4028e+08 1.09632e+09 1.09249e+07 9.3351e+08 7.86793e+08 4.02633e+08 2672
1.59776e+10 7.80642e+08 8.29505e+06 6.33798e+08 5.90263e+08 2.58995e+08 1.10578e+09 9.65586e+06 1.01337e+09 6.60615e+08 4.82497e+08 3307
2.52183e+10 8.27335e+08 8.16178e+06 6.87395e+08 6.10062e+08 3.05404e+08 1.16623e+09 9.27436e+06 1.093e+09 7.04377e+08 5.3575e+08 4034
3.98041e+10 8.36433e+08 8.20499e+06 6.92559e+08 5.81472e+08 3.07246e+08 1.22505e+09 9.81225e+06 1.093e+09 7.81121e+08 4.81181e+08 4011
6.21011e+10 8.56769e+08 1.01437e+07 6.89921e+08 6.53321e+08 3.0793e+08 1.32722e+09 1.29344e+07 1.17237e+09 9.29921e+08 5.60556e+08 2987
9.61569e+10 9.11093e+08 1.51502e+07 7.39994e+08 7.33788e+08 3.50032e+08 1.31836e+09 1.97997e+07 1.15482e+09 1.02281e+09 6.06892e+08 1423
1.47476e+11 9.92516e+08 3.5539e+07 7.58478e+08 8.84435e+08 3.5481e+08 1.23457e+09 4.03058e+07 1.01337e+09 1.07767e+09 4.82497e+08 390
2.29605e+11 1.11167e+09 1.05637e+08 8.69819e+08 1.04335e+09 4.20074e+08 9.33683e+08 6.48294e+07 7.82737e+08 5.47604e+08 2.51861e+08 58
3.28536e+11 2.68514e+09 1.43365e+09 4.1188e+09 0 2.86731e+09 3.81734e+08 6.80115e+07 4.49746e+08 0 1.36023e+08 2
