#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
43.9715 5.45209e+08 5.91399e+06 4.59381e+08 3.13712e+08 1.44542e+08 1.30928e+09 1.2304e+07 1.25149e+09 6.22628e+08 5.58931e+08 2321
60.9648 4.69292e+08 1.8649e+07 3.98077e+08 2.05939e+08 8.32378e+07 1.30788e+09 5.29276e+07 1.17237e+09 9.29921e+08 5.60556e+08 181
81.7765 4.31901e+08 9.59274e+06 3.9284e+08 1.62665e+08 7.58722e+07 9.08252e+08 2.47061e+07 7.73094e+08 5.57248e+08 2.42217e+08 306
102.603 4.70225e+08 5.54262e+06 3.99279e+08 2.34519e+08 8.23112e+07 9.76265e+08 1.29762e+07 8.53413e+08 6.33798e+08 3.22537e+08 1287
127.722 5.19229e+08 4.03783e+06 4.63314e+08 2.55211e+08 1.44355e+08 1.01828e+09 8.46313e+06 8.53413e+08 7.11799e+08 3.22537e+08 3334
159.152 5.8534e+08 3.77255e+06 4.83764e+08 3.76981e+08 1.62949e+08 1.05301e+09 6.97972e+06 9.3351e+08 6.31703e+08 4.02633e+08 5687
198.689 6.8808e+08 4.83709e+06 5.78792e+08 4.50865e+08 2.55444e+08 1.06997e+09 7.16058e+06 9.3351e+08 7.09403e+08 4.02633e+08 5766
246.727 7.98582e+08 7.7249e+06 6.92559e+08 5.51569e+08 3.02597e+08 1.04774e+09 9.76136e+06 9.3351e+08 7.09403e+08 4.02633e+08 3229
309.1 8.94588e+08 1.57698e+07 7.73094e+08 6.14923e+08 3.73815e+08 9.51527e+08 1.4889e+07 8.53413e+08 5.55505e+08 3.22537e+08 1076
387.205 9.55377e+08 3.16736e+07 7.94653e+08 6.95824e+08 3.19244e+08 8.70497e+08 2.78533e+07 7.18525e+08 6.11817e+08 2.68779e+08 274
484.628 8.50816e+08 5.96029e+07 7.04377e+08 5.98801e+08 2.54631e+08 8.67484e+08 5.82182e+07 7.1636e+08 6.13982e+08 2.44145e+08 59
602.556 1.09647e+09 1.52172e+08 1.01702e+09 7.72558e+08 6.20184e+08 8.8453e+08 1.24134e+08 7.73094e+08 7.27431e+08 3.23348e+08 15
811.906 7.7488e+08 1.21761e+08 8.80596e+08 2.91777e+08 4.76928e+08 7.20925e+08 1.05061e+08 8.53413e+08 2.26821e+08 4.03668e+08 6
985.47 4.83764e+08 4.83764e+08 4.83764e+08 0 0 4.49746e+08 4.49746e+08 4.49746e+08 0 0 1
