#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#mpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
7.27727e+09 8.95096e+08 6.76697e+07 7.07395e+08 6.67602e+08 2.50131e+08 1.75613e+09 1.19989e+08 1.41761e+09 1.69356e+09 7.10211e+08 91
1.47774e+10 8.64014e+08 2.44284e+08 6.6675e+08 7.91653e+08 3.32949e+08 2.3675e+09 6.80357e+08 1.20812e+09 2.94353e+09 4.64918e+08 7
2.45589e+10 8.75326e+08 2.83585e+08 1.00085e+09 2.90719e+08 6.67287e+08 7.48751e+08 1.57555e+08 7.90825e+08 2.07338e+08 3.33561e+08 3
4.36914e+10 9.75302e+08 1.60675e+08 8.34304e+08 9.12401e+08 5.00643e+08 1.01036e+09 1.83164e+08 7.90825e+08 7.50956e+08 2.50216e+08 11
6.34345e+10 7.30881e+08 8.32501e+07 5.51839e+08 4.17368e+08 2.18001e+08 1.48796e+09 1.88413e+08 1.20812e+09 1.24692e+09 6.24187e+08 32
9.82873e+10 7.12431e+08 4.69541e+07 5.8413e+08 5.00148e+08 1.6888e+08 1.16758e+09 8.79345e+07 1.00085e+09 8.74022e+08 4.60239e+08 50
1.64402e+11 8.40624e+08 5.30785e+07 7.07395e+08 5.84172e+08 2.92534e+08 1.42929e+09 1.20274e+08 1.0412e+09 1.33124e+09 5.00587e+08 78
2.51904e+11 9.02743e+08 5.28885e+07 7.49029e+08 7.09374e+08 3.52197e+08 1.35652e+09 8.85798e+07 1.0412e+09 1.16573e+09 4.57265e+08 105
4.00673e+11 1.00305e+09 6.39506e+07 8.74274e+08 5.84129e+08 5.40438e+08 1.4275e+09 7.9729e+07 1.12466e+09 1.24778e+09 5.00674e+08 132
6.29273e+11 9.59049e+08 4.64931e+07 7.50855e+08 8.74274e+08 3.34938e+08 1.45191e+09 7.42746e+07 1.20812e+09 1.16432e+09 6.67511e+08 174
9.96459e+11 1.13177e+09 5.24432e+07 8.74274e+08 1.0103e+09 4.57006e+08 1.48335e+09 6.60859e+07 1.16573e+09 1.20671e+09 5.41738e+08 215
1.6165e+12 1.21873e+09 5.71728e+07 9.57732e+08 1.08331e+09 4.88919e+08 1.40844e+09 6.80855e+07 1.12466e+09 1.24778e+09 5.00674e+08 194
2.50861e+12 1.33241e+09 7.11748e+07 1.0412e+09 1.08283e+09 5.00587e+08 1.35385e+09 6.37419e+07 1.20812e+09 9.15906e+08 6.67511e+08 178
3.95812e+12 1.38159e+09 9.28237e+07 1.07454e+09 1.30279e+09 4.999e+08 1.25559e+09 6.89283e+07 1.08452e+09 7.90351e+08 4.60531e+08 120
6.31195e+12 1.50886e+09 9.96537e+07 1.2449e+09 1.39957e+09 6.68421e+08 1.28459e+09 9.55979e+07 9.57732e+08 1.28714e+09 4.57057e+08 93
9.89024e+12 1.48045e+09 1.12748e+08 1.375e+09 9.14734e+08 7.51009e+08 1.09229e+09 1.01568e+08 8.74274e+08 8.75385e+08 4.57156e+08 48
1.53371e+13 1.23639e+09 1.48511e+08 8.34151e+08 1.23582e+09 3.76887e+08 1.17822e+09 1.14489e+08 9.57732e+08 8.7134e+08 4.57007e+08 40
2.42976e+13 1.45523e+09 2.66455e+08 1.12466e+09 1.65958e+09 6.67399e+08 1.20532e+09 1.5042e+08 1.13086e+09 5.77566e+08 5.9025e+08 15
4.09532e+13 1.65626e+09 3.84114e+08 1.49953e+09 1.12037e+09 8.33904e+08 8.60451e+08 1.97541e+08 7.07395e+08 7.51008e+08 3.7927e+08 5
5.50222e+13 1.13862e+09 3.32075e+08 9.16791e+08 8.74882e+08 2.09396e+08 1.30779e+09 3.30252e+08 1.0412e+09 9.23237e+08 1.23463e+08 3
1.06067e+14 9.99481e+08 2.92086e+08 1.29157e+09 0 5.84172e+08 1.24885e+09 2.50682e+08 1.49953e+09 0 5.01364e+08 2
1.32868e+14 9.96637e+08 9.96637e+08 9.96637e+08 0 0 1.4584e+09 1.4584e+09 1.4584e+09 0 0 1
2.18529e+14 1.62513e+09 1.62513e+09 1.62513e+09 0 0 5.81794e+08 5.81794e+08 5.81794e+08 0 0 1
