#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#mpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.35642e+09 6.64631e+08 1.54832e+07 4.99873e+08 4.74229e+08 1.66445e+08 2.23847e+09 4.06029e+07 2.04105e+09 1.6352e+09 1.25022e+09 1008
1.62286e+10 5.80736e+08 1.3775e+07 4.90338e+08 3.26682e+08 1.56777e+08 1.73367e+09 4.57454e+07 1.29157e+09 1.65646e+09 6.67579e+08 746
2.5758e+10 6.18076e+08 9.09793e+06 5.00305e+08 4.1505e+08 1.66743e+08 1.43201e+09 2.39194e+07 1.12466e+09 1.16507e+09 5.00674e+08 1537
4.07061e+10 6.42753e+08 6.56817e+06 5.00675e+08 4.79576e+08 1.6701e+08 1.41382e+09 1.57227e+07 1.20812e+09 1.08161e+09 5.84132e+08 2994
6.39549e+10 6.91956e+08 5.61068e+06 5.82246e+08 4.58241e+08 2.48502e+08 1.43796e+09 1.22572e+07 1.20812e+09 1.16432e+09 5.84132e+08 5191
1.00666e+11 7.1802e+08 5.33818e+06 5.83762e+08 4.99068e+08 2.49961e+08 1.48797e+09 1.11166e+07 1.25116e+09 1.12128e+09 6.27173e+08 6628
1.58128e+11 7.70787e+08 5.76125e+06 5.84172e+08 5.83643e+08 2.50337e+08 1.53099e+09 1.13197e+07 1.29157e+09 1.24596e+09 6.67579e+08 7211
2.5018e+11 8.39224e+08 6.64769e+06 6.6675e+08 6.56145e+08 2.9008e+08 1.59939e+09 1.20652e+07 1.375e+09 1.2449e+09 7.51009e+08 6799
3.93582e+11 9.29078e+08 8.2449e+06 7.45857e+08 7.50476e+08 3.35364e+08 1.60036e+09 1.34182e+07 1.29157e+09 1.41057e+09 6.67579e+08 5783
6.22597e+11 1.00207e+09 1.05457e+07 8.18569e+08 7.64365e+08 4.0332e+08 1.63528e+09 1.5923e+07 1.375e+09 1.32714e+09 7.51009e+08 4193
9.78629e+11 1.11131e+09 1.48336e+07 8.74274e+08 9.54799e+08 4.57264e+08 1.61372e+09 1.94358e+07 1.375e+09 1.32714e+09 7.51009e+08 2739
1.54336e+12 1.25833e+09 2.16557e+07 1.00103e+09 1.123e+09 5.21215e+08 1.4857e+09 2.44642e+07 1.20812e+09 1.24692e+09 6.24358e+08 1558
2.43885e+12 1.41522e+09 3.5195e+07 1.20137e+09 1.12423e+09 7.00644e+08 1.43302e+09 3.61949e+07 1.12466e+09 1.24778e+09 5.00674e+08 699
3.86615e+12 1.44527e+09 5.87556e+07 1.15635e+09 1.24299e+09 6.15741e+08 1.31002e+09 4.86539e+07 1.0412e+09 1.08283e+09 5.00587e+08 298
6.01704e+12 1.62725e+09 8.5553e+07 1.375e+09 1.32714e+09 7.09856e+08 1.17597e+09 6.30767e+07 9.57732e+08 9.17138e+08 4.57264e+08 139
9.43079e+12 2.01787e+09 1.75219e+08 1.88124e+09 1.39237e+09 1.21363e+09 9.62956e+08 9.85834e+07 6.67578e+08 9.5755e+08 2.10314e+08 47
1.54422e+13 1.90087e+09 2.61406e+08 1.65646e+09 1.47566e+09 9.44656e+08 1.01832e+09 1.52089e+08 7.90825e+08 6.20952e+08 3.33561e+08 22
2.31365e+13 2.22214e+09 4.18867e+08 2.72187e+09 4.76928e+08 1.76414e+09 1.38849e+09 4.30161e+08 8.74274e+08 1.99194e+09 4.1701e+08 7
3.65063e+13 2.76574e+09 1.30734e+09 4.07307e+09 0 2.61467e+09 4.83309e+08 1.62757e+07 4.99584e+08 0 3.25514e+07 2
7.12353e+13 3.52815e+09 3.52815e+09 3.52815e+09 0 0 1.54178e+09 1.54178e+09 1.54178e+09 0 0 1
