#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.26027e+07 9.06944e+08 6.62403e+07 7.1696e+08 6.79528e+08 2.67414e+08 1.39572e+09 1.17295e+08 9.41735e+08 1.50235e+09 3.80897e+08 108
1.62175e+08 9.21519e+08 6.63555e+07 7.1696e+08 6.52244e+08 2.44201e+08 1.65864e+09 1.42853e+08 1.16998e+09 1.39249e+09 5.64745e+08 70
2.50023e+08 1.06203e+09 6.80019e+07 8.50454e+08 1.00756e+09 4.00908e+08 1.69671e+09 1.38562e+08 1.28215e+09 1.87775e+09 6.76918e+08 106
4.00476e+08 9.39449e+08 5.69444e+07 7.1696e+08 7.94287e+08 3.60687e+08 1.86077e+09 1.27773e+08 1.16825e+09 2.47578e+09 4.73485e+08 135
6.33576e+08 1.10892e+09 7.20592e+07 8.29125e+08 1.00302e+09 3.70956e+08 1.77647e+09 1.11845e+08 1.28215e+09 1.9983e+09 6.94121e+08 144
9.92742e+08 1.18227e+09 7.62275e+07 8.29125e+08 1.14531e+09 3.72642e+08 2.12841e+09 1.3493e+08 1.59731e+09 2.16854e+09 9.92076e+08 165
1.57942e+09 1.34709e+09 1.0373e+08 9.41735e+08 1.00841e+09 4.4952e+08 2.08738e+09 1.57586e+08 1.39649e+09 2.36936e+09 7.91253e+08 137
2.47699e+09 1.15825e+09 7.01635e+07 8.43665e+08 1.10648e+09 3.85497e+08 2.09394e+09 1.28678e+08 1.82586e+09 1.70193e+09 1.23396e+09 161
4.03336e+09 1.39291e+09 7.44196e+07 1.05478e+09 1.18559e+09 4.57346e+08 2.22527e+09 1.33623e+08 1.8521e+09 1.91375e+09 1.24687e+09 181
6.29081e+09 1.18914e+09 6.76919e+07 8.33819e+08 1.03764e+09 4.3454e+08 2.20637e+09 1.33884e+08 1.51125e+09 2.50568e+09 8.16481e+08 205
1.01023e+10 1.44216e+09 7.82018e+07 1.10606e+09 1.2633e+09 6.12116e+08 2.51e+09 1.34033e+08 2.02384e+09 2.60238e+09 1.316e+09 212
1.596e+10 1.62027e+09 8.30162e+07 1.16825e+09 1.63211e+09 6.74308e+08 2.26748e+09 1.20254e+08 1.42689e+09 3.05955e+09 7.29667e+08 262
2.52491e+10 1.83324e+09 8.55005e+07 1.28215e+09 1.78647e+09 7.82021e+08 2.22448e+09 9.73531e+07 1.51125e+09 2.68869e+09 9.00741e+08 353
4.0008e+10 1.86869e+09 8.67241e+07 1.39649e+09 1.76342e+09 7.91253e+08 2.3163e+09 1.07161e+08 1.64866e+09 2.85392e+09 1.06661e+09 321
6.25824e+10 2.36813e+09 1.22121e+08 1.62642e+09 3.06787e+09 1.02119e+09 2.12469e+09 1.05959e+08 1.49696e+09 2.391e+09 9.03183e+08 308
9.78172e+10 2.76101e+09 1.57855e+08 1.85802e+09 3.53508e+09 1.14106e+09 2.04882e+09 1.196e+08 1.50235e+09 2.05641e+09 8.07588e+08 212
1.50243e+11 3.51198e+09 2.65354e+08 2.72409e+09 3.59039e+09 1.89497e+09 1.68278e+09 1.52614e+08 1.16825e+09 1.52775e+09 6.74308e+08 105
2.41903e+11 4.36095e+09 4.62169e+08 4.04503e+09 3.92484e+09 3.2159e+09 1.40538e+09 1.42704e+08 1.07012e+09 1.3147e+09 5.74295e+08 47
3.85476e+11 6.21678e+09 1.00954e+09 7.39254e+09 3.43146e+09 6.17841e+09 1.48053e+09 3.02371e+08 1.22035e+09 1.18958e+09 7.18851e+08 12
5.39121e+11 4.33473e+09 9.33404e+08 5.26813e+09 0 1.86681e+09 5.11572e+08 2.20128e+08 7.31699e+08 0 4.40255e+08 2
8.97846e+11 1.14339e+10 1.14339e+10 1.14339e+10 0 0 7.1696e+08 7.1696e+08 7.1696e+08 0 0 1
