#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
49.2786 6.84229e+08 3.69453e+06 5.67362e+08 4.6534e+08 2.18119e+08 2.10925e+09 1.55201e+07 1.62642e+09 1.77491e+09 9.0946e+08 12720
63.6353 7.63833e+08 3.42097e+06 5.91894e+08 5.85957e+08 2.39879e+08 2.04587e+09 9.85004e+06 1.62642e+09 1.77491e+09 9.0946e+08 21239
80.5026 9.164e+08 3.51281e+06 7.0445e+08 7.58415e+08 3.42832e+08 2.32414e+09 8.71521e+06 1.85802e+09 2.15234e+09 1.02889e+09 35111
99.3239 1.09896e+09 4.3803e+06 8.28607e+08 1.00353e+09 4.56428e+08 2.50931e+09 9.49647e+06 1.97444e+09 2.40471e+09 1.14531e+09 36538
124.297 1.31407e+09 7.05495e+06 9.51484e+08 1.30312e+09 4.98457e+08 2.64727e+09 1.31744e+07 2.09125e+09 2.65883e+09 1.26213e+09 22416
155.675 1.66557e+09 1.35869e+07 1.17482e+09 1.86328e+09 6.88184e+08 2.6093e+09 1.99655e+07 1.97444e+09 2.77565e+09 1.25748e+09 10316
195.337 2.17747e+09 3.03589e+07 1.55365e+09 2.54817e+09 9.82007e+08 2.35545e+09 3.20396e+07 1.74201e+09 2.44326e+09 1.02505e+09 3643
245.432 2.90638e+09 6.82591e+07 2.30013e+09 3.09297e+09 1.58317e+09 1.96622e+09 4.83575e+07 1.46286e+09 1.93846e+09 8.5763e+08 1114
309.526 3.78982e+09 1.69209e+08 3.2109e+09 3.75449e+09 2.38769e+09 1.70821e+09 9.02876e+07 1.16825e+09 1.87146e+09 6.74308e+08 264
384.931 4.77732e+09 4.09545e+08 4.24344e+09 4.53832e+09 3.15584e+09 1.44947e+09 1.33158e+08 9.83734e+08 1.69749e+09 4.89791e+08 71
486.072 6.81414e+09 7.15722e+08 7.32182e+09 3.01324e+09 3.79931e+09 1.03082e+09 1.41799e+08 8.51001e+08 1.00702e+09 3.57059e+08 21
651.234 5.28224e+09 2.4793e+09 6.56062e+09 2.23153e+09 6.06667e+09 1.26279e+09 4.86065e+08 1.48049e+09 4.93943e+08 1.14707e+09 3
729.837 4.43368e+09 3.37184e+09 7.80552e+09 0 6.74368e+09 1.1339e+09 7.2412e+08 1.85802e+09 0 1.44824e+09 2
