#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.202435 (z=3.939857)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 9.75 - 10.25
#HM    Stats: 1.093820e+10 (median) + 5.473599e+09  / - 4.557320e+09
#SM    Stats: 1.240710e+08 (median) + 9.880190e+08  / - 9.765200e+07
#ObsSM Stats: 1.612420e+08 (median) + 2.800438e+09  / - 1.340541e+08
#VMP   Stats: 6.566000e+01 (median) + 3.742999e+01  / - 1.647001e+01
#ICL   Stats: 0.000000e+00 (median) + 7.527040e+07  / - 1.847400e+08
#SSFR  Stats: 2.209314e-12 (median) + 8.661738e-12  / - 1.110011e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5
sfh 0.075873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5
sfh 0.078123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5
sfh 0.080373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5
sfh 0.082623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5
sfh 0.085998 0 1.94415 0 #avg: 0.38883; avg_err: 0.38883; sd: 0.77766; counts: 5
sfh 0.089373 0 1.84246 0 #avg: 0.368492; avg_err: 0.368492; sd: 0.736984; counts: 5
sfh 0.092748 0 4.43516 0 #avg: 0.887032; avg_err: 0.887032; sd: 1.77406; counts: 5
sfh 0.096123 0 5.7267 0 #avg: 1.14953; avg_err: 1.1443; sd: 2.2886; counts: 5
sfh 0.099498 0.018978 5.92849 0.018978 #avg: 1.27549; avg_err: 1.17063; sd: 2.34125; counts: 5
sfh 0.102873 0.0616795 3.1228 0.0616795 #avg: 0.738874; avg_err: 0.617087; sd: 1.23417; counts: 5
sfh 0.106248 0.0918443 2.00433 0.0918443 #avg: 0.49023; avg_err: 0.40435; sd: 0.8087; counts: 5
sfh 0.109623 0.137085 1.93206 0.137085 #avg: 0.565063; avg_err: 0.385411; sd: 0.770823; counts: 5
sfh 0.112998 0.459176 0.519177 0.459176 #avg: 0.458585; avg_err: 0.186303; sd: 0.372606; counts: 5
