#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.202435 (z=3.939857)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 10.75 - 11.25
#HM    Stats: 1.355880e+11 (median) + 3.058799e+10  / - 4.466151e+10
#SM    Stats: 3.751740e+08 (median) + 6.569260e+08  / - 2.154630e+08
#ObsSM Stats: 4.329500e+08 (median) + 9.512000e+08  / - 2.832700e+08
#VMP   Stats: 1.470900e+02 (median) + 1.175000e+01  / - 1.550999e+01
#ICL   Stats: 2.641590e+06 (median) + 1.881961e+07  / - 2.641590e+06
#SSFR  Stats: 1.752224e-12 (median) + 1.520054e-12  / - 9.448747e-13
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 51
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 51
sfh 0.062373 0 0 0 #avg: 0.00228565; avg_err: 0.00228565; sd: 0.016162; counts: 51
sfh 0.064623 0 0 0 #avg: 0.010916; avg_err: 0.00941698; sd: 0.0665881; counts: 51
sfh 0.066873 0 0 0 #avg: 0.0246398; avg_err: 0.0203434; sd: 0.14385; counts: 51
sfh 0.069123 0 0 0 #avg: 0.0600259; avg_err: 0.0418253; sd: 0.29575; counts: 51
sfh 0.071373 0 0 0 #avg: 0.0553084; avg_err: 0.0345157; sd: 0.244063; counts: 51
sfh 0.073623 0 0 0 #avg: 0.0766549; avg_err: 0.0444535; sd: 0.314334; counts: 51
sfh 0.075873 0 0 0 #avg: 0.120054; avg_err: 0.0572417; sd: 0.40476; counts: 51
sfh 0.078123 0 0.00504226 0 #avg: 0.083077; avg_err: 0.0381562; sd: 0.269805; counts: 51
sfh 0.080373 0 0.00948252 0 #avg: 0.0744262; avg_err: 0.035539; sd: 0.251299; counts: 51
sfh 0.082623 0 0.0315778 0 #avg: 0.0963999; avg_err: 0.0400749; sd: 0.283372; counts: 51
sfh 0.085998 0 0.158513 0 #avg: 0.114408; avg_err: 0.0481582; sd: 0.34053; counts: 51
sfh 0.089373 3.53119e-07 0.197563 3.53119e-07 #avg: 0.313245; avg_err: 0.227235; sd: 1.60679; counts: 51
sfh 0.092748 0.0202557 0.220853 0.0202557 #avg: 0.226352; avg_err: 0.121593; sd: 0.859793; counts: 51
sfh 0.096123 0.0507696 0.317969 0.0459189 #avg: 0.226249; avg_err: 0.0758598; sd: 0.53641; counts: 51
sfh 0.099498 0.0935222 0.574525 0.0856288 #avg: 0.378902; avg_err: 0.106703; sd: 0.754501; counts: 51
sfh 0.102873 0.102532 0.831682 0.0799005 #avg: 0.423466; avg_err: 0.108118; sd: 0.764511; counts: 51
sfh 0.106248 0.125788 0.928582 0.10521 #avg: 0.524336; avg_err: 0.127875; sd: 0.904211; counts: 51
sfh 0.109623 0.117945 1.13087 0.0867748 #avg: 0.626299; avg_err: 0.146653; sd: 1.03699; counts: 51
sfh 0.112998 0.152098 1.24265 0.104057 #avg: 0.770824; avg_err: 0.212846; sd: 1.50505; counts: 51
sfh 0.116373 0.154733 1.07149 0.116296 #avg: 0.732329; avg_err: 0.178677; sd: 1.26344; counts: 51
sfh 0.119748 0.20254 1.35694 0.143227 #avg: 0.864141; avg_err: 0.198721; sd: 1.40517; counts: 51
