#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.202435 (z=3.939857)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 12.25 - 12.75
#HM    Stats: 2.201470e+12 (median) + 9.220598e+11  / - 3.235301e+11
#SM    Stats: 3.606360e+10 (median) + 2.529980e+10  / - 1.629490e+10
#ObsSM Stats: 3.828720e+10 (median) + 3.654880e+10  / - 2.692480e+10
#VMP   Stats: 3.580900e+02 (median) + 4.398001e+01  / - 3.144000e+01
#ICL   Stats: 1.263960e+08 (median) + 3.564050e+08  / - 9.722760e+07
#SSFR  Stats: 3.311780e-09 (median) + 4.741241e-09  / - 2.641058e-09
sfh 0.055623 0 0 0 #avg: 9.44565e-12; avg_err: 9.44565e-12; sd: 7.25534e-11; counts: 60
sfh 0.060123 0 0 0 #avg: 0.00365988; avg_err: 0.00278262; sd: 0.0213737; counts: 60
sfh 0.062373 0 0.000449889 0 #avg: 0.0134961; avg_err: 0.0056972; sd: 0.043761; counts: 60
sfh 0.064623 0 0.0523443 0 #avg: 0.039951; avg_err: 0.014787; sd: 0.113581; counts: 60
sfh 0.066873 0 0.0977884 0 #avg: 0.0820948; avg_err: 0.0266983; sd: 0.205074; counts: 60
sfh 0.069123 0 0.178267 0 #avg: 0.22267; avg_err: 0.0772624; sd: 0.593464; counts: 60
sfh 0.071373 0 0.435061 0 #avg: 0.267742; avg_err: 0.0811826; sd: 0.623575; counts: 60
sfh 0.073623 0.00791137 0.707883 0.00791137 #avg: 0.35712; avg_err: 0.0928277; sd: 0.713023; counts: 60
sfh 0.075873 0.0339053 1.11119 0.0339053 #avg: 0.547783; avg_err: 0.145089; sd: 1.11445; counts: 60
sfh 0.078123 0.0577603 1.60702 0.0577603 #avg: 0.909591; avg_err: 0.279164; sd: 2.1443; counts: 60
sfh 0.080373 0.0838383 1.61659 0.0838383 #avg: 1.09578; avg_err: 0.320889; sd: 2.46479; counts: 60
sfh 0.082623 0.090353 1.44131 0.090353 #avg: 1.32369; avg_err: 0.446244; sd: 3.42766; counts: 60
sfh 0.085998 0.229731 2.14135 0.229731 #avg: 1.3302; avg_err: 0.367477; sd: 2.82264; counts: 60
sfh 0.089373 0.441575 3.3658 0.434846 #avg: 2.04058; avg_err: 0.584172; sd: 4.48711; counts: 60
sfh 0.092748 0.629263 4.83507 0.593545 #avg: 2.59929; avg_err: 0.598612; sd: 4.59803; counts: 60
sfh 0.096123 0.78314 7.58213 0.696363 #avg: 3.6542; avg_err: 0.828686; sd: 6.36526; counts: 60
sfh 0.099498 1.44741 9.59819 1.35804 #avg: 4.42404; avg_err: 1.02511; sd: 7.87404; counts: 60
