#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.202435 (z=3.939857)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 12.75 - 13.25
#HM    Stats: 6.425000e+12 (median) + 1.629410e+12  / - 6.426502e+11
#SM    Stats: 6.983470e+10 (median) + 3.503830e+10  / - 2.472240e+10
#ObsSM Stats: 6.637630e+10 (median) + 1.094057e+11  / - 3.246920e+10
#VMP   Stats: 5.095200e+02 (median) + 5.836002e+01  / - 2.781000e+01
#ICL   Stats: 8.857870e+08 (median) + 2.024643e+09  / - 5.848240e+08
#SSFR  Stats: 1.029990e-09 (median) + 1.536422e-09  / - 7.548515e-10
sfh 0.055623 0 0 0 #avg: 5.91188e-07; avg_err: 5.91188e-07; sd: 3.739e-06; counts: 41
sfh 0.060123 0 0 0 #avg: 0.00725531; avg_err: 0.00343947; sd: 0.0217531; counts: 41
sfh 0.062373 0 0 0 #avg: 0.0178212; avg_err: 0.00865894; sd: 0.0547639; counts: 41
sfh 0.064623 0 0.0320883 0 #avg: 0.0355499; avg_err: 0.014553; sd: 0.0920414; counts: 41
sfh 0.066873 5.60337e-08 0.416268 5.60337e-08 #avg: 0.137128; avg_err: 0.0443107; sd: 0.280246; counts: 41
sfh 0.069123 0.0197383 0.699082 0.0197383 #avg: 0.308556; avg_err: 0.0952029; sd: 0.602116; counts: 41
sfh 0.071373 0.0604957 1.1715 0.0604957 #avg: 0.747931; avg_err: 0.262975; sd: 1.6632; counts: 41
sfh 0.073623 0.0919101 2.09854 0.0919101 #avg: 0.820854; avg_err: 0.229532; sd: 1.45169; counts: 41
sfh 0.075873 0.149412 1.58683 0.149412 #avg: 0.674382; avg_err: 0.175769; sd: 1.11166; counts: 41
sfh 0.078123 0.207522 1.98596 0.207522 #avg: 1.16614; avg_err: 0.310597; sd: 1.96439; counts: 41
sfh 0.080373 0.308042 2.77757 0.303488 #avg: 1.55238; avg_err: 0.487276; sd: 3.0818; counts: 41
sfh 0.082623 0.552268 1.57061 0.511518 #avg: 1.56388; avg_err: 0.572214; sd: 3.619; counts: 41
sfh 0.085998 0.902217 3.73508 0.769673 #avg: 2.14834; avg_err: 0.519355; sd: 3.28469; counts: 41
sfh 0.089373 1.24663 4.26401 1.07052 #avg: 3.06646; avg_err: 0.663281; sd: 4.19496; counts: 41
sfh 0.092748 2.16434 6.37721 1.79021 #avg: 5.03122; avg_err: 1.21688; sd: 7.69623; counts: 41
sfh 0.096123 2.51068 6.54536 1.9755 #avg: 6.76087; avg_err: 2.4588; sd: 15.5508; counts: 41
sfh 0.099498 3.73994 7.77746 3.04893 #avg: 8.10465; avg_err: 2.90247; sd: 18.3568; counts: 41
sfh 0.102873 4.0329 13.8674 3.04188 #avg: 9.59148; avg_err: 2.88231; sd: 18.2293; counts: 41
sfh 0.106248 6.11712 11.6504 5.02061 #avg: 9.69704; avg_err: 1.92938; sd: 12.2025; counts: 41
sfh 0.109623 8.85314 19.5498 7.77513 #avg: 14.0969; avg_err: 2.32379; sd: 14.697; counts: 41
sfh 0.112998 11.6922 13.5905 9.14248 #avg: 16.4482; avg_err: 2.68627; sd: 16.9894; counts: 41
sfh 0.116373 9.31742 21.9412 6.27362 #avg: 17.7879; avg_err: 3.74689; sd: 23.6974; counts: 41
sfh 0.119748 14.9879 26.1987 12.4968 #avg: 21.0258; avg_err: 3.41699; sd: 21.6109; counts: 41
sfh 0.123123 20.0549 37.7847 17.0361 #avg: 30.6449; avg_err: 5.32823; sd: 33.6987; counts: 41
sfh 0.126498 26.9771 50.2601 21.6554 #avg: 41.5455; avg_err: 6.74682; sd: 42.6707; counts: 41
sfh 0.129873 29.1217 79.4003 21.0093 #avg: 57.1048; avg_err: 11.2086; sd: 70.8892; counts: 41
sfh 0.133248 44.0871 42.9409 36.7632 #avg: 64.9083; avg_err: 12.3759; sd: 78.2721; counts: 41
sfh 0.136623 48.2584 44.6912 36.1964 #avg: 60.7259; avg_err: 8.18105; sd: 51.7415; counts: 41
sfh 0.141685 45.1317 74.7313 31.3479 #avg: 76.8422; avg_err: 16.6466; sd: 105.283; counts: 41
sfh 0.146748 62.1175 57.9255 46.6104 #avg: 73.2675; avg_err: 9.13747; sd: 57.7904; counts: 41
sfh 0.15181 69.0574 93.3396 43.0952 #avg: 98.3055; avg_err: 18.1242; sd: 114.627; counts: 41
sfh 0.156873 97.0592 89.4608 82.5189 #avg: 109.278; avg_err: 14.4966; sd: 91.6844; counts: 41
sfh 0.161935 108.081 125.218 71.1006 #avg: 140.285; avg_err: 19.9833; sd: 126.386; counts: 41
sfh 0.166998 133.337 162.23 72.0335 #avg: 208.495; avg_err: 50.9724; sd: 322.378; counts: 41
sfh 0.17206 164.588 181.76 91.8525 #avg: 236.344; avg_err: 50.1914; sd: 317.438; counts: 41
sfh 0.177123 122.955 172.259 53.358 #avg: 172.65; avg_err: 23.8849; sd: 151.061; counts: 41
sfh 0.182185 112.616 107.903 111.898 #avg: 130.488; avg_err: 18.3095; sd: 115.8; counts: 41
sfh 0.187248 110.815 79.492 110.427 #avg: 119.459; avg_err: 14.5151; sd: 91.8015; counts: 41
