#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.202435 (z=3.939857)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#obs_sm range: 9.75 - 10.25
#HM    Stats: 6.920590e+11 (median) + 6.119111e+11  / - 2.657350e+11
#SM    Stats: 8.185340e+09 (median) + 9.068560e+09  / - 4.646320e+09
#ObsSM Stats: 9.381090e+09 (median) + 4.408209e+09  / - 2.973230e+09
#VMP   Stats: 2.566600e+02 (median) + 5.354999e+01  / - 3.405000e+01
#ICL   Stats: 4.061500e+07 (median) + 2.241340e+08  / - 3.740462e+07
#SSFR  Stats: 1.228114e-12 (median) + 2.501899e-12  / - 8.513958e-13
sfh 0.055623 0 0 0 #avg: 1.54703e-08; avg_err: 1.54703e-08; sd: 1.34867e-07; counts: 77
sfh 0.060123 0 0 0 #avg: 0.00216121; avg_err: 0.00106795; sd: 0.00931016; counts: 77
sfh 0.062373 0 0 0 #avg: 0.00764633; avg_err: 0.00468171; sd: 0.0408142; counts: 77
sfh 0.064623 0 0 0 #avg: 0.0130251; avg_err: 0.00646447; sd: 0.0563559; counts: 77
sfh 0.066873 0 0.010759 0 #avg: 0.0447551; avg_err: 0.0153071; sd: 0.133444; counts: 77
sfh 0.069123 0 0.0294287 0 #avg: 0.114152; avg_err: 0.0490317; sd: 0.427448; counts: 77
sfh 0.071373 0 0.114632 0 #avg: 0.211231; avg_err: 0.0934159; sd: 0.814381; counts: 77
sfh 0.073623 0 0.120117 0 #avg: 0.213729; avg_err: 0.0788947; sd: 0.687788; counts: 77
sfh 0.075873 0.0158847 0.238216 0.0158847 #avg: 0.49011; avg_err: 0.232831; sd: 2.02977; counts: 77
sfh 0.078123 0.050728 0.484751 0.050728 #avg: 0.427949; avg_err: 0.11853; sd: 1.03332; counts: 77
sfh 0.080373 0.0652239 0.867422 0.0652239 #avg: 0.664059; avg_err: 0.238439; sd: 2.07866; counts: 77
sfh 0.082623 0.10773 1.1035 0.10773 #avg: 0.801302; avg_err: 0.226778; sd: 1.977; counts: 77
sfh 0.085998 0.293524 0.974586 0.293499 #avg: 1.11643; avg_err: 0.332755; sd: 2.90089; counts: 77
sfh 0.089373 0.378507 1.27616 0.3356 #avg: 1.46384; avg_err: 0.426055; sd: 3.71426; counts: 77
sfh 0.092748 0.436878 1.46578 0.355677 #avg: 1.91348; avg_err: 0.824074; sd: 7.18411; counts: 77
sfh 0.096123 0.59908 1.88688 0.506772 #avg: 1.99047; avg_err: 0.700549; sd: 6.10724; counts: 77
sfh 0.099498 0.576109 1.6079 0.493097 #avg: 2.43408; avg_err: 0.768874; sd: 6.70288; counts: 77
sfh 0.102873 0.94235 2.3449 0.814626 #avg: 3.7873; avg_err: 1.45814; sd: 12.7118; counts: 77
sfh 0.106248 1.07549 3.45359 0.805629 #avg: 3.30536; avg_err: 0.824479; sd: 7.18764; counts: 77
sfh 0.109623 1.49676 3.54092 1.15275 #avg: 4.67463; avg_err: 1.48053; sd: 12.9069; counts: 77
sfh 0.112998 2.21227 5.20034 1.80524 #avg: 4.0415; avg_err: 0.630727; sd: 5.49855; counts: 77
sfh 0.116373 2.65648 6.52082 2.09541 #avg: 5.90514; avg_err: 1.13149; sd: 9.86407; counts: 77
sfh 0.119748 3.65033 8.31497 2.90427 #avg: 7.07588; avg_err: 1.11116; sd: 9.68686; counts: 77
sfh 0.123123 4.92797 8.93543 3.99702 #avg: 9.03511; avg_err: 1.43697; sd: 12.5272; counts: 77
sfh 0.126498 5.40393 14.3593 4.56608 #avg: 9.04217; avg_err: 1.25319; sd: 10.9251; counts: 77
sfh 0.129873 4.90206 13.5819 3.97983 #avg: 9.84973; avg_err: 1.40548; sd: 12.2527; counts: 77
sfh 0.133248 6.2456 14.1897 5.24028 #avg: 11.0958; avg_err: 1.69831; sd: 14.8056; counts: 77
sfh 0.136623 6.69193 16.6997 5.6821 #avg: 12.6826; avg_err: 1.95953; sd: 17.0828; counts: 77
sfh 0.141685 9.31487 20.4118 7.6155 #avg: 17.5476; avg_err: 3.00389; sd: 26.1873; counts: 77
sfh 0.146748 10.4047 21.2056 8.77702 #avg: 19.273; avg_err: 2.73662; sd: 23.8573; counts: 77
sfh 0.15181 12.7966 24.5285 10.054 #avg: 19.6667; avg_err: 2.51087; sd: 21.8893; counts: 77
sfh 0.156873 11.4127 18.7951 8.54258 #avg: 19.8203; avg_err: 2.97748; sd: 25.9571; counts: 77
sfh 0.161935 11.8986 25.5906 8.48736 #avg: 21.9866; avg_err: 3.02637; sd: 26.3833; counts: 77
sfh 0.166998 15.2325 27.3744 11.5911 #avg: 23.0648; avg_err: 2.83643; sd: 24.7274; counts: 77
sfh 0.17206 13.7829 19.8036 9.68375 #avg: 21.8656; avg_err: 2.67924; sd: 23.3571; counts: 77
sfh 0.177123 11.2708 20.2053 7.5304 #avg: 18.2436; avg_err: 2.47016; sd: 21.5344; counts: 77
sfh 0.182185 8.99499 14.426 8.63847 #avg: 14.6589; avg_err: 2.35647; sd: 20.5432; counts: 77
sfh 0.187248 7.72185 11.2007 7.6507 #avg: 12.939; avg_err: 2.41841; sd: 21.0833; counts: 77
sfh 0.19231 3.81769 15.419 3.80611 #avg: 9.3853; avg_err: 1.5741; sd: 13.7227; counts: 77
sfh 0.197373 1.20948 10.6912 1.20457 #avg: 5.23024; avg_err: 1.05111; sd: 9.1634; counts: 77
sfh 0.202435 0.00986299 0.0256483 0.0064565 #avg: 0.0177501; avg_err: 0.0023296; sd: 0.020309; counts: 77
iclh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 77
iclh 0.060123 0 0 0 #avg: 8.19462e-05; avg_err: 8.19328e-05; sd: 0.000714274; counts: 77
iclh 0.062373 0 0 0 #avg: 5.54529e-05; avg_err: 5.54133e-05; sd: 0.000483082; counts: 77
iclh 0.064623 0 0 0 #avg: 0.00408558; avg_err: 0.00333821; sd: 0.0291018; counts: 77
iclh 0.066873 0 0 0 #avg: 0.00363768; avg_err: 0.00211048; sd: 0.0183987; counts: 77
iclh 0.069123 0 0 0 #avg: 0.0273153; avg_err: 0.0189168; sd: 0.164913; counts: 77
iclh 0.071373 0 0.00448274 0 #avg: 0.0174943; avg_err: 0.00922699; sd: 0.080439; counts: 77
iclh 0.073623 0 0.02174 0 #avg: 0.0226725; avg_err: 0.00884269; sd: 0.0770888; counts: 77
iclh 0.075873 0 0.0485908 0 #avg: 0.0312835; avg_err: 0.0109744; sd: 0.0956729; counts: 77
iclh 0.078123 0 0.136798 0 #avg: 0.0561038; avg_err: 0.0161849; sd: 0.141097; counts: 77
iclh 0.080373 0 0.110262 0 #avg: 0.0892936; avg_err: 0.0248039; sd: 0.216235; counts: 77
iclh 0.082623 0.00270628 0.18381 0.00270628 #avg: 0.0835671; avg_err: 0.0205117; sd: 0.178817; counts: 77
iclh 0.085998 0.0110479 0.229401 0.0110479 #avg: 0.105321; avg_err: 0.0230123; sd: 0.200617; counts: 77
iclh 0.089373 0.0255798 0.194713 0.0255798 #avg: 0.129924; avg_err: 0.039492; sd: 0.344283; counts: 77
iclh 0.092748 0.0373547 0.252581 0.0373547 #avg: 0.169337; avg_err: 0.0656525; sd: 0.572346; counts: 77
iclh 0.096123 0.0418757 0.290181 0.0418757 #avg: 0.176357; avg_err: 0.034148; sd: 0.297695; counts: 77
iclh 0.099498 0.0633711 0.382312 0.0633711 #avg: 0.227063; avg_err: 0.0537057; sd: 0.468196; counts: 77
iclh 0.102873 0.0902653 0.574892 0.0902653 #avg: 0.267565; avg_err: 0.0504307; sd: 0.439645; counts: 77
iclh 0.106248 0.0845917 0.457893 0.0825038 #avg: 0.25682; avg_err: 0.0431722; sd: 0.376366; counts: 77
iclh 0.109623 0.113321 0.496155 0.112001 #avg: 0.270531; avg_err: 0.0529038; sd: 0.461204; counts: 77
iclh 0.112998 0.116209 0.414727 0.114226 #avg: 0.28826; avg_err: 0.0636742; sd: 0.555099; counts: 77
iclh 0.116373 0.108951 0.41044 0.107265 #avg: 0.30671; avg_err: 0.0757352; sd: 0.660244; counts: 77
iclh 0.119748 0.0910843 0.585845 0.0897726 #avg: 0.446597; avg_err: 0.168747; sd: 1.47111; counts: 77
iclh 0.123123 0.111913 0.535755 0.109758 #avg: 0.387527; avg_err: 0.0944069; sd: 0.82302; counts: 77
iclh 0.126498 0.0999421 0.502623 0.0998802 #avg: 0.337186; avg_err: 0.0667672; sd: 0.582063; counts: 77
iclh 0.129873 0.101143 0.40826 0.101143 #avg: 0.339304; avg_err: 0.0776598; sd: 0.677023; counts: 77
iclh 0.133248 0.0608888 0.461133 0.0608888 #avg: 0.309151; avg_err: 0.0883315; sd: 0.770056; counts: 77
iclh 0.136623 0.0644449 0.298398 0.0644449 #avg: 0.277342; avg_err: 0.0872776; sd: 0.760868; counts: 77
iclh 0.141685 0.0415885 0.299137 0.0415885 #avg: 0.432151; avg_err: 0.2508; sd: 2.18642; counts: 77
iclh 0.146748 0.0323503 0.210721 0.0323503 #avg: 0.35208; avg_err: 0.198112; sd: 1.7271; counts: 77
iclh 0.15181 0.036797 0.204087 0.036797 #avg: 0.213476; avg_err: 0.0878651; sd: 0.76599; counts: 77
iclh 0.156873 0.0176111 0.198421 0.0176111 #avg: 0.190444; avg_err: 0.0680869; sd: 0.593568; counts: 77
iclh 0.161935 0.00474629 0.168602 0.00474629 #avg: 0.150952; avg_err: 0.0490848; sd: 0.427911; counts: 77
iclh 0.166998 0.00548926 0.145806 0.00548926 #avg: 0.102695; avg_err: 0.0330835; sd: 0.288415; counts: 77
iclh 0.17206 0.000348208 0.143749 0.000348208 #avg: 0.10447; avg_err: 0.0424252; sd: 0.369854; counts: 77
iclh 0.177123 0 0.0541983 0 #avg: 0.0545696; avg_err: 0.018322; sd: 0.159728; counts: 77
iclh 0.182185 0 0.036041 0 #avg: 0.0296793; avg_err: 0.00934577; sd: 0.0814745; counts: 77
iclh 0.187248 0 0.00878433 0 #avg: 0.0140403; avg_err: 0.00475303; sd: 0.041436; counts: 77
iclh 0.19231 0 0.0147528 0 #avg: 0.0125827; avg_err: 0.00552707; sd: 0.0481838; counts: 77
iclh 0.197373 0 0 0 #avg: 0.00658894; avg_err: 0.00367489; sd: 0.032037; counts: 77
iclh 0.202435 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 77
sm_mp 0.055623 0 0 0 #avg: 2.78518; avg_err: 2.78518; sd: 24.2807; counts: 77
sm_mp 0.060123 0 0 0 #avg: 17146.3; avg_err: 10589.9; sd: 92320.5; counts: 77
sm_mp 0.062373 0 0 0 #avg: 59500.4; avg_err: 35792.5; sd: 312032; counts: 77
sm_mp 0.064623 0 0 0 #avg: 141828; avg_err: 93468.7; sd: 814842; counts: 77
sm_mp 0.066873 0 0 0 #avg: 334673; avg_err: 164724; sd: 1.43603e+06; counts: 77
sm_mp 0.069123 0 175040 0 #avg: 992860; avg_err: 455365; sd: 3.96978e+06; counts: 77
sm_mp 0.071373 0 706685 0 #avg: 2.62754e+06; avg_err: 1.30037e+06; sd: 1.13363e+07; counts: 77
sm_mp 0.073623 0 1.74465e+06 0 #avg: 4.68061e+06; avg_err: 2.2539e+06; sd: 1.96491e+07; counts: 77
sm_mp 0.075873 0 5.15882e+06 0 #avg: 8.68826e+06; avg_err: 4.14884e+06; sd: 3.61688e+07; counts: 77
sm_mp 0.078123 346001 8.78492e+06 346001 #avg: 1.39664e+07; avg_err: 6.2065e+06; sd: 5.4107e+07; counts: 77
sm_mp 0.080373 1.24515e+06 1.60992e+07 1.24515e+06 #avg: 2.0349e+07; avg_err: 7.38008e+06; sd: 6.4338e+07; counts: 77
sm_mp 0.082623 2.18698e+06 2.93214e+07 2.18698e+06 #avg: 2.95274e+07; avg_err: 9.43515e+06; sd: 8.22537e+07; counts: 77
sm_mp 0.085998 7.60929e+06 4.3291e+07 7.60929e+06 #avg: 4.84074e+07; avg_err: 1.42493e+07; sd: 1.24223e+08; counts: 77
sm_mp 0.089373 1.29542e+07 6.21603e+07 1.29542e+07 #avg: 7.42902e+07; avg_err: 2.05775e+07; sd: 1.7939e+08; counts: 77
sm_mp 0.092748 2.3242e+07 8.0023e+07 2.26062e+07 #avg: 1.0889e+08; avg_err: 3.18365e+07; sd: 2.77544e+08; counts: 77
sm_mp 0.096123 3.21444e+07 1.11897e+08 2.99065e+07 #avg: 1.48779e+08; avg_err: 4.68742e+07; sd: 4.0864e+08; counts: 77
sm_mp 0.099498 4.78499e+07 1.62301e+08 4.21616e+07 #avg: 1.94753e+08; avg_err: 6.04806e+07; sd: 5.27258e+08; counts: 77
sm_mp 0.102873 6.16857e+07 2.05839e+08 4.97711e+07 #avg: 2.6183e+08; avg_err: 7.73741e+07; sd: 6.74532e+08; counts: 77
sm_mp 0.106248 7.26856e+07 2.97933e+08 5.59178e+07 #avg: 3.37373e+08; avg_err: 9.56448e+07; sd: 8.33812e+08; counts: 77
sm_mp 0.109623 1.08138e+08 4.99179e+08 8.27169e+07 #avg: 4.25084e+08; avg_err: 1.14065e+08; sd: 9.94396e+08; counts: 77
sm_mp 0.112998 1.53472e+08 5.44969e+08 1.1165e+08 #avg: 5.20196e+08; avg_err: 1.30209e+08; sd: 1.13514e+09; counts: 77
sm_mp 0.116373 2.24674e+08 6.60962e+08 1.51072e+08 #avg: 6.32177e+08; avg_err: 1.43242e+08; sd: 1.24876e+09; counts: 77
sm_mp 0.119748 3.73665e+08 1.03666e+09 2.80606e+08 #avg: 7.82908e+08; avg_err: 1.60076e+08; sd: 1.39551e+09; counts: 77
sm_mp 0.123123 4.91236e+08 1.07915e+09 3.75157e+08 #avg: 9.75679e+08; avg_err: 1.79665e+08; sd: 1.56628e+09; counts: 77
sm_mp 0.126498 6.20032e+08 1.39944e+09 4.79809e+08 #avg: 1.19026e+09; avg_err: 1.98391e+08; sd: 1.72953e+09; counts: 77
sm_mp 0.129873 7.95764e+08 1.72392e+09 6.29578e+08 #avg: 1.41811e+09; avg_err: 2.1334e+08; sd: 1.85986e+09; counts: 77
sm_mp 0.133248 1.03051e+09 2.34342e+09 8.43524e+08 #avg: 1.67298e+09; avg_err: 2.29333e+08; sd: 1.99928e+09; counts: 77
sm_mp 0.136623 1.19271e+09 2.50074e+09 9.78668e+08 #avg: 1.96766e+09; avg_err: 2.51874e+08; sd: 2.19578e+09; counts: 77
sm_mp 0.141685 1.61876e+09 3.23402e+09 1.29611e+09 #avg: 2.54476e+09; avg_err: 3.09009e+08; sd: 2.69388e+09; counts: 77
sm_mp 0.146748 2.28702e+09 3.8714e+09 1.74487e+09 #avg: 3.25266e+09; avg_err: 3.85838e+08; sd: 3.36365e+09; counts: 77
sm_mp 0.15181 2.94541e+09 4.60461e+09 2.25719e+09 #avg: 4.00274e+09; avg_err: 4.55783e+08; sd: 3.97343e+09; counts: 77
sm_mp 0.156873 3.6679e+09 5.50106e+09 2.76849e+09 #avg: 4.75685e+09; avg_err: 5.2048e+08; sd: 4.53744e+09; counts: 77
sm_mp 0.161935 4.53137e+09 5.34501e+09 3.13313e+09 #avg: 5.56665e+09; avg_err: 5.88813e+08; sd: 5.13316e+09; counts: 77
sm_mp 0.166998 5.28123e+09 5.34857e+09 3.56119e+09 #avg: 6.4517e+09; avg_err: 6.53128e+08; sd: 5.69384e+09; counts: 77
sm_mp 0.17206 5.60714e+09 6.49926e+09 3.41388e+09 #avg: 7.32946e+09; avg_err: 7.03152e+08; sd: 6.12994e+09; counts: 77
sm_mp 0.177123 5.90887e+09 7.18093e+09 3.14694e+09 #avg: 8.09701e+09; avg_err: 7.32267e+08; sd: 6.38376e+09; counts: 77
sm_mp 0.182185 6.53492e+09 9.68208e+09 3.48463e+09 #avg: 8.7131e+09; avg_err: 7.45927e+08; sd: 6.50284e+09; counts: 77
sm_mp 0.187248 7.01494e+09 1.05482e+10 3.57505e+09 #avg: 9.20978e+09; avg_err: 7.64162e+08; sd: 6.66181e+09; counts: 77
sm_mp 0.19231 7.23952e+09 1.02663e+10 3.6423e+09 #avg: 9.5908e+09; avg_err: 7.87843e+08; sd: 6.86826e+09; counts: 77
sm_mp 0.197373 8.07725e+09 9.32125e+09 4.51174e+09 #avg: 9.80575e+09; avg_err: 8.01292e+08; sd: 6.9855e+09; counts: 77
sm_mp 0.202435 8.18534e+09 9.06856e+09 4.64632e+09 #avg: 9.80025e+09; avg_err: 7.99802e+08; sd: 6.97252e+09; counts: 77
icl_mp 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 77
icl_mp 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 77
icl_mp 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 77
icl_mp 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 77
