#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.202435 (z=3.939857)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#obs_sm range: 9.75 - 10.25
#HM    Stats: 4.452940e+11 (median) + 3.792650e+11  / - 2.044120e+11
#SM    Stats: 5.154870e+09 (median) + 6.010931e+09  / - 2.646810e+09
#ObsSM Stats: 8.356450e+09 (median) + 4.714650e+09  / - 2.059950e+09
#VMP   Stats: 2.180500e+02 (median) + 4.617000e+01  / - 3.429001e+01
#ICL   Stats: 1.931490e+07 (median) + 8.096010e+07  / - 1.840046e+07
#SSFR  Stats: 9.054315e-10 (median) + 2.213056e-09  / - 6.323866e-10
sfh 0.055623 0 0 0 #avg: 1.21571e-08; avg_err: 1.2101e-08; sd: 4.63645e-07; counts: 1469
sfh 0.060123 0 0 0 #avg: 0.000990838; avg_err: 0.000273943; sd: 0.010496; counts: 1469
sfh 0.062373 0 0 0 #avg: 0.00599162; avg_err: 0.00125174; sd: 0.0479597; counts: 1469
sfh 0.064623 0 0 0 #avg: 0.0147764; avg_err: 0.00226926; sd: 0.0869456; counts: 1469
sfh 0.066873 0 0 0 #avg: 0.0352504; avg_err: 0.00474969; sd: 0.181982; counts: 1469
sfh 0.069123 0 0.0127751 0 #avg: 0.0685435; avg_err: 0.00810752; sd: 0.310635; counts: 1469
sfh 0.071373 0 0.0590596 0 #avg: 0.0970556; avg_err: 0.0102456; sd: 0.392554; counts: 1469
sfh 0.073623 0 0.128826 0 #avg: 0.131017; avg_err: 0.0127633; sd: 0.48902; counts: 1469
sfh 0.075873 0 0.236723 0 #avg: 0.205737; avg_err: 0.0222273; sd: 0.851626; counts: 1469
sfh 0.078123 0.00170317 0.306846 0.00170317 #avg: 0.293513; avg_err: 0.0293584; sd: 1.12485; counts: 1469
sfh 0.080373 0.0142631 0.405908 0.0142631 #avg: 0.324597; avg_err: 0.02698; sd: 1.03372; counts: 1469
sfh 0.082623 0.0440613 0.461752 0.0440613 #avg: 0.338081; avg_err: 0.0263659; sd: 1.0102; counts: 1469
sfh 0.085998 0.0817186 0.673405 0.0817186 #avg: 0.483152; avg_err: 0.0360582; sd: 1.38155; counts: 1469
sfh 0.089373 0.149679 0.857451 0.149679 #avg: 0.641817; avg_err: 0.0443894; sd: 1.70076; counts: 1469
sfh 0.092748 0.203602 1.01782 0.196141 #avg: 0.794797; avg_err: 0.0513873; sd: 1.96888; counts: 1469
sfh 0.096123 0.278609 1.26748 0.258321 #avg: 0.970975; avg_err: 0.0589041; sd: 2.25688; counts: 1469
