#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.202435 (z=3.939857)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 9.25 - 9.75
#HM    Stats: 4.150000e+11 (median) + 1.911760e+11  / - 1.322060e+11
#SM    Stats: 2.743690e+09 (median) + 1.517020e+09  / - 7.354700e+08
#ObsSM Stats: 2.735560e+09 (median) + 3.131940e+09  / - 1.465010e+09
#VMP   Stats: 2.002000e+02 (median) + 2.694000e+01  / - 2.225000e+01
#ICL   Stats: 2.503520e+07 (median) + 6.197610e+07  / - 2.049572e+07
#SSFR  Stats: 2.128571e-09 (median) + 4.384843e-09  / - 1.450341e-09
sfh 0.055623 0 0 0 #avg: 2.46414e-08; avg_err: 2.41615e-08; sd: 4.1649e-06; counts: 29715
sfh 0.060123 0 0 0 #avg: 0.000241889; avg_err: 2.70519e-05; sd: 0.00466313; counts: 29715
sfh 0.062373 0 0 0 #avg: 0.00172255; avg_err: 0.000124306; sd: 0.0214275; counts: 29715
sfh 0.064623 0 0 0 #avg: 0.00543251; avg_err: 0.000279969; sd: 0.0482603; counts: 29715
sfh 0.066873 0 0 0 #avg: 0.0141045; avg_err: 0.000576628; sd: 0.0993977; counts: 29715
sfh 0.069123 0 0 0 #avg: 0.0304719; avg_err: 0.00107945; sd: 0.186073; counts: 29715
sfh 0.071373 0 0.00725119 0 #avg: 0.0484126; avg_err: 0.00142206; sd: 0.245131; counts: 29715
sfh 0.073623 0 0.0389775 0 #avg: 0.0743642; avg_err: 0.00210514; sd: 0.362878; counts: 29715
sfh 0.075873 0 0.0878539 0 #avg: 0.103748; avg_err: 0.00272736; sd: 0.470136; counts: 29715
sfh 0.078123 0 0.154151 0 #avg: 0.135856; avg_err: 0.00329055; sd: 0.567216; counts: 29715
sfh 0.080373 0.000817983 0.225808 0.000817983 #avg: 0.165617; avg_err: 0.00390312; sd: 0.672811; counts: 29715
sfh 0.082623 0.0122694 0.262826 0.0122694 #avg: 0.18504; avg_err: 0.00357326; sd: 0.615949; counts: 29715
