#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.202435 (z=3.939857)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 9.25 - 9.75
#HM    Stats: 6.522060e+11 (median) + 3.195590e+11  / - 2.607350e+11
#SM    Stats: 3.335670e+09 (median) + 1.431220e+09  / - 1.183320e+09
#ObsSM Stats: 3.253810e+09 (median) + 3.942810e+09  / - 1.809750e+09
#VMP   Stats: 2.352200e+02 (median) + 3.282001e+01  / - 3.062000e+01
#ICL   Stats: 4.940950e+07 (median) + 1.166325e+08  / - 3.944455e+07
#SSFR  Stats: 1.585786e-12 (median) + 3.773811e-12  / - 1.089978e-12
sfh 0.055623 0 0 0 #avg: 3.99941e-18; avg_err: 3.99941e-18; sd: 7.56725e-17; counts: 359
sfh 0.060123 0 0 0 #avg: 0.000862166; avg_err: 0.000507822; sd: 0.00960844; counts: 359
sfh 0.062373 0 0 0 #avg: 0.00466991; avg_err: 0.00171299; sd: 0.0324113; counts: 359
sfh 0.064623 0 0 0 #avg: 0.0115718; avg_err: 0.00303779; sd: 0.0574777; counts: 359
sfh 0.066873 0 0 0 #avg: 0.0336753; avg_err: 0.00861857; sd: 0.163071; counts: 359
sfh 0.069123 0 0.0265328 0 #avg: 0.0564514; avg_err: 0.0109056; sd: 0.206343; counts: 359
sfh 0.071373 0 0.0598402 0 #avg: 0.111927; avg_err: 0.0228493; sd: 0.432328; counts: 359
sfh 0.073623 0 0.173692 0 #avg: 0.162841; avg_err: 0.0286512; sd: 0.542106; counts: 359
sfh 0.075873 0 0.275261 0 #avg: 0.259281; avg_err: 0.0565717; sd: 1.07039; counts: 359
sfh 0.078123 0.00429265 0.412745 0.00429265 #avg: 0.263432; avg_err: 0.039672; sd: 0.75063; counts: 359
sfh 0.080373 0.0216624 0.480991 0.0216624 #avg: 0.316372; avg_err: 0.0412062; sd: 0.779659; counts: 359
sfh 0.082623 0.0434803 0.454486 0.0434803 #avg: 0.352759; avg_err: 0.0455304; sd: 0.861476; counts: 359
sfh 0.085998 0.0971583 0.647279 0.0971583 #avg: 0.435079; avg_err: 0.0484565; sd: 0.916839; counts: 359
sfh 0.089373 0.171223 0.739521 0.168391 #avg: 0.515552; avg_err: 0.0528242; sd: 0.999481; counts: 359
sfh 0.092748 0.211981 0.798859 0.19595 #avg: 0.631333; avg_err: 0.0715466; sd: 1.35373; counts: 359
sfh 0.096123 0.27548 0.98902 0.241354 #avg: 0.770372; avg_err: 0.084685; sd: 1.60232; counts: 359
sfh 0.099498 0.380865 1.24745 0.328981 #avg: 0.953103; avg_err: 0.0935712; sd: 1.77045; counts: 359
sfh 0.102873 0.490299 1.48182 0.403693 #avg: 1.15333; avg_err: 0.104397; sd: 1.97528; counts: 359
sfh 0.106248 0.615789 1.79138 0.506928 #avg: 1.33369; avg_err: 0.0987266; sd: 1.86799; counts: 359
sfh 0.109623 0.780816 1.93256 0.635592 #avg: 1.69207; avg_err: 0.138201; sd: 2.61489; counts: 359
sfh 0.112998 0.94273 2.32422 0.739963 #avg: 1.92287; avg_err: 0.151709; sd: 2.87046; counts: 359
sfh 0.116373 1.2993 2.4717 1.04043 #avg: 2.17952; avg_err: 0.151093; sd: 2.85881; counts: 359
sfh 0.119748 1.44174 3.02928 1.10838 #avg: 2.54484; avg_err: 0.185656; sd: 3.51278; counts: 359
sfh 0.123123 1.57139 3.02264 1.17959 #avg: 2.72524; avg_err: 0.22518; sd: 4.26061; counts: 359
sfh 0.126498 1.78904 3.28075 1.28835 #avg: 3.17097; avg_err: 0.248082; sd: 4.69392; counts: 359
sfh 0.129873 1.93435 4.57194 1.31323 #avg: 3.57912; avg_err: 0.240873; sd: 4.55754; counts: 359
sfh 0.133248 2.14651 4.40793 1.50502 #avg: 3.81838; avg_err: 0.245112; sd: 4.63773; counts: 359
sfh 0.136623 2.48596 4.55102 1.68411 #avg: 4.06269; avg_err: 0.231459; sd: 4.3794; counts: 359
sfh 0.141685 3.13173 4.94659 2.11432 #avg: 4.40586; avg_err: 0.232491; sd: 4.39894; counts: 359
sfh 0.146748 3.59083 5.26807 2.35731 #avg: 5.02547; avg_err: 0.24055; sd: 4.55141; counts: 359
sfh 0.15181 4.27035 5.30071 2.61408 #avg: 5.61862; avg_err: 0.265728; sd: 5.0278; counts: 359
sfh 0.156873 4.42511 6.37479 2.70147 #avg: 6.08575; avg_err: 0.264672; sd: 5.00784; counts: 359
sfh 0.161935 5.04955 5.62565 3.00235 #avg: 6.44177; avg_err: 0.287554; sd: 5.44077; counts: 359
sfh 0.166998 5.18474 6.94746 2.6954 #avg: 7.15959; avg_err: 0.317263; sd: 6.0029; counts: 359
sfh 0.17206 5.90587 6.39353 3.20691 #avg: 7.58102; avg_err: 0.321925; sd: 6.09111; counts: 359
sfh 0.177123 6.02144 6.99956 3.3734 #avg: 7.90574; avg_err: 0.343902; sd: 6.50694; counts: 359
sfh 0.182185 5.7966 6.2323 3.95299 #avg: 6.90475; avg_err: 0.302668; sd: 5.72675; counts: 359
sfh 0.187248 4.62064 5.17673 3.3914 #avg: 5.83683; avg_err: 0.27745; sd: 5.24959; counts: 359
sfh 0.19231 2.77282 6.86538 2.75854 #avg: 4.63688; avg_err: 0.286233; sd: 5.41578; counts: 359
sfh 0.197373 1.02129 3.9574 1.01801 #avg: 2.69201; avg_err: 0.242817; sd: 4.59431; counts: 359
sfh 0.202435 0.00485682 0.00855408 0.00315909 #avg: 0.00755402; avg_err: 0.000413422; sd: 0.00782231; counts: 359
iclh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 359
iclh 0.060123 0 0 0 #avg: 4.03783e-05; avg_err: 4.03783e-05; sd: 0.000763993; counts: 359
iclh 0.062373 0 0 0 #avg: 0.000101116; avg_err: 0.000101116; sd: 0.0019132; counts: 359
iclh 0.064623 0 0 0 #avg: 0.00097121; avg_err: 0.000530185; sd: 0.0100316; counts: 359
iclh 0.066873 0 0 0 #avg: 0.00395762; avg_err: 0.00220607; sd: 0.0417408; counts: 359
iclh 0.069123 0 0 0 #avg: 0.0103667; avg_err: 0.00464904; sd: 0.087964; counts: 359
iclh 0.071373 0 0 0 #avg: 0.00851861; avg_err: 0.00282569; sd: 0.0534646; counts: 359
iclh 0.073623 0 0.000313071 0 #avg: 0.0115697; avg_err: 0.00327696; sd: 0.062003; counts: 359
iclh 0.075873 0 0.00560003 0 #avg: 0.0124805; avg_err: 0.00269422; sd: 0.050977; counts: 359
iclh 0.078123 0 0.0161825 0 #avg: 0.0194926; avg_err: 0.00372536; sd: 0.0704871; counts: 359
iclh 0.080373 0 0.0313391 0 #avg: 0.0309513; avg_err: 0.00545959; sd: 0.1033; counts: 359
