#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.202435 (z=3.939857)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 1.95 - 2.11667
#HM    Stats: 4.967650e+10 (median) + 4.011760e+10  / - 3.326470e+10
#SM    Stats: 2.400670e+08 (median) + 4.216998e+07  / - 2.100097e+08
#ObsSM Stats: 1.960850e+08 (median) + 6.563130e+08  / - 1.582183e+08
#VMP   Stats: 1.200800e+02 (median) + 9.679993e+00  / - 2.409000e+01
#ICL   Stats: 7.749870e+05 (median) + 7.646881e+07  / - 7.749870e+05
#SSFR  Stats: 1.622173e-12 (median) + 7.998809e-12  / - 7.771503e-13
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 12
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 12
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 12
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 12
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 12
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 12
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 12
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 12
sfh 0.075873 0 0 0 #avg: 0.000966683; avg_err: 0.000966683; sd: 0.00320613; counts: 12
sfh 0.078123 0 0.00195181 0 #avg: 0.00219673; avg_err: 0.00202577; sd: 0.00671873; counts: 12
sfh 0.080373 0 0.00948252 0 #avg: 0.00293004; avg_err: 0.00163945; sd: 0.00543744; counts: 12
sfh 0.082623 0 0.0164863 0 #avg: 0.0111594; avg_err: 0.00928639; sd: 0.0307995; counts: 12
sfh 0.085998 0 0.0756444 0 #avg: 0.02746; avg_err: 0.0163765; sd: 0.0543147; counts: 12
sfh 0.089373 0 0.256291 0 #avg: 0.120526; avg_err: 0.0828621; sd: 0.274822; counts: 12
sfh 0.092748 0.00956313 0.292243 0.00956313 #avg: 0.120658; avg_err: 0.0718202; sd: 0.238201; counts: 12
sfh 0.096123 0.0365424 0.360864 0.0365424 #avg: 0.135588; avg_err: 0.0511671; sd: 0.169702; counts: 12
sfh 0.099498 0.10285 0.21012 0.083872 #avg: 0.158979; avg_err: 0.038455; sd: 0.127541; counts: 12
sfh 0.102873 0.165269 0.085794 0.10359 #avg: 0.166567; avg_err: 0.0342994; sd: 0.113758; counts: 12
sfh 0.106248 0.233076 0.131985 0.165304 #avg: 0.190508; avg_err: 0.0351651; sd: 0.116629; counts: 12
sfh 0.109623 0.236236 0.519323 0.186674 #avg: 0.314451; avg_err: 0.0866939; sd: 0.287531; counts: 12
sfh 0.112998 0.174992 0.336304 0.112849 #avg: 0.256216; avg_err: 0.0688505; sd: 0.228351; counts: 12
sfh 0.116373 0.133353 0.186442 0.0988963 #avg: 0.166257; avg_err: 0.0437236; sd: 0.145015; counts: 12
sfh 0.119748 0.142042 0.218213 0.105819 #avg: 0.1844; avg_err: 0.046994; sd: 0.155861; counts: 12
sfh 0.123123 0.184621 0.090562 0.146467 #avg: 0.16876; avg_err: 0.029062; sd: 0.0963876; counts: 12
sfh 0.126498 0.264167 0.086435 0.170665 #avg: 0.221536; avg_err: 0.0353037; sd: 0.117089; counts: 12
sfh 0.129873 0.199225 0.421595 0.137487 #avg: 0.319662; avg_err: 0.111073; sd: 0.368389; counts: 12
sfh 0.133248 0.303592 0.623848 0.197325 #avg: 0.418889; avg_err: 0.130654; sd: 0.43333; counts: 12
sfh 0.136623 0.285338 1.12856 0.204522 #avg: 0.515488; avg_err: 0.176392; sd: 0.585027; counts: 12
sfh 0.141685 0.18927 0.87291 0.135703 #avg: 0.445361; avg_err: 0.142054; sd: 0.47114; counts: 12
sfh 0.146748 0.281884 0.38084 0.180934 #avg: 0.338666; avg_err: 0.0832738; sd: 0.276188; counts: 12
sfh 0.15181 0.210447 1.20935 0.155406 #avg: 0.427631; avg_err: 0.153051; sd: 0.507613; counts: 12
sfh 0.156873 0.181082 0.663865 0.112872 #avg: 0.314011; avg_err: 0.0819546; sd: 0.271813; counts: 12
sfh 0.161935 0.17447 0.4657 0.152946 #avg: 0.291108; avg_err: 0.0749904; sd: 0.248715; counts: 12
sfh 0.166998 0.273008 0.335408 0.245969 #avg: 0.260762; avg_err: 0.0603336; sd: 0.200104; counts: 12
sfh 0.17206 0.205385 0.405948 0.176068 #avg: 0.237728; avg_err: 0.0615305; sd: 0.204074; counts: 12
sfh 0.177123 0.153674 0.104659 0.126427 #avg: 0.15197; avg_err: 0.0405037; sd: 0.134335; counts: 12
sfh 0.182185 0.112251 0.193949 0.0893453 #avg: 0.121417; avg_err: 0.0341879; sd: 0.113388; counts: 12
sfh 0.187248 0.0430642 0.139545 0.0222757 #avg: 0.0671051; avg_err: 0.0186705; sd: 0.0619231; counts: 12
sfh 0.19231 0.0266393 0.0936667 0.013758 #avg: 0.0520259; avg_err: 0.0137354; sd: 0.0455553; counts: 12
sfh 0.197373 0.0199751 0.0359198 0.0111005 #avg: 0.024596; avg_err: 0.00539543; sd: 0.0178946; counts: 12
sfh 0.202435 0.000390918 0.0072968 0.000343282 #avg: 0.00214061; avg_err: 0.00133912; sd: 0.00444137; counts: 12
iclh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 12
