#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.202435 (z=3.939857)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.202435 (z=3.939857) stellar mass
#mpeak range: 9.75 - 10.25
#HM    Stats: 8.773530e+09 (median) + 4.672071e+09  / - 2.392650e+09
#SM    Stats: 2.695610e+06 (median) + 5.316090e+06  / - 1.921247e+06
#ObsSM Stats: 2.528570e+06 (median) + 6.743860e+06  / - 1.907360e+06
#VMP   Stats: 5.920000e+01 (median) + 8.139996e+00  / - 7.260002e+00
#ICL   Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR  Stats: 1.818365e-09 (median) + 5.265360e-09  / - 1.321949e-09
sfh 0.055623 0 0 0 #avg: 3.26441e-20; avg_err: 3.10302e-20; sd: 7.58575e-17; counts: 5976217
sfh 0.060123 0 0 0 #avg: 7.97695e-16; avg_err: 3.68842e-16; sd: 9.01683e-13; counts: 5976217
sfh 0.062373 0 0 0 #avg: 5.31673e-15; avg_err: 1.34791e-15; sd: 3.29514e-12; counts: 5976217
sfh 0.064623 0 0 0 #avg: 1.71878e-14; avg_err: 2.97929e-15; sd: 7.28326e-12; counts: 5976217
sfh 0.066873 0 0 0 #avg: 3.50399e-14; avg_err: 4.66466e-15; sd: 1.14034e-11; counts: 5976217
sfh 0.069123 0 0 0 #avg: 8.05865e-14; avg_err: 7.9451e-15; sd: 1.94228e-11; counts: 5976217
sfh 0.071373 0 0 0 #avg: 1.42403e-13; avg_err: 1.01646e-14; sd: 2.48488e-11; counts: 5976217
sfh 0.073623 0 0 0 #avg: 2.47915e-13; avg_err: 1.33408e-14; sd: 3.26132e-11; counts: 5976217
sfh 0.075873 0 0 0 #avg: 4.3144e-13; avg_err: 1.93325e-14; sd: 4.72607e-11; counts: 5976217
sfh 0.078123 0 0 0 #avg: 6.99823e-13; avg_err: 2.27836e-14; sd: 5.56974e-11; counts: 5976217
sfh 0.080373 0 0 0 #avg: 1.08979e-12; avg_err: 2.59246e-14; sd: 6.33762e-11; counts: 5976217
sfh 0.082623 0 0 0 #avg: 1.69314e-12; avg_err: 3.08427e-14; sd: 7.5399e-11; counts: 5976217
sfh 0.085998 0 0 0 #avg: 3.20025e-12; avg_err: 4.28609e-14; sd: 1.04779e-10; counts: 5976217
sfh 0.089373 0 0 0 #avg: 5.71217e-12; avg_err: 5.62134e-14; sd: 1.37421e-10; counts: 5976217
sfh 0.092748 0 0 0 #avg: 1.0193e-11; avg_err: 7.54049e-14; sd: 1.84337e-10; counts: 5976217
sfh 0.096123 0 0 0 #avg: 1.74249e-11; avg_err: 9.79428e-14; sd: 2.39434e-10; counts: 5976217
sfh 0.099498 0 0 0 #avg: 2.91927e-11; avg_err: 1.27828e-13; sd: 3.12493e-10; counts: 5976217
sfh 0.102873 0 0 0 #avg: 4.76542e-11; avg_err: 1.66231e-13; sd: 4.06373e-10; counts: 5976217
sfh 0.106248 0 0 0 #avg: 7.50108e-11; avg_err: 2.09412e-13; sd: 5.11935e-10; counts: 5976217
sfh 0.109623 0 0 0 #avg: 1.12015e-10; avg_err: 2.60325e-13; sd: 6.36399e-10; counts: 5976217
sfh 0.112998 0 0 0 #avg: 1.57391e-10; avg_err: 3.04137e-13; sd: 7.43503e-10; counts: 5976217
sfh 0.116373 0 0 0 #avg: 2.07525e-10; avg_err: 3.36586e-13; sd: 8.22828e-10; counts: 5976217
sfh 0.119748 0 1.63007e-10 0 #avg: 2.64676e-10; avg_err: 3.64119e-13; sd: 8.90136e-10; counts: 5976217
sfh 0.123123 0 4.70307e-10 0 #avg: 3.26891e-10; avg_err: 3.90818e-13; sd: 9.55405e-10; counts: 5976217
sfh 0.126498 0 7.61363e-10 0 #avg: 3.97255e-10; avg_err: 4.20941e-13; sd: 1.02904e-09; counts: 5976217
sfh 0.129873 0 1.04074e-09 0 #avg: 4.80168e-10; avg_err: 4.55475e-13; sd: 1.11347e-09; counts: 5976217
sfh 0.133248 0 1.30465e-09 0 #avg: 5.75205e-10; avg_err: 4.90731e-13; sd: 1.19966e-09; counts: 5976217
sfh 0.136623 0 1.54895e-09 0 #avg: 6.76286e-10; avg_err: 5.17445e-13; sd: 1.26496e-09; counts: 5976217
sfh 0.141685 1.42881e-10 1.72586e-09 1.42881e-10 #avg: 8.34821e-10; avg_err: 5.56473e-13; sd: 1.36037e-09; counts: 5976217
sfh 0.146748 4.33358e-10 1.7302e-09 4.33358e-10 #avg: 1.0084e-09; avg_err: 5.91913e-13; sd: 1.44701e-09; counts: 5976217
sfh 0.15181 7.00834e-10 1.7385e-09 7.00834e-10 #avg: 1.19363e-09; avg_err: 6.21814e-13; sd: 1.5201e-09; counts: 5976217
sfh 0.156873 9.39257e-10 1.76489e-09 9.39257e-10 #avg: 1.38971e-09; avg_err: 6.49422e-13; sd: 1.5876e-09; counts: 5976217
sfh 0.161935 1.1535e-09 1.79994e-09 1.07889e-09 #avg: 1.58776e-09; avg_err: 6.72929e-13; sd: 1.64506e-09; counts: 5976217
sfh 0.166998 1.34661e-09 1.84869e-09 1.02091e-09 #avg: 1.78265e-09; avg_err: 6.9221e-13; sd: 1.6922e-09; counts: 5976217
sfh 0.17206 1.49947e-09 1.85268e-09 9.9911e-10 #avg: 1.92622e-09; avg_err: 6.86667e-13; sd: 1.67865e-09; counts: 5976217
sfh 0.177123 1.60828e-09 1.80812e-09 9.9343e-10 #avg: 2.0103e-09; avg_err: 6.63141e-13; sd: 1.62114e-09; counts: 5976217
sfh 0.182185 1.69249e-09 1.79331e-09 1.01224e-09 #avg: 2.07512e-09; avg_err: 6.4706e-13; sd: 1.58182e-09; counts: 5976217
sfh 0.187248 1.78282e-09 1.90642e-09 1.09705e-09 #avg: 2.17264e-09; avg_err: 6.67995e-13; sd: 1.633e-09; counts: 5976217
sfh 0.19231 1.807e-09 2.2923e-09 1.16228e-09 #avg: 2.31645e-09; avg_err: 7.56923e-13; sd: 1.8504e-09; counts: 5976217
sfh 0.197373 1.7258e-09 3.07304e-09 1.13508e-09 #avg: 2.55206e-09; avg_err: 9.64852e-13; sd: 2.35871e-09; counts: 5976217
sfh 0.202435 1.5935e-09 3.82653e-09 1.05458e-09 #avg: 3.03314e-09; avg_err: 1.64111e-12; sd: 4.0119e-09; counts: 5976217
iclh 0.055623 0 0 0 #avg: 1.05716e-18; avg_err: 1.05716e-18; sd: 2.58436e-15; counts: 5976217
iclh 0.060123 0 0 0 #avg: 1.85979e-16; avg_err: 1.85979e-16; sd: 4.54649e-13; counts: 5976217
iclh 0.062373 0 0 0 #avg: 6.07885e-16; avg_err: 5.5057e-16; sd: 1.34594e-12; counts: 5976217
iclh 0.064623 0 0 0 #avg: 2.3638e-15; avg_err: 2.23128e-15; sd: 5.45465e-12; counts: 5976217
iclh 0.066873 0 0 0 #avg: 1.08841e-14; avg_err: 6.86077e-15; sd: 1.6772e-11; counts: 5976217
iclh 0.069123 0 0 0 #avg: 2.1473e-14; avg_err: 9.93568e-15; sd: 2.42891e-11; counts: 5976217
iclh 0.071373 0 0 0 #avg: 4.85773e-14; avg_err: 2.71811e-14; sd: 6.64478e-11; counts: 5976217
iclh 0.073623 0 0 0 #avg: 5.64235e-14; avg_err: 3.13427e-14; sd: 7.66213e-11; counts: 5976217
iclh 0.075873 0 0 0 #avg: 9.00998e-14; avg_err: 5.44262e-14; sd: 1.33052e-10; counts: 5976217
iclh 0.078123 0 0 0 #avg: 1.22568e-13; avg_err: 6.12379e-14; sd: 1.49704e-10; counts: 5976217
iclh 0.080373 0 0 0 #avg: 1.56323e-13; avg_err: 7.50699e-14; sd: 1.83518e-10; counts: 5976217
iclh 0.082623 0 0 0 #avg: 1.50211e-13; avg_err: 2.89723e-14; sd: 7.08265e-11; counts: 5976217
iclh 0.085998 0 0 0 #avg: 2.54492e-13; avg_err: 3.0987e-14; sd: 7.57519e-11; counts: 5976217
iclh 0.089373 0 0 0 #avg: 4.83782e-13; avg_err: 4.27981e-14; sd: 1.04626e-10; counts: 5976217
iclh 0.092748 0 0 0 #avg: 8.65038e-13; avg_err: 5.69613e-14; sd: 1.39249e-10; counts: 5976217
iclh 0.096123 0 0 0 #avg: 1.26048e-12; avg_err: 2.64386e-13; sd: 6.46326e-10; counts: 5976217
iclh 0.099498 0 0 0 #avg: 2.42838e-12; avg_err: 2.46707e-13; sd: 6.03108e-10; counts: 5976217
iclh 0.102873 0 0 0 #avg: 4.28191e-12; avg_err: 3.2795e-13; sd: 8.01717e-10; counts: 5976217
iclh 0.106248 0 0 0 #avg: 7.00171e-12; avg_err: 5.04622e-13; sd: 1.23361e-09; counts: 5976217
iclh 0.109623 0 0 0 #avg: 1.03736e-11; avg_err: 8.34823e-13; sd: 2.04083e-09; counts: 5976217
iclh 0.112998 0 0 0 #avg: 1.28302e-11; avg_err: 5.04114e-13; sd: 1.23237e-09; counts: 5976217
iclh 0.116373 0 0 0 #avg: 1.55909e-11; avg_err: 4.71511e-13; sd: 1.15267e-09; counts: 5976217
iclh 0.119748 0 0 0 #avg: 1.79602e-11; avg_err: 4.88416e-13; sd: 1.194e-09; counts: 5976217
iclh 0.123123 0 0 0 #avg: 2.07097e-11; avg_err: 4.66411e-13; sd: 1.1402e-09; counts: 5976217
iclh 0.126498 0 0 0 #avg: 2.33948e-11; avg_err: 4.70112e-13; sd: 1.14925e-09; counts: 5976217
