#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.202435 (z=3.939857)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.202435 (z=3.939857) stellar mass
#mpeak range: 10.75 - 11.25
#HM    Stats: 1.317210e+11 (median) + 3.327900e+10  / - 4.238280e+10
#SM    Stats: 4.217720e+08 (median) + 1.003198e+09  / - 1.751090e+08
#ObsSM Stats: 5.842680e+08 (median) + 1.279042e+09  / - 4.542040e+08
#VMP   Stats: 1.519400e+02 (median) + 2.045999e+01  / - 1.289000e+01
#ICL   Stats: 1.862520e+06 (median) + 3.212888e+07  / - 1.862520e+06
#SSFR  Stats: 2.325285e-12 (median) + 3.840440e-12  / - 1.533077e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 36
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 36
sfh 0.062373 0 0 0 #avg: 9.56324e-13; avg_err: 9.56324e-13; sd: 5.65769e-12; counts: 36
sfh 0.064623 0 0 0 #avg: 6.06687e-12; avg_err: 4.40545e-12; sd: 2.6063e-11; counts: 36
sfh 0.066873 0 0 0 #avg: 1.47645e-11; avg_err: 1.03764e-11; sd: 6.13875e-11; counts: 36
sfh 0.069123 0 0 0 #avg: 5.35307e-11; avg_err: 2.75727e-11; sd: 1.63122e-10; counts: 36
sfh 0.071373 0 0 0 #avg: 5.42967e-11; avg_err: 2.84103e-11; sd: 1.68078e-10; counts: 36
sfh 0.073623 0 2.09388e-12 0 #avg: 8.55568e-11; avg_err: 4.69773e-11; sd: 2.77922e-10; counts: 36
sfh 0.075873 0 6.24286e-12 0 #avg: 1.34877e-10; avg_err: 6.46774e-11; sd: 3.82636e-10; counts: 36
sfh 0.078123 0 8.13027e-12 0 #avg: 1.03162e-10; avg_err: 5.02245e-11; sd: 2.97132e-10; counts: 36
sfh 0.080373 0 3.94995e-11 0 #avg: 9.42472e-11; avg_err: 4.70608e-11; sd: 2.78416e-10; counts: 36
sfh 0.082623 0 1.63051e-10 0 #avg: 9.10012e-11; avg_err: 4.0473e-11; sd: 2.39441e-10; counts: 36
sfh 0.085998 0 3.08933e-10 0 #avg: 1.08242e-10; avg_err: 4.65879e-11; sd: 2.75618e-10; counts: 36
sfh 0.089373 1.37784e-14 1.87609e-10 1.37784e-14 #avg: 3.10713e-10; avg_err: 2.27808e-10; sd: 1.34773e-09; counts: 36
sfh 0.092748 4.59088e-11 3.84224e-10 4.59088e-11 #avg: 2.73748e-10; avg_err: 1.25369e-10; sd: 7.41692e-10; counts: 36
sfh 0.096123 1.25514e-10 4.13286e-10 1.25514e-10 #avg: 3.23102e-10; avg_err: 9.1343e-11; sd: 5.40393e-10; counts: 36
