#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.202435 (z=3.939857)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.202435 (z=3.939857) stellar mass
#mpeak range: 11.75 - 12.25
#HM    Stats: 7.725000e+11 (median) + 3.950000e+11  / - 1.604410e+11
#SM    Stats: 6.797130e+09 (median) + 8.477270e+09  / - 3.476430e+09
#ObsSM Stats: 6.672400e+09 (median) + 1.176780e+10  / - 4.216310e+09
#VMP   Stats: 2.467100e+02 (median) + 3.764000e+01  / - 2.096001e+01
#ICL   Stats: 6.016970e+07 (median) + 1.468663e+08  / - 4.561600e+07
#SSFR  Stats: 3.170582e-09 (median) + 5.771403e-09  / - 2.083870e-09
sfh 0.055623 0 0 0 #avg: 9.24987e-17; avg_err: 8.26382e-17; sd: 1.05554e-14; counts: 16316
sfh 0.060123 0 0 0 #avg: 6.22137e-14; avg_err: 6.67951e-15; sd: 8.53176e-13; counts: 16316
sfh 0.062373 0 0 0 #avg: 4.40774e-13; avg_err: 3.50344e-14; sd: 4.47495e-12; counts: 16316
sfh 0.064623 0 0 0 #avg: 1.44018e-12; avg_err: 8.72067e-14; sd: 1.11389e-11; counts: 16316
sfh 0.066873 0 0 0 #avg: 3.63815e-12; avg_err: 1.72796e-13; sd: 2.20712e-11; counts: 16316
sfh 0.069123 0 1.65626e-12 0 #avg: 7.06406e-12; avg_err: 3.037e-13; sd: 3.87917e-11; counts: 16316
sfh 0.071373 0 8.15658e-12 0 #avg: 1.1868e-11; avg_err: 4.53219e-13; sd: 5.78897e-11; counts: 16316
sfh 0.073623 0 1.67986e-11 0 #avg: 1.7834e-11; avg_err: 5.78951e-13; sd: 7.39496e-11; counts: 16316
sfh 0.075873 0 2.9521e-11 0 #avg: 2.53722e-11; avg_err: 8.59939e-13; sd: 1.0984e-10; counts: 16316
sfh 0.078123 8.77301e-13 4.30202e-11 8.77301e-13 #avg: 3.38799e-11; avg_err: 1.00767e-12; sd: 1.28709e-10; counts: 16316
sfh 0.080373 3.52991e-12 5.51421e-11 3.52991e-12 #avg: 4.05732e-11; avg_err: 1.00619e-12; sd: 1.28521e-10; counts: 16316
sfh 0.082623 7.37549e-12 6.45559e-11 7.37549e-12 #avg: 4.58304e-11; avg_err: 1.00997e-12; sd: 1.29004e-10; counts: 16316
sfh 0.085998 1.4948e-11 8.69881e-11 1.4948e-11 #avg: 6.46186e-11; avg_err: 1.33704e-12; sd: 1.7078e-10; counts: 16316
sfh 0.089373 2.36295e-11 1.07337e-10 2.30267e-11 #avg: 8.11184e-11; avg_err: 1.59644e-12; sd: 2.03913e-10; counts: 16316
sfh 0.092748 3.3812e-11 1.31858e-10 3.09145e-11 #avg: 1.0061e-10; avg_err: 1.70284e-12; sd: 2.17504e-10; counts: 16316
sfh 0.096123 4.6669e-11 1.58074e-10 4.05803e-11 #avg: 1.24327e-10; avg_err: 1.98051e-12; sd: 2.52971e-10; counts: 16316
sfh 0.099498 6.01006e-11 1.93873e-10 4.98471e-11 #avg: 1.5356e-10; avg_err: 2.3253e-12; sd: 2.97011e-10; counts: 16316
sfh 0.102873 7.75531e-11 2.33996e-10 6.27229e-11 #avg: 1.86007e-10; avg_err: 2.6711e-12; sd: 3.4118e-10; counts: 16316
sfh 0.106248 9.65806e-11 2.77048e-10 7.63977e-11 #avg: 2.19814e-10; avg_err: 2.9974e-12; sd: 3.82858e-10; counts: 16316
sfh 0.109623 1.17476e-10 3.24077e-10 9.08167e-11 #avg: 2.57089e-10; avg_err: 3.36918e-12; sd: 4.30346e-10; counts: 16316
sfh 0.112998 1.41596e-10 3.71295e-10 1.07901e-10 #avg: 2.94971e-10; avg_err: 3.61047e-12; sd: 4.61166e-10; counts: 16316
sfh 0.116373 1.69333e-10 4.22674e-10 1.29034e-10 #avg: 3.39334e-10; avg_err: 3.9576e-12; sd: 5.05505e-10; counts: 16316
sfh 0.119748 1.97084e-10 4.70052e-10 1.49396e-10 #avg: 3.82808e-10; avg_err: 4.34096e-12; sd: 5.54472e-10; counts: 16316
sfh 0.123123 2.28361e-10 5.36592e-10 1.71389e-10 #avg: 4.29144e-10; avg_err: 4.6467e-12; sd: 5.93524e-10; counts: 16316
sfh 0.126498 2.69498e-10 5.796e-10 2.02706e-10 #avg: 4.80679e-10; avg_err: 4.96034e-12; sd: 6.33586e-10; counts: 16316
sfh 0.129873 3.07116e-10 6.52284e-10 2.26523e-10 #avg: 5.34333e-10; avg_err: 5.34733e-12; sd: 6.83015e-10; counts: 16316
sfh 0.133248 3.4855e-10 6.8759e-10 2.51993e-10 #avg: 5.89023e-10; avg_err: 5.73135e-12; sd: 7.32066e-10; counts: 16316
sfh 0.136623 3.98149e-10 7.64639e-10 2.84525e-10 #avg: 6.43915e-10; avg_err: 5.83593e-12; sd: 7.45424e-10; counts: 16316
sfh 0.141685 4.86878e-10 8.27249e-10 3.44481e-10 #avg: 7.43243e-10; avg_err: 6.40319e-12; sd: 8.17881e-10; counts: 16316
sfh 0.146748 5.70349e-10 9.38331e-10 3.93042e-10 #avg: 8.5172e-10; avg_err: 6.93237e-12; sd: 8.85473e-10; counts: 16316
sfh 0.15181 6.74372e-10 1.02743e-09 4.54678e-10 #avg: 9.65694e-10; avg_err: 7.47862e-12; sd: 9.55245e-10; counts: 16316
sfh 0.156873 7.87713e-10 1.12056e-09 5.16602e-10 #avg: 1.09073e-09; avg_err: 8.01247e-12; sd: 1.02343e-09; counts: 16316
sfh 0.161935 9.2082e-10 1.1723e-09 5.83961e-10 #avg: 1.22972e-09; avg_err: 8.4954e-12; sd: 1.08512e-09; counts: 16316
sfh 0.166998 1.07512e-09 1.26337e-09 6.5048e-10 #avg: 1.37952e-09; avg_err: 8.85035e-12; sd: 1.13046e-09; counts: 16316
sfh 0.17206 1.24932e-09 1.2791e-09 7.17005e-10 #avg: 1.53162e-09; avg_err: 8.96902e-12; sd: 1.14561e-09; counts: 16316
sfh 0.177123 1.43752e-09 1.39216e-09 7.55632e-10 #avg: 1.73115e-09; avg_err: 9.41359e-12; sd: 1.2024e-09; counts: 16316
sfh 0.182185 1.673e-09 1.4304e-09 8.25226e-10 #avg: 1.96007e-09; avg_err: 9.68404e-12; sd: 1.23694e-09; counts: 16316
sfh 0.187248 1.95364e-09 1.50985e-09 9.43822e-10 #avg: 2.22892e-09; avg_err: 1.03828e-11; sd: 1.32619e-09; counts: 16316
sfh 0.19231 2.31464e-09 1.72388e-09 1.15523e-09 #avg: 2.58301e-09; avg_err: 1.16782e-11; sd: 1.49165e-09; counts: 16316
sfh 0.197373 2.63176e-09 2.32967e-09 1.40171e-09 #avg: 3.06594e-09; avg_err: 1.52975e-11; sd: 1.95396e-09; counts: 16316
sfh 0.202435 2.84503e-09 3.4783e-09 1.62029e-09 #avg: 3.75671e-09; avg_err: 2.42429e-11; sd: 3.09654e-09; counts: 16316
iclh 0.055623 0 0 0 #avg: 6.946e-23; avg_err: 5.46631e-23; sd: 6.98212e-21; counts: 16316
iclh 0.060123 0 0 0 #avg: 5.80465e-15; avg_err: 1.4492e-15; sd: 1.85107e-13; counts: 16316
iclh 0.062373 0 0 0 #avg: 6.63833e-14; avg_err: 1.36755e-14; sd: 1.74678e-12; counts: 16316
iclh 0.064623 0 0 0 #avg: 2.43971e-13; avg_err: 3.77097e-14; sd: 4.81666e-12; counts: 16316
iclh 0.066873 0 0 0 #avg: 4.68593e-13; avg_err: 5.75309e-14; sd: 7.34844e-12; counts: 16316
iclh 0.069123 0 0 0 #avg: 8.77136e-13; avg_err: 9.9775e-14; sd: 1.27443e-11; counts: 16316
iclh 0.071373 0 0 0 #avg: 1.02632e-12; avg_err: 2.97507e-13; sd: 3.80006e-11; counts: 16316
iclh 0.073623 0 2.34947e-14 0 #avg: 1.50093e-12; avg_err: 2.92452e-13; sd: 3.7355e-11; counts: 16316
iclh 0.075873 0 7.67663e-13 0 #avg: 1.98137e-12; avg_err: 3.64071e-13; sd: 4.65029e-11; counts: 16316
iclh 0.078123 0 2.20893e-12 0 #avg: 3.16634e-12; avg_err: 3.33463e-13; sd: 4.25933e-11; counts: 16316
iclh 0.080373 0 4.71172e-12 0 #avg: 4.15977e-12; avg_err: 4.05103e-13; sd: 5.17438e-11; counts: 16316
iclh 0.082623 4.95537e-17 7.5782e-12 4.95537e-17 #avg: 5.17569e-12; avg_err: 4.44527e-13; sd: 5.67795e-11; counts: 16316
iclh 0.085998 3.73812e-13 1.22874e-11 3.73812e-13 #avg: 7.41613e-12; avg_err: 5.59501e-13; sd: 7.14652e-11; counts: 16316
