#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.202435 (z=3.939857)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.202435 (z=3.939857) stellar mass
#sm range: 9.75 - 10.25
#HM    Stats: 7.689710e+11 (median) + 3.886791e+11  / - 2.914710e+11
#SM    Stats: 8.796150e+09 (median) + 4.183850e+09  / - 2.286570e+09
#ObsSM Stats: 8.911960e+09 (median) + 6.736940e+09  / - 4.676690e+09
#VMP   Stats: 2.673300e+02 (median) + 4.288000e+01  / - 2.491998e+01
#ICL   Stats: 4.430090e+07 (median) + 8.780310e+07  / - 4.109052e+07
#SSFR  Stats: 1.362866e-12 (median) + 2.731063e-12  / - 8.673336e-13
sfh 0.055623 0 0 0 #avg: 1.1165e-18; avg_err: 1.1165e-18; sd: 8.93204e-18; counts: 65
sfh 0.060123 0 0 0 #avg: 3.01479e-13; avg_err: 1.60451e-13; sd: 1.28361e-12; counts: 65
sfh 0.062373 0 0 0 #avg: 1.00589e-12; avg_err: 6.24287e-13; sd: 4.9943e-12; counts: 65
sfh 0.064623 0 0 0 #avg: 2.79055e-12; avg_err: 1.0653e-12; sd: 8.52237e-12; counts: 65
sfh 0.066873 0 1.03756e-11 0 #avg: 9.01958e-12; avg_err: 3.16095e-12; sd: 2.52876e-11; counts: 65
sfh 0.069123 0 3.38893e-11 0 #avg: 1.73613e-11; avg_err: 5.0575e-12; sd: 4.046e-11; counts: 65
sfh 0.071373 0 4.00819e-11 0 #avg: 2.0894e-11; avg_err: 5.59101e-12; sd: 4.47281e-11; counts: 65
sfh 0.073623 1.02911e-12 7.70663e-11 1.02911e-12 #avg: 3.3679e-11; avg_err: 9.17685e-12; sd: 7.34148e-11; counts: 65
sfh 0.075873 2.84819e-12 1.23236e-10 2.84819e-12 #avg: 5.39235e-11; avg_err: 1.4144e-11; sd: 1.13152e-10; counts: 65
sfh 0.078123 9.90166e-12 1.09026e-10 9.90166e-12 #avg: 7.13689e-11; avg_err: 1.93289e-11; sd: 1.54632e-10; counts: 65
sfh 0.080373 2.1142e-11 1.33839e-10 2.1142e-11 #avg: 1.2739e-10; avg_err: 3.87959e-11; sd: 3.10367e-10; counts: 65
sfh 0.082623 2.91294e-11 1.48907e-10 2.91291e-11 #avg: 1.65661e-10; avg_err: 4.95293e-11; sd: 3.96234e-10; counts: 65
sfh 0.085998 3.68813e-11 2.16624e-10 3.68792e-11 #avg: 1.79337e-10; avg_err: 4.618e-11; sd: 3.6944e-10; counts: 65
sfh 0.089373 4.49381e-11 2.63005e-10 3.75546e-11 #avg: 2.22423e-10; avg_err: 5.90338e-11; sd: 4.7227e-10; counts: 65
sfh 0.092748 4.98048e-11 2.6323e-10 4.55008e-11 #avg: 2.89601e-10; avg_err: 8.77315e-11; sd: 7.01852e-10; counts: 65
sfh 0.096123 9.04377e-11 2.92417e-10 7.75203e-11 #avg: 2.76363e-10; avg_err: 6.58549e-11; sd: 5.2684e-10; counts: 65
sfh 0.099498 1.04947e-10 2.79331e-10 9.7094e-11 #avg: 2.97611e-10; avg_err: 7.14536e-11; sd: 5.71629e-10; counts: 65
sfh 0.102873 1.32255e-10 3.02623e-10 1.17693e-10 #avg: 3.1392e-10; avg_err: 6.12044e-11; sd: 4.89635e-10; counts: 65
sfh 0.106248 1.85129e-10 3.73859e-10 1.62709e-10 #avg: 3.30221e-10; avg_err: 5.59091e-11; sd: 4.47273e-10; counts: 65
sfh 0.109623 2.7075e-10 3.99006e-10 2.51395e-10 #avg: 3.68207e-10; avg_err: 6.62552e-11; sd: 5.30042e-10; counts: 65
sfh 0.112998 2.73135e-10 6.08254e-10 2.43074e-10 #avg: 4.72992e-10; avg_err: 8.18288e-11; sd: 6.54631e-10; counts: 65
sfh 0.116373 3.09741e-10 1.04833e-09 2.57693e-10 #avg: 6.4904e-10; avg_err: 1.02799e-10; sd: 8.2239e-10; counts: 65
sfh 0.119748 4.10596e-10 1.01282e-09 3.036e-10 #avg: 7.67715e-10; avg_err: 1.11521e-10; sd: 8.92172e-10; counts: 65
sfh 0.123123 7.08199e-10 1.0254e-09 5.62475e-10 #avg: 1.12195e-09; avg_err: 1.84628e-10; sd: 1.47702e-09; counts: 65
sfh 0.126498 7.18752e-10 1.42395e-09 5.56258e-10 #avg: 1.20446e-09; avg_err: 2.01947e-10; sd: 1.61558e-09; counts: 65
sfh 0.129873 7.06713e-10 1.83477e-09 5.37083e-10 #avg: 1.17975e-09; avg_err: 1.5084e-10; sd: 1.20672e-09; counts: 65
sfh 0.133248 9.41467e-10 1.17476e-09 7.37345e-10 #avg: 1.1757e-09; avg_err: 1.3292e-10; sd: 1.06336e-09; counts: 65
sfh 0.136623 9.62242e-10 1.59572e-09 6.97791e-10 #avg: 1.40245e-09; avg_err: 1.52586e-10; sd: 1.22069e-09; counts: 65
sfh 0.141685 1.18156e-09 1.57444e-09 8.92478e-10 #avg: 1.64184e-09; avg_err: 1.92106e-10; sd: 1.53685e-09; counts: 65
sfh 0.146748 1.51715e-09 1.65461e-09 1.08981e-09 #avg: 1.89384e-09; avg_err: 1.93356e-10; sd: 1.54685e-09; counts: 65
sfh 0.15181 1.73013e-09 1.73724e-09 9.85067e-10 #avg: 2.11526e-09; avg_err: 2.00523e-10; sd: 1.60419e-09; counts: 65
sfh 0.156873 1.74679e-09 1.47079e-09 1.10311e-09 #avg: 2.07975e-09; avg_err: 2.22658e-10; sd: 1.78127e-09; counts: 65
sfh 0.161935 1.58482e-09 2.46549e-09 9.87478e-10 #avg: 2.24314e-09; avg_err: 2.74004e-10; sd: 2.19203e-09; counts: 65
sfh 0.166998 1.65747e-09 1.63867e-09 9.64197e-10 #avg: 2.02963e-09; avg_err: 1.8464e-10; sd: 1.47712e-09; counts: 65
sfh 0.17206 1.53062e-09 2.63536e-09 7.94235e-10 #avg: 2.07627e-09; avg_err: 2.04108e-10; sd: 1.63286e-09; counts: 65
sfh 0.177123 1.5305e-09 2.0128e-09 9.19239e-10 #avg: 1.96351e-09; avg_err: 1.98883e-10; sd: 1.59107e-09; counts: 65
sfh 0.182185 9.95493e-10 2.00283e-09 9.93688e-10 #avg: 1.59567e-09; avg_err: 2.38365e-10; sd: 1.90692e-09; counts: 65
sfh 0.187248 7.97645e-10 1.46225e-09 7.96093e-10 #avg: 1.08447e-09; avg_err: 1.54298e-10; sd: 1.23439e-09; counts: 65
sfh 0.19231 4.82698e-10 1.58874e-09 4.81722e-10 #avg: 9.29722e-10; avg_err: 1.58245e-10; sd: 1.26596e-09; counts: 65
sfh 0.197373 3.27606e-12 1.27004e-09 2.83751e-12 #avg: 4.73473e-10; avg_err: 8.84149e-11; sd: 7.0732e-10; counts: 65
sfh 0.202435 1.14865e-12 1.99552e-12 6.8259e-13 #avg: 1.8943e-12; avg_err: 3.13949e-13; sd: 2.51159e-12; counts: 65
iclh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 65
iclh 0.060123 0 0 0 #avg: 1.66173e-18; avg_err: 1.66173e-18; sd: 1.32938e-17; counts: 65
iclh 0.062373 0 0 0 #avg: 9.8036e-14; avg_err: 9.8031e-14; sd: 7.84248e-13; counts: 65
iclh 0.064623 0 0 0 #avg: 8.42065e-13; avg_err: 5.48491e-13; sd: 4.38793e-12; counts: 65
iclh 0.066873 0 0 0 #avg: 9.93853e-13; avg_err: 6.25441e-13; sd: 5.00353e-12; counts: 65
iclh 0.069123 0 0 0 #avg: 3.67407e-12; avg_err: 2.60764e-12; sd: 2.08612e-11; counts: 65
iclh 0.071373 0 6.46204e-13 0 #avg: 2.28945e-12; avg_err: 9.94e-13; sd: 7.952e-12; counts: 65
iclh 0.073623 0 6.93825e-13 0 #avg: 4.83597e-12; avg_err: 2.33203e-12; sd: 1.86562e-11; counts: 65
iclh 0.075873 0 2.39267e-12 0 #avg: 4.76025e-12; avg_err: 2.04039e-12; sd: 1.63231e-11; counts: 65
iclh 0.078123 0 1.16366e-11 0 #avg: 5.81178e-12; avg_err: 2.01722e-12; sd: 1.61378e-11; counts: 65
iclh 0.080373 0 1.83237e-11 0 #avg: 6.7757e-12; avg_err: 1.72644e-12; sd: 1.38115e-11; counts: 65
iclh 0.082623 3.05854e-13 1.44422e-11 3.05854e-13 #avg: 6.36969e-12; avg_err: 1.58577e-12; sd: 1.26862e-11; counts: 65
iclh 0.085998 2.1943e-12 2.02259e-11 2.1943e-12 #avg: 8.92755e-12; avg_err: 1.8e-12; sd: 1.44e-11; counts: 65
iclh 0.089373 4.2035e-12 2.13779e-11 4.2035e-12 #avg: 1.0535e-11; avg_err: 1.85236e-12; sd: 1.48189e-11; counts: 65
iclh 0.092748 4.47747e-12 2.5607e-11 4.47747e-12 #avg: 1.28996e-11; avg_err: 2.27646e-12; sd: 1.82117e-11; counts: 65
iclh 0.096123 6.26557e-12 2.3617e-11 6.26557e-12 #avg: 1.77515e-11; avg_err: 3.29669e-12; sd: 2.63735e-11; counts: 65
iclh 0.099498 7.45448e-12 2.59927e-11 7.45448e-12 #avg: 1.66746e-11; avg_err: 2.78353e-12; sd: 2.22682e-11; counts: 65
