#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.202435 (z=3.939857)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.202435 (z=3.939857) stellar mass
#sm range: 9.75 - 10.25
#HM    Stats: 6.319120e+11 (median) + 3.333820e+11  / - 2.611770e+11
#SM    Stats: 8.394660e+09 (median) + 4.556441e+09  / - 2.135230e+09
#ObsSM Stats: 8.522980e+09 (median) + 9.568321e+09  / - 4.351980e+09
#VMP   Stats: 2.425200e+02 (median) + 3.171999e+01  / - 2.588000e+01
#ICL   Stats: 2.970120e+07 (median) + 1.066298e+08  / - 2.809443e+07
#SSFR  Stats: 1.719014e-09 (median) + 3.500987e-09  / - 1.123859e-09
sfh 0.055623 0 0 0 #avg: 1.07004e-18; avg_err: 1.03706e-18; sd: 3.38279e-17; counts: 1065
sfh 0.060123 0 0 0 #avg: 1.2033e-13; avg_err: 3.52511e-14; sd: 1.14986e-12; counts: 1065
sfh 0.062373 0 0 0 #avg: 5.87685e-13; avg_err: 1.17574e-13; sd: 3.83513e-12; counts: 1065
sfh 0.064623 0 0 0 #avg: 1.80587e-12; avg_err: 2.97512e-13; sd: 9.70453e-12; counts: 1065
sfh 0.066873 0 8.60695e-21 0 #avg: 4.37886e-12; avg_err: 5.93241e-13; sd: 1.93509e-11; counts: 1065
sfh 0.069123 0 4.02435e-12 0 #avg: 8.17846e-12; avg_err: 1.03766e-12; sd: 3.38474e-11; counts: 1065
sfh 0.071373 0 1.31119e-11 0 #avg: 1.27287e-11; avg_err: 1.35153e-12; sd: 4.40856e-11; counts: 1065
sfh 0.073623 0 2.28394e-11 0 #avg: 1.94655e-11; avg_err: 2.0139e-12; sd: 6.56913e-11; counts: 1065
sfh 0.075873 0 4.04059e-11 0 #avg: 2.89869e-11; avg_err: 2.70909e-12; sd: 8.83679e-11; counts: 1065
sfh 0.078123 7.29401e-13 5.21081e-11 7.29401e-13 #avg: 4.34386e-11; avg_err: 4.36501e-12; sd: 1.42382e-10; counts: 1065
sfh 0.080373 3.80075e-12 6.2835e-11 3.80075e-12 #avg: 5.01509e-11; avg_err: 5.21188e-12; sd: 1.70006e-10; counts: 1065
sfh 0.082623 7.67438e-12 6.99901e-11 7.67438e-12 #avg: 5.2577e-11; avg_err: 4.50489e-12; sd: 1.46945e-10; counts: 1065
sfh 0.085998 1.282e-11 9.87318e-11 1.282e-11 #avg: 6.94203e-11; avg_err: 5.13371e-12; sd: 1.67456e-10; counts: 1065
sfh 0.089373 2.22412e-11 1.16664e-10 2.2152e-11 #avg: 9.11788e-11; avg_err: 7.42979e-12; sd: 2.42352e-10; counts: 1065
sfh 0.092748 3.34427e-11 1.37993e-10 3.14989e-11 #avg: 1.24063e-10; avg_err: 1.21721e-11; sd: 3.97043e-10; counts: 1065
sfh 0.096123 4.33004e-11 1.6316e-10 3.92166e-11 #avg: 1.44203e-10; avg_err: 1.14478e-11; sd: 3.73416e-10; counts: 1065
sfh 0.099498 5.67088e-11 2.20135e-10 4.96023e-11 #avg: 1.75593e-10; avg_err: 1.29859e-11; sd: 4.23586e-10; counts: 1065
sfh 0.102873 7.60602e-11 2.60263e-10 6.51169e-11 #avg: 2.2012e-10; avg_err: 1.36175e-11; sd: 4.4419e-10; counts: 1065
sfh 0.106248 9.35381e-11 3.50805e-10 7.90962e-11 #avg: 2.71174e-10; avg_err: 1.6178e-11; sd: 5.27712e-10; counts: 1065
sfh 0.109623 1.15431e-10 4.43999e-10 9.46704e-11 #avg: 3.45338e-10; avg_err: 2.27054e-11; sd: 7.40629e-10; counts: 1065
sfh 0.112998 1.37989e-10 5.29789e-10 1.13865e-10 #avg: 3.86175e-10; avg_err: 2.22301e-11; sd: 7.25122e-10; counts: 1065
sfh 0.116373 1.71419e-10 6.18427e-10 1.39818e-10 #avg: 4.56934e-10; avg_err: 2.71464e-11; sd: 8.8549e-10; counts: 1065
sfh 0.119748 2.09908e-10 6.60454e-10 1.69912e-10 #avg: 5.26399e-10; avg_err: 2.89968e-11; sd: 9.45846e-10; counts: 1065
sfh 0.123123 2.453e-10 7.85602e-10 1.98896e-10 #avg: 5.81294e-10; avg_err: 3.10875e-11; sd: 1.01404e-09; counts: 1065
sfh 0.126498 3.10272e-10 9.13144e-10 2.51991e-10 #avg: 6.47741e-10; avg_err: 2.90412e-11; sd: 9.47296e-10; counts: 1065
sfh 0.129873 3.55727e-10 1.02857e-09 2.80637e-10 #avg: 7.26956e-10; avg_err: 3.02199e-11; sd: 9.85743e-10; counts: 1065
sfh 0.133248 4.21139e-10 1.02367e-09 3.27576e-10 #avg: 7.85229e-10; avg_err: 3.32223e-11; sd: 1.08368e-09; counts: 1065
sfh 0.136623 5.39854e-10 1.06408e-09 4.32701e-10 #avg: 8.84006e-10; avg_err: 3.31108e-11; sd: 1.08004e-09; counts: 1065
sfh 0.141685 6.42623e-10 1.30879e-09 4.98235e-10 #avg: 1.06402e-09; avg_err: 3.89745e-11; sd: 1.27131e-09; counts: 1065
sfh 0.146748 7.61238e-10 1.50046e-09 5.66188e-10 #avg: 1.20436e-09; avg_err: 3.92032e-11; sd: 1.27877e-09; counts: 1065
sfh 0.15181 8.81081e-10 1.43266e-09 6.54567e-10 #avg: 1.28086e-09; avg_err: 3.8657e-11; sd: 1.26095e-09; counts: 1065
sfh 0.156873 1.03048e-09 1.40942e-09 7.35936e-10 #avg: 1.40201e-09; avg_err: 4.00642e-11; sd: 1.30685e-09; counts: 1065
sfh 0.161935 1.18851e-09 1.40234e-09 8.16514e-10 #avg: 1.4685e-09; avg_err: 3.69241e-11; sd: 1.20443e-09; counts: 1065
sfh 0.166998 1.23769e-09 1.4614e-09 7.71007e-10 #avg: 1.59918e-09; avg_err: 4.16016e-11; sd: 1.357e-09; counts: 1065
sfh 0.17206 1.32106e-09 1.45018e-09 7.82974e-10 #avg: 1.67848e-09; avg_err: 4.17519e-11; sd: 1.36191e-09; counts: 1065
sfh 0.177123 1.47929e-09 1.38997e-09 8.34286e-10 #avg: 1.76007e-09; avg_err: 3.89984e-11; sd: 1.27209e-09; counts: 1065
sfh 0.182185 1.53236e-09 1.59323e-09 7.98878e-10 #avg: 1.89354e-09; avg_err: 4.19509e-11; sd: 1.3684e-09; counts: 1065
sfh 0.187248 1.61337e-09 1.69583e-09 8.75258e-10 #avg: 1.98144e-09; avg_err: 4.40033e-11; sd: 1.43534e-09; counts: 1065
sfh 0.19231 1.68657e-09 2.13302e-09 9.14612e-10 #avg: 2.15282e-09; avg_err: 5.05283e-11; sd: 1.64818e-09; counts: 1065
sfh 0.197373 1.74461e-09 2.14128e-09 9.78326e-10 #avg: 2.28653e-09; avg_err: 5.77895e-11; sd: 1.88504e-09; counts: 1065
sfh 0.202435 1.5632e-09 2.05205e-09 8.57649e-10 #avg: 2.39852e-09; avg_err: 8.59706e-11; sd: 2.80427e-09; counts: 1065
iclh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1065
iclh 0.060123 0 0 0 #avg: 4.70412e-15; avg_err: 3.02421e-15; sd: 9.86466e-14; counts: 1065
iclh 0.062373 0 0 0 #avg: 1.13621e-13; avg_err: 4.3514e-14; sd: 1.41938e-12; counts: 1065
iclh 0.064623 0 0 0 #avg: 4.17148e-13; avg_err: 1.27112e-13; sd: 4.14627e-12; counts: 1065
iclh 0.066873 0 0 0 #avg: 6.71563e-13; avg_err: 1.81162e-13; sd: 5.90934e-12; counts: 1065
iclh 0.069123 0 0 0 #avg: 1.0629e-12; avg_err: 2.47731e-13; sd: 8.08075e-12; counts: 1065
iclh 0.071373 0 0 0 #avg: 1.21773e-12; avg_err: 2.46596e-13; sd: 8.04371e-12; counts: 1065
iclh 0.073623 0 2.33261e-13 0 #avg: 1.85336e-12; avg_err: 3.2749e-13; sd: 1.06824e-11; counts: 1065
iclh 0.075873 0 1.38335e-12 0 #avg: 2.41682e-12; avg_err: 3.31494e-13; sd: 1.0813e-11; counts: 1065
iclh 0.078123 0 2.70448e-12 0 #avg: 3.75122e-12; avg_err: 4.7318e-13; sd: 1.54346e-11; counts: 1065
iclh 0.080373 0 5.47269e-12 0 #avg: 4.81789e-12; avg_err: 5.4847e-13; sd: 1.78905e-11; counts: 1065
iclh 0.082623 0 8.10603e-12 0 #avg: 5.74711e-12; avg_err: 6.07373e-13; sd: 1.98119e-11; counts: 1065
iclh 0.085998 1.47235e-13 1.28155e-11 1.47235e-13 #avg: 7.11489e-12; avg_err: 5.20576e-13; sd: 1.69807e-11; counts: 1065
iclh 0.089373 8.39246e-13 1.51875e-11 8.39246e-13 #avg: 8.68295e-12; avg_err: 5.95955e-13; sd: 1.94395e-11; counts: 1065
iclh 0.092748 1.94159e-12 1.86307e-11 1.94159e-12 #avg: 1.01527e-11; avg_err: 6.28036e-13; sd: 2.04859e-11; counts: 1065
iclh 0.096123 3.11968e-12 1.91806e-11 3.11968e-12 #avg: 1.24038e-11; avg_err: 7.51619e-13; sd: 2.45171e-11; counts: 1065
iclh 0.099498 4.33697e-12 2.2764e-11 4.33697e-12 #avg: 1.3771e-11; avg_err: 8.61197e-13; sd: 2.80914e-11; counts: 1065
iclh 0.102873 5.04133e-12 2.60932e-11 5.04133e-12 #avg: 1.6374e-11; avg_err: 1.01593e-12; sd: 3.31385e-11; counts: 1065
iclh 0.106248 5.74877e-12 2.52112e-11 5.74876e-12 #avg: 1.79212e-11; avg_err: 1.18713e-12; sd: 3.87232e-11; counts: 1065
iclh 0.109623 6.36779e-12 2.71731e-11 6.36193e-12 #avg: 1.95943e-11; avg_err: 1.36051e-12; sd: 4.43786e-11; counts: 1065
iclh 0.112998 6.57222e-12 2.7902e-11 6.56586e-12 #avg: 2.00932e-11; avg_err: 1.27563e-12; sd: 4.16098e-11; counts: 1065
iclh 0.116373 6.88572e-12 2.80541e-11 6.87526e-12 #avg: 2.1072e-11; avg_err: 1.46203e-12; sd: 4.76899e-11; counts: 1065
iclh 0.119748 6.65225e-12 2.73724e-11 6.64949e-12 #avg: 2.14294e-11; avg_err: 1.58214e-12; sd: 5.16077e-11; counts: 1065
iclh 0.123123 6.08926e-12 3.01158e-11 6.08915e-12 #avg: 2.19912e-11; avg_err: 1.61225e-12; sd: 5.259e-11; counts: 1065
iclh 0.126498 5.59419e-12 2.75514e-11 5.59417e-12 #avg: 2.11721e-11; avg_err: 1.56665e-12; sd: 5.11024e-11; counts: 1065
iclh 0.129873 5.10044e-12 2.561e-11 5.10044e-12 #avg: 2.01946e-11; avg_err: 1.59034e-12; sd: 5.18755e-11; counts: 1065
iclh 0.133248 4.56422e-12 2.45931e-11 4.56422e-12 #avg: 1.93087e-11; avg_err: 1.62859e-12; sd: 5.3123e-11; counts: 1065
iclh 0.136623 3.84592e-12 2.27951e-11 3.84592e-12 #avg: 1.65548e-11; avg_err: 1.21932e-12; sd: 3.97729e-11; counts: 1065
iclh 0.141685 3.21926e-12 2.02658e-11 3.21926e-12 #avg: 1.72392e-11; avg_err: 2.12199e-12; sd: 6.92171e-11; counts: 1065
iclh 0.146748 2.18659e-12 1.73513e-11 2.18659e-12 #avg: 1.5701e-11; avg_err: 1.87983e-12; sd: 6.13183e-11; counts: 1065
iclh 0.15181 1.81149e-12 1.46366e-11 1.81149e-12 #avg: 1.58146e-11; avg_err: 2.39228e-12; sd: 7.80339e-11; counts: 1065
iclh 0.156873 1.34211e-12 1.27568e-11 1.34211e-12 #avg: 1.19916e-11; avg_err: 1.63713e-12; sd: 5.34016e-11; counts: 1065
iclh 0.161935 7.27772e-13 1.05048e-11 7.27772e-13 #avg: 1.19246e-11; avg_err: 2.53634e-12; sd: 8.27328e-11; counts: 1065
iclh 0.166998 3.81407e-13 7.64076e-12 3.81407e-13 #avg: 7.54954e-12; avg_err: 1.15711e-12; sd: 3.77439e-11; counts: 1065
iclh 0.17206 1.29596e-13 5.26729e-12 1.29596e-13 #avg: 5.17679e-12; avg_err: 7.54413e-13; sd: 2.46082e-11; counts: 1065
iclh 0.177123 8.87233e-20 3.81126e-12 8.87233e-20 #avg: 4.47775e-12; avg_err: 1.02104e-12; sd: 3.33053e-11; counts: 1065
iclh 0.182185 0 2.40126e-12 0 #avg: 3.03692e-12; avg_err: 5.52761e-13; sd: 1.80305e-11; counts: 1065
iclh 0.187248 0 1.27026e-12 0 #avg: 1.49124e-12; avg_err: 2.10188e-13; sd: 6.85614e-12; counts: 1065
iclh 0.19231 0 3.9439e-13 0 #avg: 7.83885e-13; avg_err: 1.22584e-13; sd: 3.99858e-12; counts: 1065
iclh 0.197373 0 1.23921e-14 0 #avg: 3.17888e-13; avg_err: 5.9967e-14; sd: 1.95607e-12; counts: 1065
iclh 0.202435 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1065
sm_mp 0.055623 0 0 0 #avg: 1.92644e-10; avg_err: 1.86707e-10; sd: 6.09019e-09; counts: 1065
sm_mp 0.060123 0 0 0 #avg: 1.54773e-06; avg_err: 4.59989e-07; sd: 1.50044e-05; counts: 1065
sm_mp 0.062373 0 0 0 #avg: 5.6932e-06; avg_err: 1.31562e-06; sd: 4.29142e-05; counts: 1065
sm_mp 0.064623 0 0 0 #avg: 1.85779e-05; avg_err: 3.14914e-06; sd: 0.000102722; counts: 1065
